region_1,region_2,carrier_1,carrier_2,timestep_4,parameter,value
East,EastSouth,electricity,,h0128,demand,32.9334
East,EastSouth,electricity,,h0129,demand,34.2894
East,EastSouth,electricity,,h0130,demand,35.0088
East,EastSouth,electricity,,h0131,demand,35.91
East,EastSouth,electricity,,h0132,demand,36.5244
East,EastSouth,electricity,,h0133,demand,36.3672
East,EastSouth,electricity,,h0134,demand,35.8344
East,EastSouth,electricity,,h0135,demand,35.0484
East,EastSouth,electricity,,h0136,demand,34.8702
East,EastSouth,electricity,,h0137,demand,35.6358
East,EastSouth,electricity,,h0138,demand,38.0304
East,EastSouth,electricity,,h0139,demand,38.1858
East,EastSouth,electricity,,h0140,demand,37.5912
East,EastSouth,electricity,,h0141,demand,35.4456
East,EastSouth,electricity,,h0142,demand,33.7932
East,EastSouth,electricity,,h0143,demand,32.6364
East,EastSouth,electricity,,h0144,demand,30.108
East,EastSouth,electricity,,h0145,demand,27.8496
East,EastSouth,electricity,,h0146,demand,26.4792
East,EastSouth,electricity,,h0147,demand,25.974
East,EastSouth,electricity,,h0148,demand,26.1042
East,EastSouth,electricity,,h0149,demand,26.5422
East,EastSouth,electricity,,h0150,demand,28.4238
East,EastSouth,electricity,,h0151,demand,33.366
East,EastSouth,electricity,,h0152,demand,37.3968
East,EastSouth,electricity,,h0153,demand,38.9868
East,EastSouth,electricity,,h0154,demand,39.3432
East,EastSouth,electricity,,h0155,demand,40.086
East,EastSouth,electricity,,h0156,demand,40.4958
East,EastSouth,electricity,,h0157,demand,40.317
East,EastSouth,electricity,,h0158,demand,39.9324
East,EastSouth,electricity,,h0159,demand,39.1812
East,EastSouth,electricity,,h0160,demand,38.8092
East,EastSouth,electricity,,h0161,demand,39.183
East,EastSouth,electricity,,h0162,demand,41.1234
East,EastSouth,electricity,,h0163,demand,41.0088
East,EastSouth,electricity,,h0164,demand,39.9858
East,EastSouth,electricity,,h0165,demand,37.8702
East,EastSouth,electricity,,h0166,demand,36.1848
East,EastSouth,electricity,,h0167,demand,35.0202
East,EastSouth,electricity,,h0168,demand,32.4414
East,EastSouth,electricity,,h0169,demand,30.3156
East,EastSouth,electricity,,h0170,demand,28.9158
East,EastSouth,electricity,,h0171,demand,28.4256
East,EastSouth,electricity,,h0172,demand,28.425
East,EastSouth,electricity,,h0173,demand,29.0106
East,EastSouth,electricity,,h0174,demand,30.5328
East,EastSouth,electricity,,h0175,demand,34.9764
East,EastSouth,electricity,,h0176,demand,39.3024
East,EastSouth,electricity,,h0177,demand,41.0976
East,EastSouth,electricity,,h0178,demand,41.2296
East,EastSouth,electricity,,h0179,demand,41.5902
East,EastSouth,electricity,,h0180,demand,42.1284
East,EastSouth,electricity,,h0181,demand,41.4798
East,EastSouth,electricity,,h0182,demand,40.7616
East,EastSouth,electricity,,h0183,demand,39.9834
East,EastSouth,electricity,,h0184,demand,39.984
East,EastSouth,electricity,,h0185,demand,40.1796
East,EastSouth,electricity,,h0186,demand,41.4714
East,EastSouth,electricity,,h0187,demand,40.9224
East,EastSouth,electricity,,h0188,demand,39.9924
East,EastSouth,electricity,,h0189,demand,37.6068
East,EastSouth,electricity,,h0190,demand,35.58
East,EastSouth,electricity,,h0191,demand,34.6788
East,EastSouth,electricity,,h0192,demand,31.9062
East,EastSouth,electricity,,h0193,demand,29.2086
East,EastSouth,electricity,,h0194,demand,27.8862
East,EastSouth,electricity,,h0195,demand,27.0858
East,EastSouth,electricity,,h0196,demand,27.3468
East,EastSouth,electricity,,h0197,demand,28.1982
East,EastSouth,electricity,,h0198,demand,30.51
East,EastSouth,electricity,,h0199,demand,35.1564
East,EastSouth,electricity,,h0200,demand,39.6792
East,EastSouth,electricity,,h0201,demand,41.9142
East,EastSouth,electricity,,h0202,demand,42.219
East,EastSouth,electricity,,h0203,demand,42.7344
East,EastSouth,electricity,,h0204,demand,42.8952
East,EastSouth,electricity,,h0205,demand,42.2814
East,EastSouth,electricity,,h0206,demand,41.5626
East,EastSouth,electricity,,h0207,demand,40.7508
East,EastSouth,electricity,,h0208,demand,40.542
East,EastSouth,electricity,,h0209,demand,41.298
East,EastSouth,electricity,,h0210,demand,42.8028
East,EastSouth,electricity,,h0211,demand,42.2748
East,EastSouth,electricity,,h0212,demand,40.353
East,EastSouth,electricity,,h0213,demand,37.7718
East,EastSouth,electricity,,h0214,demand,35.6994
East,EastSouth,electricity,,h0215,demand,33.4356
East,EastSouth,electricity,,h0216,demand,31.1658
East,EastSouth,electricity,,h0217,demand,28.6512
East,EastSouth,electricity,,h0218,demand,27.7026
East,EastSouth,electricity,,h0219,demand,26.7732
East,EastSouth,electricity,,h0220,demand,26.553
East,EastSouth,electricity,,h0221,demand,26.6394
East,EastSouth,electricity,,h0222,demand,26.6358
East,EastSouth,electricity,,h0223,demand,27.3006
East,EastSouth,electricity,,h0224,demand,29.4222
East,EastSouth,electricity,,h0225,demand,32.0682
East,EastSouth,electricity,,h0226,demand,34.1088
East,EastSouth,electricity,,h0227,demand,34.9716
East,EastSouth,electricity,,h0228,demand,35.9808
East,EastSouth,electricity,,h0229,demand,36.213
East,EastSouth,electricity,,h0230,demand,35.214
East,EastSouth,electricity,,h0231,demand,34.2738
East,EastSouth,electricity,,h0232,demand,33.3576
East,EastSouth,electricity,,h0233,demand,34.1196
East,EastSouth,electricity,,h0234,demand,36.396
East,EastSouth,electricity,,h0235,demand,36.5028
East,EastSouth,electricity,,h0236,demand,35.0592
East,EastSouth,electricity,,h0237,demand,32.6532
East,EastSouth,electricity,,h0238,demand,31.3068
East,EastSouth,electricity,,h0239,demand,30.9408
East,EastSouth,electricity,,h0240,demand,29.0214
East,EastSouth,electricity,,h0241,demand,26.7354
East,EastSouth,electricity,,h0242,demand,25.2222
East,EastSouth,electricity,,h0243,demand,24.4332
East,EastSouth,electricity,,h0244,demand,24.1338
East,EastSouth,electricity,,h0245,demand,24.3336
East,EastSouth,electricity,,h0246,demand,24.096
East,EastSouth,electricity,,h0247,demand,23.5896
East,EastSouth,electricity,,h0248,demand,24.6696
East,EastSouth,electricity,,h0249,demand,26.7276
East,EastSouth,electricity,,h0250,demand,28.794
East,EastSouth,electricity,,h0251,demand,31.0332
East,EastSouth,electricity,,h0252,demand,32.9394
East,EastSouth,electricity,,h0253,demand,33.0942
East,EastSouth,electricity,,h0254,demand,32.127
East,EastSouth,electricity,,h0255,demand,31.5504
East,EastSouth,electricity,,h0256,demand,31.3086
East,EastSouth,electricity,,h0257,demand,32.0292
East,EastSouth,electricity,,h0258,demand,34.9308
East,EastSouth,electricity,,h0259,demand,35.5494
East,EastSouth,electricity,,h0260,demand,34.5336
East,EastSouth,electricity,,h0261,demand,32.6022
East,EastSouth,electricity,,h0262,demand,31.485
East,EastSouth,electricity,,h0263,demand,31.8054
East,EastSouth,electricity,,h0264,demand,29.6784
East,EastSouth,electricity,,h0265,demand,27.7944
East,EastSouth,electricity,,h0266,demand,26.7036
East,EastSouth,electricity,,h0267,demand,26.322
East,EastSouth,electricity,,h0268,demand,26.2752
East,EastSouth,electricity,,h0269,demand,27.1572
East,EastSouth,electricity,,h0270,demand,29.787
East,EastSouth,electricity,,h0271,demand,35.3058
East,EastSouth,electricity,,h0272,demand,40.1796
East,EastSouth,electricity,,h0273,demand,42.1134
East,EastSouth,electricity,,h0274,demand,42.0042
East,EastSouth,electricity,,h0275,demand,43.0446
East,EastSouth,electricity,,h0276,demand,43.9452
East,EastSouth,electricity,,h0277,demand,43.6938
East,EastSouth,electricity,,h0278,demand,43.3194
East,EastSouth,electricity,,h0279,demand,42.7134
East,EastSouth,electricity,,h0280,demand,42.0234
East,EastSouth,electricity,,h0281,demand,42.1674
East,EastSouth,electricity,,h0282,demand,43.275
East,EastSouth,electricity,,h0283,demand,43.242
East,EastSouth,electricity,,h0284,demand,42.1374
East,EastSouth,electricity,,h0285,demand,39.4236
East,EastSouth,electricity,,h0286,demand,37.5294
East,EastSouth,electricity,,h0287,demand,35.7012
East,EastSouth,electricity,,h0288,demand,32.5266
East,EastSouth,electricity,,h0289,demand,29.9874
East,EastSouth,electricity,,h0290,demand,28.6662
East,EastSouth,electricity,,h0291,demand,28.0326
East,EastSouth,electricity,,h0292,demand,28.0146
East,EastSouth,electricity,,h0293,demand,29.343
East,EastSouth,electricity,,h0294,demand,31.4772
East,EastSouth,electricity,,h0295,demand,35.6274
East,EastSouth,electricity,,h0296,demand,40.1346
East,EastSouth,electricity,,h0297,demand,41.322
East,EastSouth,electricity,,h0298,demand,41.04
East,EastSouth,electricity,,h0299,demand,41.0028
East,EastSouth,electricity,,h0300,demand,41.2512
East,EastSouth,electricity,,h0301,demand,40.9122
East,EastSouth,electricity,,h0302,demand,40.4652
East,EastSouth,electricity,,h0303,demand,39.2436
East,EastSouth,electricity,,h0304,demand,39.2544
East,EastSouth,electricity,,h0305,demand,39.546
East,EastSouth,electricity,,h0306,demand,41.5638
East,EastSouth,electricity,,h0307,demand,41.2212
East,EastSouth,electricity,,h0308,demand,39.6306
East,EastSouth,electricity,,h0309,demand,36.9156
East,EastSouth,electricity,,h0310,demand,35.1978
East,EastSouth,electricity,,h0311,demand,33.9648
East,EastSouth,electricity,,h0312,demand,31.4334
East,EastSouth,electricity,,h0313,demand,28.7364
East,EastSouth,electricity,,h0314,demand,27.1344
East,EastSouth,electricity,,h0315,demand,26.2212
East,EastSouth,electricity,,h0316,demand,26.5362
East,EastSouth,electricity,,h0317,demand,27.5778
East,EastSouth,electricity,,h0318,demand,30.0126
East,EastSouth,electricity,,h0319,demand,34.9182
East,EastSouth,electricity,,h0320,demand,39.6708
East,EastSouth,electricity,,h0321,demand,41.3466
East,EastSouth,electricity,,h0322,demand,40.9536
East,EastSouth,electricity,,h0323,demand,41.7756
East,EastSouth,electricity,,h0324,demand,41.9556
East,EastSouth,electricity,,h0325,demand,41.2134
East,EastSouth,electricity,,h0326,demand,40.7814
East,EastSouth,electricity,,h0327,demand,39.9864
East,EastSouth,electricity,,h0328,demand,39.468
East,EastSouth,electricity,,h0329,demand,39.6666
East,EastSouth,electricity,,h0330,demand,41.5044
East,EastSouth,electricity,,h0331,demand,40.7796
East,EastSouth,electricity,,h0332,demand,39.9192
East,EastSouth,electricity,,h0333,demand,37.5708
East,EastSouth,electricity,,h0334,demand,35.6442
East,EastSouth,electricity,,h0335,demand,34.3218
East,EastSouth,electricity,,h0336,demand,32.0844
East,EastSouth,electricity,,h0337,demand,29.8116
East,EastSouth,electricity,,h0338,demand,28.6494
East,EastSouth,electricity,,h0339,demand,28.1868
East,EastSouth,electricity,,h0340,demand,28.4868
East,EastSouth,electricity,,h0341,demand,29.1384
East,EastSouth,electricity,,h0342,demand,31.0674
East,EastSouth,electricity,,h0343,demand,35.6724
East,EastSouth,electricity,,h0344,demand,39.7422
East,EastSouth,electricity,,h0345,demand,41.5506
East,EastSouth,electricity,,h0346,demand,41.4294
East,EastSouth,electricity,,h0347,demand,42.0522
East,EastSouth,electricity,,h0348,demand,42.8202
East,EastSouth,electricity,,h0349,demand,42.294
East,EastSouth,electricity,,h0350,demand,41.7948
East,EastSouth,electricity,,h0351,demand,40.9632
East,EastSouth,electricity,,h0352,demand,40.4928
East,EastSouth,electricity,,h0353,demand,40.4292
East,EastSouth,electricity,,h0354,demand,41.9646
East,EastSouth,electricity,,h0355,demand,41.6052
East,EastSouth,electricity,,h0356,demand,40.8858
East,EastSouth,electricity,,h0357,demand,38.6394
East,EastSouth,electricity,,h0358,demand,36.6288
East,EastSouth,electricity,,h0359,demand,34.9338
East,EastSouth,electricity,,h0360,demand,32.1108
East,EastSouth,electricity,,h0361,demand,29.9562
East,EastSouth,electricity,,h0362,demand,28.2696
East,EastSouth,electricity,,h0363,demand,27.3354
East,EastSouth,electricity,,h0364,demand,28.2714
East,EastSouth,electricity,,h0365,demand,29.499
East,EastSouth,electricity,,h0366,demand,31.644
East,EastSouth,electricity,,h0367,demand,36.024
East,EastSouth,electricity,,h0368,demand,40.2864
East,EastSouth,electricity,,h0369,demand,41.4654
East,EastSouth,electricity,,h0370,demand,40.9386
East,EastSouth,electricity,,h0371,demand,41.1012
East,EastSouth,electricity,,h0372,demand,41.2434
East,EastSouth,electricity,,h0373,demand,40.5036
East,EastSouth,electricity,,h0374,demand,39.552
East,EastSouth,electricity,,h0375,demand,38.385
East,EastSouth,electricity,,h0376,demand,37.7334
East,EastSouth,electricity,,h0377,demand,37.9188
East,EastSouth,electricity,,h0378,demand,39.8016
East,EastSouth,electricity,,h0379,demand,39.5148
East,EastSouth,electricity,,h0380,demand,38.2356
East,EastSouth,electricity,,h0381,demand,35.6964
East,EastSouth,electricity,,h0382,demand,33.6516
East,EastSouth,electricity,,h0383,demand,32.28
East,EastSouth,electricity,,h0384,demand,29.9358
East,EastSouth,electricity,,h0385,demand,27.9408
East,EastSouth,electricity,,h0386,demand,26.3946
East,EastSouth,electricity,,h0387,demand,25.7496
East,EastSouth,electricity,,h0388,demand,25.5882
East,EastSouth,electricity,,h0389,demand,25.6524
East,EastSouth,electricity,,h0390,demand,25.4634
East,EastSouth,electricity,,h0391,demand,25.9008
East,EastSouth,electricity,,h0392,demand,28.1592
East,EastSouth,electricity,,h0393,demand,30.591
East,EastSouth,electricity,,h0394,demand,32.4114
East,EastSouth,electricity,,h0395,demand,33.4584
East,EastSouth,electricity,,h0396,demand,34.119
East,EastSouth,electricity,,h0397,demand,33.7002
East,EastSouth,electricity,,h0398,demand,32.3874
East,EastSouth,electricity,,h0399,demand,31.5792
East,EastSouth,electricity,,h0400,demand,31.1304
East,EastSouth,electricity,,h0401,demand,31.5792
East,EastSouth,electricity,,h0402,demand,34.1646
East,EastSouth,electricity,,h0403,demand,34.7982
East,EastSouth,electricity,,h0404,demand,33.6804
East,EastSouth,electricity,,h0405,demand,31.2366
East,EastSouth,electricity,,h0406,demand,29.8518
East,EastSouth,electricity,,h0407,demand,29.4378
East,EastSouth,electricity,,h0408,demand,27.6102
East,EastSouth,electricity,,h0409,demand,25.9338
East,EastSouth,electricity,,h0410,demand,24.951
East,EastSouth,electricity,,h0411,demand,24.0474
East,EastSouth,electricity,,h0412,demand,23.85
East,EastSouth,electricity,,h0413,demand,23.7834
East,EastSouth,electricity,,h0414,demand,23.4024
East,EastSouth,electricity,,h0415,demand,22.764
East,EastSouth,electricity,,h0416,demand,23.9484
East,EastSouth,electricity,,h0417,demand,25.4322
East,EastSouth,electricity,,h0418,demand,27.276
East,EastSouth,electricity,,h0419,demand,28.908
East,EastSouth,electricity,,h0420,demand,30.4776
East,EastSouth,electricity,,h0421,demand,30.5466
East,EastSouth,electricity,,h0422,demand,29.3154
East,EastSouth,electricity,,h0423,demand,28.5612
East,EastSouth,electricity,,h0424,demand,28.476
East,EastSouth,electricity,,h0425,demand,28.8042
East,EastSouth,electricity,,h0426,demand,31.9506
East,EastSouth,electricity,,h0427,demand,32.9394
East,EastSouth,electricity,,h0428,demand,32.1018
East,EastSouth,electricity,,h0429,demand,30.6234
East,EastSouth,electricity,,h0430,demand,29.8188
East,EastSouth,electricity,,h0431,demand,30.1956
East,EastSouth,electricity,,h0432,demand,28.5108
East,EastSouth,electricity,,h0433,demand,26.6262
East,EastSouth,electricity,,h0434,demand,25.6446
East,EastSouth,electricity,,h0435,demand,25.3302
East,EastSouth,electricity,,h0436,demand,25.5972
East,EastSouth,electricity,,h0437,demand,26.379
East,EastSouth,electricity,,h0438,demand,28.5858
East,EastSouth,electricity,,h0439,demand,33.981
East,EastSouth,electricity,,h0440,demand,38.7882
East,EastSouth,electricity,,h0441,demand,40.2918
East,EastSouth,electricity,,h0442,demand,40.5714
East,EastSouth,electricity,,h0443,demand,41.0166
East,EastSouth,electricity,,h0444,demand,41.3928
East,EastSouth,electricity,,h0445,demand,41.0886
East,EastSouth,electricity,,h0446,demand,40.8954
East,EastSouth,electricity,,h0447,demand,40.4232
East,EastSouth,electricity,,h0448,demand,39.9924
East,EastSouth,electricity,,h0449,demand,39.744
East,EastSouth,electricity,,h0450,demand,41.5284
East,EastSouth,electricity,,h0451,demand,41.4726
East,EastSouth,electricity,,h0452,demand,40.488
East,EastSouth,electricity,,h0453,demand,37.965
East,EastSouth,electricity,,h0454,demand,35.9676
East,EastSouth,electricity,,h0455,demand,34.4166
East,EastSouth,electricity,,h0456,demand,31.6776
East,EastSouth,electricity,,h0457,demand,29.7132
East,EastSouth,electricity,,h0458,demand,28.3842
East,EastSouth,electricity,,h0459,demand,27.7554
East,EastSouth,electricity,,h0460,demand,28.0356
East,EastSouth,electricity,,h0461,demand,28.6398
East,EastSouth,electricity,,h0462,demand,30.4908
East,EastSouth,electricity,,h0463,demand,35.1258
East,EastSouth,electricity,,h0464,demand,39.4422
East,EastSouth,electricity,,h0465,demand,41.0148
East,EastSouth,electricity,,h0466,demand,41.0874
East,EastSouth,electricity,,h0467,demand,41.7438
East,EastSouth,electricity,,h0468,demand,42.1128
East,EastSouth,electricity,,h0469,demand,41.9706
East,EastSouth,electricity,,h0470,demand,41.6334
East,EastSouth,electricity,,h0471,demand,41.0406
East,EastSouth,electricity,,h0472,demand,40.6962
East,EastSouth,electricity,,h0473,demand,40.2546
East,EastSouth,electricity,,h0474,demand,42.0354
East,EastSouth,electricity,,h0475,demand,41.8416
East,EastSouth,electricity,,h0476,demand,40.7508
East,EastSouth,electricity,,h0477,demand,38.3412
East,EastSouth,electricity,,h0478,demand,36.231
East,EastSouth,electricity,,h0479,demand,34.4526
East,EastSouth,electricity,,h0480,demand,32.0526
East,EastSouth,electricity,,h0481,demand,29.7798
East,EastSouth,electricity,,h0482,demand,28.449
East,EastSouth,electricity,,h0483,demand,27.9378
East,EastSouth,electricity,,h0484,demand,28.0506
East,EastSouth,electricity,,h0485,demand,28.6194
East,EastSouth,electricity,,h0486,demand,30.5382
East,EastSouth,electricity,,h0487,demand,35.223
East,EastSouth,electricity,,h0488,demand,39.3618
East,EastSouth,electricity,,h0489,demand,40.7298
East,EastSouth,electricity,,h0490,demand,40.944
East,EastSouth,electricity,,h0491,demand,41.4606
East,EastSouth,electricity,,h0492,demand,41.6136
East,EastSouth,electricity,,h0493,demand,41.2284
East,EastSouth,electricity,,h0494,demand,41.0574
East,EastSouth,electricity,,h0495,demand,40.7124
East,EastSouth,electricity,,h0496,demand,40.3266
East,EastSouth,electricity,,h0497,demand,40.1094
East,EastSouth,electricity,,h0498,demand,41.9808
East,EastSouth,electricity,,h0499,demand,42.1968
East,EastSouth,electricity,,h0500,demand,41.1528
East,EastSouth,electricity,,h0501,demand,38.565
East,EastSouth,electricity,,h0502,demand,36.5556
East,EastSouth,electricity,,h0503,demand,35.0586
East,EastSouth,electricity,,h0504,demand,32.5122
East,EastSouth,electricity,,h0505,demand,30.4104
East,EastSouth,electricity,,h0506,demand,29.2374
East,EastSouth,electricity,,h0507,demand,28.5942
East,EastSouth,electricity,,h0508,demand,28.5114
East,EastSouth,electricity,,h0509,demand,28.9752
East,EastSouth,electricity,,h0510,demand,30.771
East,EastSouth,electricity,,h0511,demand,35.352
East,EastSouth,electricity,,h0512,demand,39.7542
East,EastSouth,electricity,,h0513,demand,41.2242
East,EastSouth,electricity,,h0514,demand,41.3268
East,EastSouth,electricity,,h0515,demand,41.9502
East,EastSouth,electricity,,h0516,demand,42.4704
East,EastSouth,electricity,,h0517,demand,42.1512
East,EastSouth,electricity,,h0518,demand,41.871
East,EastSouth,electricity,,h0519,demand,41.5986
East,EastSouth,electricity,,h0520,demand,41.232
East,EastSouth,electricity,,h0521,demand,40.8006
East,EastSouth,electricity,,h0522,demand,42.072
East,EastSouth,electricity,,h0523,demand,42.0072
East,EastSouth,electricity,,h0524,demand,40.9398
East,EastSouth,electricity,,h0525,demand,38.6346
East,EastSouth,electricity,,h0526,demand,36.618
East,EastSouth,electricity,,h0527,demand,35.1894
East,EastSouth,electricity,,h0528,demand,32.571
East,EastSouth,electricity,,h0529,demand,30.2808
East,EastSouth,electricity,,h0530,demand,29.0484
East,EastSouth,electricity,,h0531,demand,28.4124
East,EastSouth,electricity,,h0532,demand,28.6206
East,EastSouth,electricity,,h0533,demand,29.2164
East,EastSouth,electricity,,h0534,demand,30.819
East,EastSouth,electricity,,h0535,demand,35.0748
East,EastSouth,electricity,,h0536,demand,39.33
East,EastSouth,electricity,,h0537,demand,40.7394
East,EastSouth,electricity,,h0538,demand,40.779
East,EastSouth,electricity,,h0539,demand,41.385
East,EastSouth,electricity,,h0540,demand,41.5818
East,EastSouth,electricity,,h0541,demand,41.2038
East,EastSouth,electricity,,h0542,demand,40.5168
East,EastSouth,electricity,,h0543,demand,39.765
East,EastSouth,electricity,,h0544,demand,39.3168
East,EastSouth,electricity,,h0545,demand,39.3408
East,EastSouth,electricity,,h0546,demand,41.0712
East,EastSouth,electricity,,h0547,demand,40.9752
East,EastSouth,electricity,,h0548,demand,39.5634
East,EastSouth,electricity,,h0549,demand,37.1316
East,EastSouth,electricity,,h0550,demand,35.2536
East,EastSouth,electricity,,h0551,demand,34.269
East,EastSouth,electricity,,h0552,demand,32.6052
East,EastSouth,electricity,,h0553,demand,30.891
East,EastSouth,electricity,,h0554,demand,29.2968
East,EastSouth,electricity,,h0555,demand,29.7624
East,EastSouth,electricity,,h0556,demand,30.0216
East,EastSouth,electricity,,h0557,demand,29.8158
East,EastSouth,electricity,,h0558,demand,28.6002
East,EastSouth,electricity,,h0559,demand,27.597
East,EastSouth,electricity,,h0560,demand,29.2332
East,EastSouth,electricity,,h0561,demand,30.8568
