region_1,region_2,carrier_1,carrier_2,timestep_4,parameter,value
East,EastSouth,electricity,,h0001,demand,25.1922
East,EastSouth,electricity,,h0002,demand,24.399
East,EastSouth,electricity,,h0003,demand,23.706
East,EastSouth,electricity,,h0004,demand,23.1222
East,EastSouth,electricity,,h0005,demand,22.8918
East,EastSouth,electricity,,h0006,demand,22.7562
East,EastSouth,electricity,,h0007,demand,22.7526
East,EastSouth,electricity,,h0008,demand,23.4858
East,EastSouth,electricity,,h0009,demand,23.9346
East,EastSouth,electricity,,h0010,demand,24.9708
East,EastSouth,electricity,,h0011,demand,26.3148
East,EastSouth,electricity,,h0012,demand,27.7248
East,EastSouth,electricity,,h0013,demand,28.5336
East,EastSouth,electricity,,h0014,demand,28.0044
East,EastSouth,electricity,,h0015,demand,27.5538
East,EastSouth,electricity,,h0016,demand,27.8082
East,EastSouth,electricity,,h0017,demand,28.938
East,EastSouth,electricity,,h0018,demand,30.9804
East,EastSouth,electricity,,h0019,demand,30.7842
East,EastSouth,electricity,,h0020,demand,30.0828
East,EastSouth,electricity,,h0021,demand,28.2552
East,EastSouth,electricity,,h0022,demand,27.1092
East,EastSouth,electricity,,h0023,demand,29.619
East,EastSouth,electricity,,h0024,demand,27.8808
East,EastSouth,electricity,,h0025,demand,25.9524
East,EastSouth,electricity,,h0026,demand,24.9648
East,EastSouth,electricity,,h0027,demand,24.5034
East,EastSouth,electricity,,h0028,demand,24.3462
East,EastSouth,electricity,,h0029,demand,24.8184
East,EastSouth,electricity,,h0030,demand,26.067
East,EastSouth,electricity,,h0031,demand,28.0074
East,EastSouth,electricity,,h0032,demand,30.765
East,EastSouth,electricity,,h0033,demand,33.183
East,EastSouth,electricity,,h0034,demand,34.5078
East,EastSouth,electricity,,h0035,demand,35.6106
East,EastSouth,electricity,,h0036,demand,36.2706
East,EastSouth,electricity,,h0037,demand,36.0624
East,EastSouth,electricity,,h0038,demand,35.7408
East,EastSouth,electricity,,h0039,demand,35.1366
East,EastSouth,electricity,,h0040,demand,34.8072
East,EastSouth,electricity,,h0041,demand,35.5722
East,EastSouth,electricity,,h0042,demand,37.3248
East,EastSouth,electricity,,h0043,demand,37.2042
East,EastSouth,electricity,,h0044,demand,35.6448
East,EastSouth,electricity,,h0045,demand,33.417
East,EastSouth,electricity,,h0046,demand,32.0676
East,EastSouth,electricity,,h0047,demand,30.9264
East,EastSouth,electricity,,h0048,demand,27.84
East,EastSouth,electricity,,h0049,demand,24.8664
East,EastSouth,electricity,,h0050,demand,23.5296
East,EastSouth,electricity,,h0051,demand,22.5438
East,EastSouth,electricity,,h0052,demand,21.999
East,EastSouth,electricity,,h0053,demand,22.1508
East,EastSouth,electricity,,h0054,demand,22.4658
East,EastSouth,electricity,,h0055,demand,23.3556
East,EastSouth,electricity,,h0056,demand,25.074
East,EastSouth,electricity,,h0057,demand,26.9226
East,EastSouth,electricity,,h0058,demand,28.9548
East,EastSouth,electricity,,h0059,demand,30.1326
East,EastSouth,electricity,,h0060,demand,31.6008
East,EastSouth,electricity,,h0061,demand,31.9968
East,EastSouth,electricity,,h0062,demand,31.7436
East,EastSouth,electricity,,h0063,demand,30.996
East,EastSouth,electricity,,h0064,demand,30.6624
East,EastSouth,electricity,,h0065,demand,31.8282
East,EastSouth,electricity,,h0066,demand,33.6084
East,EastSouth,electricity,,h0067,demand,33.5556
East,EastSouth,electricity,,h0068,demand,32.319
East,EastSouth,electricity,,h0069,demand,29.9592
East,EastSouth,electricity,,h0070,demand,28.8084
East,EastSouth,electricity,,h0071,demand,28.5612
East,EastSouth,electricity,,h0072,demand,27.2952
East,EastSouth,electricity,,h0073,demand,25.7154
East,EastSouth,electricity,,h0074,demand,23.3994
East,EastSouth,electricity,,h0075,demand,22.278
East,EastSouth,electricity,,h0076,demand,21.8202
East,EastSouth,electricity,,h0077,demand,21.8916
East,EastSouth,electricity,,h0078,demand,21.5274
East,EastSouth,electricity,,h0079,demand,21.0372
East,EastSouth,electricity,,h0080,demand,22.5774
East,EastSouth,electricity,,h0081,demand,24.3648
East,EastSouth,electricity,,h0082,demand,26.1132
East,EastSouth,electricity,,h0083,demand,27.9426
East,EastSouth,electricity,,h0084,demand,30.1572
East,EastSouth,electricity,,h0085,demand,30.2334
East,EastSouth,electricity,,h0086,demand,28.9914
East,EastSouth,electricity,,h0087,demand,28.3044
East,EastSouth,electricity,,h0088,demand,28.2552
East,EastSouth,electricity,,h0089,demand,29.466
East,EastSouth,electricity,,h0090,demand,31.6056
East,EastSouth,electricity,,h0091,demand,31.9956
East,EastSouth,electricity,,h0092,demand,31.0458
East,EastSouth,electricity,,h0093,demand,29.661
East,EastSouth,electricity,,h0094,demand,28.8684
East,EastSouth,electricity,,h0095,demand,28.9458
East,EastSouth,electricity,,h0096,demand,27.276
East,EastSouth,electricity,,h0097,demand,25.1268
East,EastSouth,electricity,,h0098,demand,23.9706
East,EastSouth,electricity,,h0099,demand,23.3046
East,EastSouth,electricity,,h0100,demand,23.2632
East,EastSouth,electricity,,h0101,demand,23.9568
East,EastSouth,electricity,,h0102,demand,26.1738
East,EastSouth,electricity,,h0103,demand,29.7744
East,EastSouth,electricity,,h0104,demand,33.2436
East,EastSouth,electricity,,h0105,demand,35.4
East,EastSouth,electricity,,h0106,demand,36.1956
East,EastSouth,electricity,,h0107,demand,36.6606
East,EastSouth,electricity,,h0108,demand,37.2138
East,EastSouth,electricity,,h0109,demand,37.3194
East,EastSouth,electricity,,h0110,demand,36.9312
East,EastSouth,electricity,,h0111,demand,36.4278
East,EastSouth,electricity,,h0112,demand,36.0354
East,EastSouth,electricity,,h0113,demand,36.429
East,EastSouth,electricity,,h0114,demand,38.5788
East,EastSouth,electricity,,h0115,demand,38.4018
East,EastSouth,electricity,,h0116,demand,37.44
East,EastSouth,electricity,,h0117,demand,34.9386
East,EastSouth,electricity,,h0118,demand,33.3048
East,EastSouth,electricity,,h0119,demand,32.5068
East,EastSouth,electricity,,h0120,demand,30.0168
East,EastSouth,electricity,,h0121,demand,28.0932
East,EastSouth,electricity,,h0122,demand,26.745
East,EastSouth,electricity,,h0123,demand,26.1108
East,EastSouth,electricity,,h0124,demand,26.1492
East,EastSouth,electricity,,h0125,demand,26.4732
East,EastSouth,electricity,,h0126,demand,27.3642
East,EastSouth,electricity,,h0127,demand,29.88
