region_1,region_2,carrier_1,carrier_2,timestep_4,parameter,value,comment
East,EastSouth,heat,districtHeat,h0057,genUp,15.48391674,
East,EastSouth,heat,districtHeat,h0058,genUp,14.73715879,
East,EastSouth,heat,districtHeat,h0059,genUp,14.42149349,
East,EastSouth,heat,districtHeat,h0060,genUp,13.89665131,
East,EastSouth,heat,districtHeat,h0061,genUp,13.8940278,
East,EastSouth,heat,districtHeat,h0062,genUp,13.71152332,
East,EastSouth,heat,districtHeat,h0063,genUp,14.12790491,
East,EastSouth,heat,districtHeat,h0064,genUp,14.84358744,
East,EastSouth,heat,districtHeat,h0065,genUp,15.4222678,
East,EastSouth,heat,districtHeat,h0066,genUp,15.60867525,
East,EastSouth,heat,districtHeat,h0067,genUp,15.36620983,
East,EastSouth,heat,districtHeat,h0068,genUp,14.77257079,
East,EastSouth,heat,districtHeat,h0069,genUp,13.55378367,
East,EastSouth,heat,districtHeat,h0070,genUp,11.08378811,
East,EastSouth,heat,districtHeat,h0071,genUp,9.064099303,
East,EastSouth,heat,districtHeat,h0072,genUp,8.583078101,
East,EastSouth,heat,districtHeat,h0073,genUp,8.825947241,
East,EastSouth,heat,districtHeat,h0074,genUp,8.840561975,
East,EastSouth,heat,districtHeat,h0075,genUp,9.538662318,
East,EastSouth,heat,districtHeat,h0076,genUp,11.30077758,
East,EastSouth,heat,districtHeat,h0077,genUp,15.34777995,
East,EastSouth,heat,districtHeat,h0078,genUp,16.4319146,
East,EastSouth,heat,districtHeat,h0079,genUp,15.43682276,
East,EastSouth,heat,districtHeat,h0080,genUp,15.65046243,
East,EastSouth,heat,districtHeat,h0081,genUp,15.08795858,
East,EastSouth,heat,districtHeat,h0082,genUp,14.46902293,
East,EastSouth,heat,districtHeat,h0083,genUp,14.10026711,
East,EastSouth,heat,districtHeat,h0084,genUp,13.72082941,
East,EastSouth,heat,districtHeat,h0085,genUp,13.80136988,
East,EastSouth,heat,districtHeat,h0086,genUp,14.07600234,
East,EastSouth,heat,districtHeat,h0087,genUp,14.51471308,
East,EastSouth,heat,districtHeat,h0088,genUp,14.98424496,
East,EastSouth,heat,districtHeat,h0089,genUp,15.55817836,
East,EastSouth,heat,districtHeat,h0090,genUp,15.71785363,
East,EastSouth,heat,districtHeat,h0091,genUp,15.47538821,
East,EastSouth,heat,districtHeat,h0092,genUp,15.00957146,
East,EastSouth,heat,districtHeat,h0093,genUp,13.66770901,
East,EastSouth,heat,districtHeat,h0094,genUp,11.14496688,
East,EastSouth,heat,districtHeat,h0095,genUp,9.350161303,
East,EastSouth,heat,districtHeat,h0096,genUp,9.020383167,
East,EastSouth,heat,districtHeat,h0097,genUp,9.342731051,
East,EastSouth,heat,districtHeat,h0098,genUp,9.563929041,
East,EastSouth,heat,districtHeat,h0099,genUp,10.38950773,
East,EastSouth,heat,districtHeat,h0100,genUp,11.75638262,
East,EastSouth,heat,districtHeat,h0101,genUp,15.5671021,
East,EastSouth,heat,districtHeat,h0102,genUp,17.68049768,
East,EastSouth,heat,districtHeat,h0103,genUp,17.14254277,
East,EastSouth,heat,districtHeat,h0104,genUp,17.32945027,
East,EastSouth,heat,districtHeat,h0105,genUp,16.71860287,
East,EastSouth,heat,districtHeat,h0106,genUp,16.09492025,
East,EastSouth,heat,districtHeat,h0107,genUp,15.35253543,
East,EastSouth,heat,districtHeat,h0108,genUp,14.95076857,
East,EastSouth,heat,districtHeat,h0109,genUp,15.15472832,
East,EastSouth,heat,districtHeat,h0110,genUp,15.2579419,
East,EastSouth,heat,districtHeat,h0111,genUp,15.62632388,
East,EastSouth,heat,districtHeat,h0112,genUp,16.18376671,
East,EastSouth,heat,districtHeat,h0113,genUp,16.58662517,
East,EastSouth,heat,districtHeat,h0114,genUp,16.71553909,
East,EastSouth,heat,districtHeat,h0115,genUp,16.41592408,
East,EastSouth,heat,districtHeat,h0116,genUp,15.62888095,
East,EastSouth,heat,districtHeat,h0117,genUp,14.27786851,
East,EastSouth,heat,districtHeat,h0118,genUp,11.64013931,
East,EastSouth,heat,districtHeat,h0119,genUp,9.59880925,
East,EastSouth,heat,districtHeat,h0120,genUp,9.865293669,
East,EastSouth,heat,districtHeat,h0121,genUp,10.17408855,
East,EastSouth,heat,districtHeat,h0122,genUp,10.4396009,
East,EastSouth,heat,districtHeat,h0123,genUp,11.19010387,
East,EastSouth,heat,districtHeat,h0124,genUp,12.53096436,
East,EastSouth,heat,districtHeat,h0125,genUp,16.46813035,
East,EastSouth,heat,districtHeat,h0126,genUp,18.66169257,
East,EastSouth,heat,districtHeat,h0127,genUp,18.15378124,
East,EastSouth,heat,districtHeat,h0128,genUp,18.45130267,
East,EastSouth,heat,districtHeat,h0129,genUp,17.77047046,
East,EastSouth,heat,districtHeat,h0130,genUp,17.04163865,
East,EastSouth,heat,districtHeat,h0131,genUp,16.33407426,
East,EastSouth,heat,districtHeat,h0132,genUp,15.9498896,
East,EastSouth,heat,districtHeat,h0133,genUp,16.05678841,
East,EastSouth,heat,districtHeat,h0134,genUp,16.1735251,
East,EastSouth,heat,districtHeat,h0135,genUp,16.55914533,
East,EastSouth,heat,districtHeat,h0136,genUp,17.17882866,
East,EastSouth,heat,districtHeat,h0137,genUp,17.41395349,
East,EastSouth,heat,districtHeat,h0138,genUp,17.41538905,
East,EastSouth,heat,districtHeat,h0139,genUp,17.10628011,
East,EastSouth,heat,districtHeat,h0140,genUp,16.43790929,
East,EastSouth,heat,districtHeat,h0141,genUp,14.95907456,
East,EastSouth,heat,districtHeat,h0142,genUp,12.34367452,
East,EastSouth,heat,districtHeat,h0143,genUp,10.31586757,
East,EastSouth,heat,districtHeat,h0144,genUp,9.436420806,
East,EastSouth,heat,districtHeat,h0145,genUp,9.784783084,
East,EastSouth,heat,districtHeat,h0146,genUp,10.05029544,
East,EastSouth,heat,districtHeat,h0147,genUp,10.8007984,
East,EastSouth,heat,districtHeat,h0148,genUp,12.17682328,
East,EastSouth,heat,districtHeat,h0149,genUp,16.0443484,
East,EastSouth,heat,districtHeat,h0150,genUp,18.24231364,
East,EastSouth,heat,districtHeat,h0151,genUp,17.73880533,
East,EastSouth,heat,districtHeat,h0152,genUp,17.93926583,
East,EastSouth,heat,districtHeat,h0153,genUp,17.27601581,
East,EastSouth,heat,districtHeat,h0154,genUp,16.58200442,
East,EastSouth,heat,districtHeat,h0155,genUp,15.85245483,
East,EastSouth,heat,districtHeat,h0156,genUp,15.50818151,
East,EastSouth,heat,districtHeat,h0157,genUp,15.63706553,
East,EastSouth,heat,districtHeat,h0158,genUp,15.77578744,
East,EastSouth,heat,districtHeat,h0159,genUp,16.13942245,
East,EastSouth,heat,districtHeat,h0160,genUp,16.75435881,
East,EastSouth,heat,districtHeat,h0161,genUp,17.03854497,
East,EastSouth,heat,districtHeat,h0162,genUp,17.03523357,
East,EastSouth,heat,districtHeat,h0163,genUp,16.75320076,
East,EastSouth,heat,districtHeat,h0164,genUp,16.09766516,
East,EastSouth,heat,districtHeat,h0165,genUp,14.64081564,
East,EastSouth,heat,districtHeat,h0166,genUp,11.98110123,
East,EastSouth,heat,districtHeat,h0167,genUp,9.952950334,
East,EastSouth,heat,districtHeat,h0168,genUp,8.53401677,
East,EastSouth,heat,districtHeat,h0169,genUp,8.887126014,
East,EastSouth,heat,districtHeat,h0170,genUp,9.108324003,
East,EastSouth,heat,districtHeat,h0171,genUp,9.841244778,
East,EastSouth,heat,districtHeat,h0172,genUp,11.10665571,
East,EastSouth,heat,districtHeat,h0173,genUp,14.66978897,
East,EastSouth,heat,districtHeat,h0174,genUp,16.64112137,
East,EastSouth,heat,districtHeat,h0175,genUp,16.23098875,
East,EastSouth,heat,districtHeat,h0176,genUp,16.39188185,
East,EastSouth,heat,districtHeat,h0177,genUp,15.77663143,
East,EastSouth,heat,districtHeat,h0178,genUp,15.10494921,
East,EastSouth,heat,districtHeat,h0179,genUp,14.44204313,
East,EastSouth,heat,districtHeat,h0180,genUp,14.09302285,
East,EastSouth,heat,districtHeat,h0181,genUp,14.28380343,
East,EastSouth,heat,districtHeat,h0182,genUp,14.41777836,
East,EastSouth,heat,districtHeat,h0183,genUp,14.78141338,
East,EastSouth,heat,districtHeat,h0184,genUp,15.36961756,
East,EastSouth,heat,districtHeat,h0185,genUp,15.63147457,
East,EastSouth,heat,districtHeat,h0186,genUp,15.65049232,
East,EastSouth,heat,districtHeat,h0187,genUp,15.36845951,
East,EastSouth,heat,districtHeat,h0188,genUp,14.81473181,
East,EastSouth,heat,districtHeat,h0189,genUp,13.45969019,
East,EastSouth,heat,districtHeat,h0190,genUp,10.93326282,
East,EastSouth,heat,districtHeat,h0191,genUp,9.032964108,
East,EastSouth,heat,districtHeat,h0192,genUp,6.606851151,
East,EastSouth,heat,districtHeat,h0193,genUp,6.981945604,
East,EastSouth,heat,districtHeat,h0194,genUp,7.137531913,
East,EastSouth,heat,districtHeat,h0195,genUp,7.800467877,
East,EastSouth,heat,districtHeat,h0196,genUp,9.185268903,
East,EastSouth,heat,districtHeat,h0197,genUp,12.07772189,
East,EastSouth,heat,districtHeat,h0198,genUp,14.08952545,
East,EastSouth,heat,districtHeat,h0199,genUp,13.71596289,
East,EastSouth,heat,districtHeat,h0200,genUp,13.75674812,
East,EastSouth,heat,districtHeat,h0201,genUp,12.96495803,
East,EastSouth,heat,districtHeat,h0202,genUp,12.3412754,
East,EastSouth,heat,districtHeat,h0203,genUp,11.75310111,
East,EastSouth,heat,districtHeat,h0204,genUp,11.40917174,
East,EastSouth,heat,districtHeat,h0205,genUp,11.50763834,
East,EastSouth,heat,districtHeat,h0206,genUp,11.65004548,
East,EastSouth,heat,districtHeat,h0207,genUp,12.02723351,
East,EastSouth,heat,districtHeat,h0208,genUp,12.54036197,
East,EastSouth,heat,districtHeat,h0209,genUp,12.84213032,
East,EastSouth,heat,districtHeat,h0210,genUp,13.03768775,
East,EastSouth,heat,districtHeat,h0211,genUp,12.92307451,
East,EastSouth,heat,districtHeat,h0212,genUp,12.45322858,
East,EastSouth,heat,districtHeat,h0213,genUp,11.2794736,
East,EastSouth,heat,districtHeat,h0214,genUp,9.018902538,
East,EastSouth,heat,districtHeat,h0215,genUp,7.294829444,
East,EastSouth,heat,districtHeat,h0216,genUp,4.322547104,
East,EastSouth,heat,districtHeat,h0217,genUp,4.640491969,
East,EastSouth,heat,districtHeat,h0218,genUp,4.764943083,
East,EastSouth,heat,districtHeat,h0219,genUp,5.322012074,
East,EastSouth,heat,districtHeat,h0220,genUp,6.54713783,
East,EastSouth,heat,districtHeat,h0221,genUp,8.783277656,
East,EastSouth,heat,districtHeat,h0222,genUp,9.826841111,
East,EastSouth,heat,districtHeat,h0223,genUp,9.397908473,
East,EastSouth,heat,districtHeat,h0224,genUp,9.443440671,
East,EastSouth,heat,districtHeat,h0225,genUp,8.775069847,
East,EastSouth,heat,districtHeat,h0226,genUp,8.077373227,
East,EastSouth,heat,districtHeat,h0227,genUp,7.929471452,
East,EastSouth,heat,districtHeat,h0228,genUp,7.682946962,
East,EastSouth,heat,districtHeat,h0229,genUp,7.530859898,
East,EastSouth,heat,districtHeat,h0230,genUp,7.316876279,
East,EastSouth,heat,districtHeat,h0231,genUp,7.816795681,
East,EastSouth,heat,districtHeat,h0232,genUp,8.324459394,
East,EastSouth,heat,districtHeat,h0233,genUp,8.845646224,
East,EastSouth,heat,districtHeat,h0234,genUp,9.164278983,
East,EastSouth,heat,districtHeat,h0235,genUp,9.129144491,
East,EastSouth,heat,districtHeat,h0236,genUp,8.892987821,
East,EastSouth,heat,districtHeat,h0237,genUp,7.941148618,
East,EastSouth,heat,districtHeat,h0238,genUp,6.42433816,
East,EastSouth,heat,districtHeat,h0239,genUp,5.06289813,
East,EastSouth,heat,districtHeat,h0240,genUp,5.876239826,
East,EastSouth,heat,districtHeat,h0241,genUp,6.479902744,
East,EastSouth,heat,districtHeat,h0242,genUp,6.129978686,
East,EastSouth,heat,districtHeat,h0243,genUp,6.793258597,
East,EastSouth,heat,districtHeat,h0244,genUp,8.517585973,
East,EastSouth,heat,districtHeat,h0245,genUp,11.84884603,
East,EastSouth,heat,districtHeat,h0246,genUp,12.63254972,
East,EastSouth,heat,districtHeat,h0247,genUp,11.77143282,
East,EastSouth,heat,districtHeat,h0248,genUp,11.60457306,
East,EastSouth,heat,districtHeat,h0249,genUp,10.94391666,
East,EastSouth,heat,districtHeat,h0250,genUp,10.2627405,
East,EastSouth,heat,districtHeat,h0251,genUp,9.925119878,
East,EastSouth,heat,districtHeat,h0252,genUp,9.63902799,
East,EastSouth,heat,districtHeat,h0253,genUp,9.640433666,
East,EastSouth,heat,districtHeat,h0254,genUp,9.910663099,
East,EastSouth,heat,districtHeat,h0255,genUp,10.186761,
East,EastSouth,heat,districtHeat,h0256,genUp,10.8533822,
East,EastSouth,heat,districtHeat,h0257,genUp,11.43278035,
East,EastSouth,heat,districtHeat,h0258,genUp,11.71221955,
East,EastSouth,heat,districtHeat,h0259,genUp,11.76939902,
East,EastSouth,heat,districtHeat,h0260,genUp,11.55450978,
East,EastSouth,heat,districtHeat,h0261,genUp,10.3723226,
East,EastSouth,heat,districtHeat,h0262,genUp,8.495218415,
East,EastSouth,heat,districtHeat,h0263,genUp,6.621367707,
East,EastSouth,heat,districtHeat,h0264,genUp,6.186066546,
East,EastSouth,heat,districtHeat,h0265,genUp,6.5215936,
East,EastSouth,heat,districtHeat,h0266,genUp,6.632865544,
East,EastSouth,heat,districtHeat,h0267,genUp,7.384056403,
East,EastSouth,heat,districtHeat,h0268,genUp,8.830753983,
East,EastSouth,heat,districtHeat,h0269,genUp,11.52502603,
East,EastSouth,heat,districtHeat,h0270,genUp,13.2105123,
East,EastSouth,heat,districtHeat,h0271,genUp,12.85453193,
East,EastSouth,heat,districtHeat,h0272,genUp,12.90815239,
East,EastSouth,heat,districtHeat,h0273,genUp,12.10280928,
East,EastSouth,heat,districtHeat,h0274,genUp,11.4567975,
East,EastSouth,heat,districtHeat,h0275,genUp,10.80269747,
East,EastSouth,heat,districtHeat,h0276,genUp,10.56460518,
East,EastSouth,heat,districtHeat,h0277,genUp,10.68065398,
East,EastSouth,heat,districtHeat,h0278,genUp,10.75273236,
East,EastSouth,heat,districtHeat,h0279,genUp,11.11233819,
East,EastSouth,heat,districtHeat,h0280,genUp,11.7133776,
East,EastSouth,heat,districtHeat,h0281,genUp,12.06789252,
East,EastSouth,heat,districtHeat,h0282,genUp,12.43083965,
East,EastSouth,heat,districtHeat,h0283,genUp,12.40010817,
East,EastSouth,heat,districtHeat,h0284,genUp,11.89950088,
East,EastSouth,heat,districtHeat,h0285,genUp,10.77006027,
East,EastSouth,heat,districtHeat,h0286,genUp,8.536565324,
East,EastSouth,heat,districtHeat,h0287,genUp,6.838880459,
East,EastSouth,heat,districtHeat,h0288,genUp,5.518757451,
East,EastSouth,heat,districtHeat,h0289,genUp,5.819120126,
East,EastSouth,heat,districtHeat,h0290,genUp,5.890824672,
East,EastSouth,heat,districtHeat,h0291,genUp,6.584521995,
East,EastSouth,heat,districtHeat,h0292,genUp,7.885441257,
East,EastSouth,heat,districtHeat,h0293,genUp,10.29624492,
East,EastSouth,heat,districtHeat,h0294,genUp,11.79500969,
East,EastSouth,heat,districtHeat,h0295,genUp,11.50567284,
East,EastSouth,heat,districtHeat,h0296,genUp,11.6695334,
East,EastSouth,heat,districtHeat,h0297,genUp,10.8161907,
East,EastSouth,heat,districtHeat,h0298,genUp,10.1793289,
East,EastSouth,heat,districtHeat,h0299,genUp,9.653051158,
East,EastSouth,heat,districtHeat,h0300,genUp,9.402123649,
East,EastSouth,heat,districtHeat,h0301,genUp,9.566172051,
East,EastSouth,heat,districtHeat,h0302,genUp,9.673414811,
East,EastSouth,heat,districtHeat,h0303,genUp,10.03302064,
East,EastSouth,heat,districtHeat,h0304,genUp,10.50149079,
East,EastSouth,heat,districtHeat,h0305,genUp,10.85160269,
East,EastSouth,heat,districtHeat,h0306,genUp,11.03398095,
East,EastSouth,heat,districtHeat,h0307,genUp,11.01642865,
East,EastSouth,heat,districtHeat,h0308,genUp,10.63046448,
East,EastSouth,heat,districtHeat,h0309,genUp,9.629563945,
East,EastSouth,heat,districtHeat,h0310,genUp,7.54728218,
East,EastSouth,heat,districtHeat,h0311,genUp,6.052525221,
East,EastSouth,heat,districtHeat,h0312,genUp,6.16373739,
East,EastSouth,heat,districtHeat,h0313,genUp,6.503667463,
East,EastSouth,heat,districtHeat,h0314,genUp,6.615283355,
East,EastSouth,heat,districtHeat,h0315,genUp,7.366474213,
East,EastSouth,heat,districtHeat,h0316,genUp,8.879815315,
East,EastSouth,heat,districtHeat,h0317,genUp,11.60925174,
East,EastSouth,heat,districtHeat,h0318,genUp,13.35663457,
East,EastSouth,heat,districtHeat,h0319,genUp,13.03581857,
East,EastSouth,heat,districtHeat,h0320,genUp,13.15502082,
East,EastSouth,heat,districtHeat,h0321,genUp,12.16030282,
East,EastSouth,heat,districtHeat,h0322,genUp,11.46594749,
East,EastSouth,heat,districtHeat,h0323,genUp,10.860191,
East,EastSouth,heat,districtHeat,h0324,genUp,10.58693434,
East,EastSouth,heat,districtHeat,h0325,genUp,10.69383315,
East,EastSouth,heat,districtHeat,h0326,genUp,10.86297246,
East,EastSouth,heat,districtHeat,h0327,genUp,11.22698132,
East,EastSouth,heat,districtHeat,h0328,genUp,11.75769197,
East,EastSouth,heat,districtHeat,h0329,genUp,12.13453604,
East,EastSouth,heat,districtHeat,h0330,genUp,12.36122867,
East,EastSouth,heat,districtHeat,h0331,genUp,12.34367637,
East,EastSouth,heat,districtHeat,h0332,genUp,11.93538304,
East,EastSouth,heat,districtHeat,h0333,genUp,10.78361327,
East,EastSouth,heat,districtHeat,h0334,genUp,8.470639585,
East,EastSouth,heat,districtHeat,h0335,genUp,6.785789943,
East,EastSouth,heat,districtHeat,h0336,genUp,6.362606223,
East,EastSouth,heat,districtHeat,h0337,genUp,6.724865453,
East,EastSouth,heat,districtHeat,h0338,genUp,6.836137398,
East,EastSouth,heat,districtHeat,h0339,genUp,7.569746067,
East,EastSouth,heat,districtHeat,h0340,genUp,8.998861457,
East,EastSouth,heat,districtHeat,h0341,genUp,11.76786528,
East,EastSouth,heat,districtHeat,h0342,genUp,13.48885988,
East,EastSouth,heat,districtHeat,h0343,genUp,13.17244691,
East,EastSouth,heat,districtHeat,h0344,genUp,13.29639612,
East,EastSouth,heat,districtHeat,h0345,genUp,12.40314207,
East,EastSouth,heat,districtHeat,h0346,genUp,11.72671288,
East,EastSouth,heat,districtHeat,h0347,genUp,11.12095639,
East,EastSouth,heat,districtHeat,h0348,genUp,10.85210274,
East,EastSouth,heat,districtHeat,h0349,genUp,10.97658375,
East,EastSouth,heat,districtHeat,h0350,genUp,11.12814087,
East,EastSouth,heat,districtHeat,h0351,genUp,11.48774671,
East,EastSouth,heat,districtHeat,h0352,genUp,11.9961282,
East,EastSouth,heat,districtHeat,h0353,genUp,12.37297228,
East,EastSouth,heat,districtHeat,h0354,genUp,12.53776835,
East,EastSouth,heat,districtHeat,h0355,genUp,12.52021605,
East,EastSouth,heat,districtHeat,h0356,genUp,12.07235532,
East,EastSouth,heat,districtHeat,h0357,genUp,10.92058555,
East,EastSouth,heat,districtHeat,h0358,genUp,8.629941021,
East,EastSouth,heat,districtHeat,h0359,genUp,6.945091378,
East,EastSouth,heat,districtHeat,h0360,genUp,6.098155598,
East,EastSouth,heat,districtHeat,h0361,genUp,6.477997017,
East,EastSouth,heat,districtHeat,h0362,genUp,6.589268961,
East,EastSouth,heat,districtHeat,h0363,genUp,7.270131061,
East,EastSouth,heat,districtHeat,h0364,genUp,8.721575608,
East,EastSouth,heat,districtHeat,h0365,genUp,11.47299724,
East,EastSouth,heat,districtHeat,h0366,genUp,13.43979855,
East,EastSouth,heat,districtHeat,h0367,genUp,13.0486538,
East,EastSouth,heat,districtHeat,h0368,genUp,13.11985644,
East,EastSouth,heat,districtHeat,h0369,genUp,12.22660239,
East,EastSouth,heat,districtHeat,h0370,genUp,11.58059061,
East,EastSouth,heat,districtHeat,h0371,genUp,10.99241631,
East,EastSouth,heat,districtHeat,h0372,genUp,10.68839829,
East,EastSouth,heat,districtHeat,h0373,genUp,10.76487969,
East,EastSouth,heat,districtHeat,h0374,genUp,10.92486902,
East,EastSouth,heat,districtHeat,h0375,genUp,11.28887787,
East,EastSouth,heat,districtHeat,h0376,genUp,11.78442414,
East,EastSouth,heat,districtHeat,h0377,genUp,12.12610384,
East,EastSouth,heat,districtHeat,h0378,genUp,12.37881086,
East,EastSouth,heat,districtHeat,h0379,genUp,12.30851199,
East,EastSouth,heat,districtHeat,h0380,genUp,11.90021866,
East,EastSouth,heat,districtHeat,h0381,genUp,10.77077805,
East,EastSouth,heat,districtHeat,h0382,genUp,8.528133121,
East,EastSouth,heat,districtHeat,h0383,genUp,6.825701289,
East,EastSouth,heat,districtHeat,h0384,genUp,7.483584741,
East,EastSouth,heat,districtHeat,h0385,genUp,7.634139914,
East,EastSouth,heat,districtHeat,h0386,genUp,8.048741989,
East,EastSouth,heat,districtHeat,h0387,genUp,8.596690882,
East,EastSouth,heat,districtHeat,h0388,genUp,9.791055278,
East,EastSouth,heat,districtHeat,h0389,genUp,13.31246779,
East,EastSouth,heat,districtHeat,h0390,genUp,14.99158554,
East,EastSouth,heat,districtHeat,h0391,genUp,14.24370609,
East,EastSouth,heat,districtHeat,h0392,genUp,14.35219657,
East,EastSouth,heat,districtHeat,h0393,genUp,13.78126051,
East,EastSouth,heat,districtHeat,h0394,genUp,13.11872827,
East,EastSouth,heat,districtHeat,h0395,genUp,12.84263037,
East,EastSouth,heat,districtHeat,h0396,genUp,12.37528173,
East,EastSouth,heat,districtHeat,h0397,genUp,12.4078226,
East,EastSouth,heat,districtHeat,h0398,genUp,12.24290031,
East,EastSouth,heat,districtHeat,h0399,genUp,12.63695274,
East,EastSouth,heat,districtHeat,h0400,genUp,13.30832091,
East,EastSouth,heat,districtHeat,h0401,genUp,13.84708992,
East,EastSouth,heat,districtHeat,h0402,genUp,13.92728645,
East,EastSouth,heat,districtHeat,h0403,genUp,13.72473238,
East,EastSouth,heat,districtHeat,h0404,genUp,13.1754077,
East,EastSouth,heat,districtHeat,h0405,genUp,12.08516065,
East,EastSouth,heat,districtHeat,h0406,genUp,9.894918346,
East,EastSouth,heat,districtHeat,h0407,genUp,8.109636591,
East,EastSouth,heat,districtHeat,h0408,genUp,8.883410888,
East,EastSouth,heat,districtHeat,h0409,genUp,9.131026994,
East,EastSouth,heat,districtHeat,h0410,genUp,9.145641728,
East,EastSouth,heat,districtHeat,h0411,genUp,9.838995105,
East,EastSouth,heat,districtHeat,h0412,genUp,11.70291827,
East,EastSouth,heat,districtHeat,h0413,genUp,15.89569895,
East,EastSouth,heat,districtHeat,h0414,genUp,17.00690973,
East,EastSouth,heat,districtHeat,h0415,genUp,15.9942357,
East,EastSouth,heat,districtHeat,h0416,genUp,16.1811432,
East,EastSouth,heat,districtHeat,h0417,genUp,15.60105716,
East,EastSouth,heat,districtHeat,h0418,genUp,14.98177755,
East,EastSouth,heat,districtHeat,h0419,genUp,14.59578349,
East,EastSouth,heat,districtHeat,h0420,genUp,14.17203143,
East,EastSouth,heat,districtHeat,h0421,genUp,14.2525719,
East,EastSouth,heat,districtHeat,h0422,genUp,14.57151872,
East,EastSouth,heat,districtHeat,h0423,genUp,14.98790031,
East,EastSouth,heat,districtHeat,h0424,genUp,15.45743218,
East,EastSouth,heat,districtHeat,h0425,genUp,16.07127693,
East,EastSouth,heat,districtHeat,h0426,genUp,16.25293741,
East,EastSouth,heat,districtHeat,h0427,genUp,15.98848678,
East,EastSouth,heat,districtHeat,h0428,genUp,15.50034087,
East,EastSouth,heat,districtHeat,h0429,genUp,14.15847842,
East,EastSouth,heat,districtHeat,h0430,genUp,11.5339284,
East,EastSouth,heat,districtHeat,h0431,genUp,9.65049409,
East,EastSouth,heat,districtHeat,h0432,genUp,9.930875461,
East,EastSouth,heat,districtHeat,h0433,genUp,10.23123814,
East,EastSouth,heat,districtHeat,h0434,genUp,10.49200352,
