region_1,region_2,carrier_1,carrier_2,timestep_4,parameter,value,comment
East,EastSouth,heat,districtHeat,h0001,genUp,10.25356729,limits the generation of heat within district heating network to account for the fact that only a small share of consumers is connected to district heating networks
East,EastSouth,heat,districtHeat,h0002,genUp,10.51907965,
East,EastSouth,heat,districtHeat,h0003,genUp,11.33147917,
East,EastSouth,heat,districtHeat,h0004,genUp,12.67233966,
East,EastSouth,heat,districtHeat,h0005,genUp,16.65382001,
East,EastSouth,heat,districtHeat,h0006,genUp,18.90962273,
East,EastSouth,heat,districtHeat,h0007,genUp,18.37938225,
East,EastSouth,heat,districtHeat,h0008,genUp,18.63733628,
East,EastSouth,heat,districtHeat,h0009,genUp,17.95616013,
East,EastSouth,heat,districtHeat,h0010,genUp,17.22732831,
East,EastSouth,heat,districtHeat,h0011,genUp,16.51976392,
East,EastSouth,heat,districtHeat,h0012,genUp,16.11359405,
East,EastSouth,heat,districtHeat,h0013,genUp,16.20291068,
East,EastSouth,heat,districtHeat,h0014,genUp,16.35921477,
East,EastSouth,heat,districtHeat,h0015,genUp,16.74517894,
East,EastSouth,heat,districtHeat,h0016,genUp,17.36486227,
East,EastSouth,heat,districtHeat,h0017,genUp,17.62197231,
East,EastSouth,heat,districtHeat,h0018,genUp,17.62340787,
East,EastSouth,heat,districtHeat,h0019,genUp,17.29671674,
East,EastSouth,heat,districtHeat,h0020,genUp,16.64592811,
East,EastSouth,heat,districtHeat,h0021,genUp,15.12718204,
East,EastSouth,heat,districtHeat,h0022,genUp,12.48945284,
East,EastSouth,heat,districtHeat,h0023,genUp,10.39974933,
East,EastSouth,heat,districtHeat,h0024,genUp,8.853711257,
East,EastSouth,heat,districtHeat,h0025,genUp,9.206820501,
East,EastSouth,heat,districtHeat,h0026,genUp,9.44560068,
East,EastSouth,heat,districtHeat,h0027,genUp,10.14810404,
East,EastSouth,heat,districtHeat,h0028,genUp,11.47981455,
East,EastSouth,heat,districtHeat,h0029,genUp,15.07302128,
East,EastSouth,heat,districtHeat,h0030,genUp,17.4274766,
East,EastSouth,heat,districtHeat,h0031,genUp,16.85873045,
East,EastSouth,heat,districtHeat,h0032,genUp,17.04160876,
East,EastSouth,heat,districtHeat,h0033,genUp,16.36077655,
East,EastSouth,heat,districtHeat,h0034,genUp,15.75942308,
East,EastSouth,heat,districtHeat,h0035,genUp,15.06944088,
East,EastSouth,heat,districtHeat,h0036,genUp,14.66801798,
East,EastSouth,heat,districtHeat,h0037,genUp,14.70899105,
East,EastSouth,heat,districtHeat,h0038,genUp,14.8960565,
East,EastSouth,heat,districtHeat,h0039,genUp,15.26409454,
East,EastSouth,heat,districtHeat,h0040,genUp,15.86144871,
East,EastSouth,heat,districtHeat,h0041,genUp,16.06615613,
East,EastSouth,heat,districtHeat,h0042,genUp,16.15515869,
East,EastSouth,heat,districtHeat,h0043,genUp,15.8775289,
East,EastSouth,heat,districtHeat,h0044,genUp,15.22674026,
East,EastSouth,heat,districtHeat,h0045,genUp,13.82738428,
East,EastSouth,heat,districtHeat,h0046,genUp,11.38886786,
East,EastSouth,heat,districtHeat,h0047,genUp,9.414181315,
East,EastSouth,heat,districtHeat,h0048,genUp,8.34976267,
East,EastSouth,heat,districtHeat,h0049,genUp,8.527050018,
East,EastSouth,heat,districtHeat,h0050,genUp,8.981219492,
East,EastSouth,heat,districtHeat,h0051,genUp,9.591408886,
East,EastSouth,heat,districtHeat,h0052,genUp,10.99344816,
East,EastSouth,heat,districtHeat,h0053,genUp,14.95728654,
East,EastSouth,heat,districtHeat,h0054,genUp,16.92493369,
East,EastSouth,heat,districtHeat,h0055,genUp,16.08808156,
East,EastSouth,heat,districtHeat,h0056,genUp,16.11234633,
