region_1,region_2,technology_1,timestep_4,scenario,parameter,value
West,WestSouth,wind,h0079,scenarioA,avaConv,0.134809822
West,WestSouth,wind,h0080,scenarioA,avaConv,0.120767132
West,WestSouth,wind,h0081,scenarioA,avaConv,0.105922003
West,WestSouth,wind,h0082,scenarioA,avaConv,0.100104317
West,WestSouth,wind,h0083,scenarioA,avaConv,0.094487241
West,WestSouth,wind,h0084,scenarioA,avaConv,0.088569251
West,WestSouth,wind,h0085,scenarioA,avaConv,0.080043332
West,WestSouth,wind,h0086,scenarioA,avaConv,0.080645161
West,WestSouth,wind,h0087,scenarioA,avaConv,0.081246991
West,WestSouth,wind,h0088,scenarioA,avaConv,0.08184882
West,WestSouth,wind,h0089,scenarioA,avaConv,0.080344247
West,WestSouth,wind,h0090,scenarioA,avaConv,0.084456749
West,WestSouth,wind,h0091,scenarioA,avaConv,0.083253089
West,WestSouth,wind,h0092,scenarioA,avaConv,0.087666506
West,WestSouth,wind,h0093,scenarioA,avaConv,0.094186326
West,WestSouth,wind,h0094,scenarioA,avaConv,0.093785107
West,WestSouth,wind,h0095,scenarioA,avaConv,0.10301316
West,WestSouth,wind,h0096,scenarioA,avaConv,0.102311026
West,WestSouth,wind,h0097,scenarioA,avaConv,0.106222918
West,WestSouth,wind,h0098,scenarioA,avaConv,0.109633285
West,WestSouth,wind,h0099,scenarioA,avaConv,0.108229016
West,WestSouth,wind,h0100,scenarioA,avaConv,0.101709196
West,WestSouth,wind,h0101,scenarioA,avaConv,0.08937169
West,WestSouth,wind,h0102,scenarioA,avaConv,0.080645161
West,WestSouth,wind,h0103,scenarioA,avaConv,0.072620767
West,WestSouth,wind,h0104,scenarioA,avaConv,0.077636013
West,WestSouth,wind,h0105,scenarioA,avaConv,0.087365591
West,WestSouth,wind,h0106,scenarioA,avaConv,0.08285187
West,WestSouth,wind,h0107,scenarioA,avaConv,0.073623816
West,WestSouth,wind,h0108,scenarioA,avaConv,0.056571979
West,WestSouth,wind,h0109,scenarioA,avaConv,0.044535388
West,WestSouth,wind,h0110,scenarioA,avaConv,0.038517092
West,WestSouth,wind,h0111,scenarioA,avaConv,0.032498796
West,WestSouth,wind,h0112,scenarioA,avaConv,0.031094527
West,WestSouth,wind,h0113,scenarioA,avaConv,0.03420398
West,WestSouth,wind,h0114,scenarioA,avaConv,0.04172685
West,WestSouth,wind,h0115,scenarioA,avaConv,0.04864789
West,WestSouth,wind,h0116,scenarioA,avaConv,0.052660087
West,WestSouth,wind,h0117,scenarioA,avaConv,0.052961001
West,WestSouth,wind,h0118,scenarioA,avaConv,0.053462526
West,WestSouth,wind,h0119,scenarioA,avaConv,0.060784786
West,WestSouth,wind,h0120,scenarioA,avaConv,0.067806131
West,WestSouth,wind,h0121,scenarioA,avaConv,0.070113144
West,WestSouth,wind,h0122,scenarioA,avaConv,0.069711924
West,WestSouth,wind,h0123,scenarioA,avaConv,0.069611619
West,WestSouth,wind,h0124,scenarioA,avaConv,0.072420157
West,WestSouth,wind,h0125,scenarioA,avaConv,0.074025036
West,WestSouth,wind,h0126,scenarioA,avaConv,0.079040282
West,WestSouth,wind,h0127,scenarioA,avaConv,0.095289681
West,WestSouth,wind,h0128,scenarioA,avaConv,0.116153105
West,WestSouth,wind,h0129,scenarioA,avaConv,0.119162253
West,WestSouth,wind,h0130,scenarioA,avaConv,0.116153105
West,WestSouth,wind,h0131,scenarioA,avaConv,0.119964693
West,WestSouth,wind,h0132,scenarioA,avaConv,0.124578719
West,WestSouth,wind,h0133,scenarioA,avaConv,0.128290002
West,WestSouth,wind,h0134,scenarioA,avaConv,0.128490611
West,WestSouth,wind,h0135,scenarioA,avaConv,0.135110737
West,WestSouth,wind,h0136,scenarioA,avaConv,0.142533301
West,WestSouth,wind,h0137,scenarioA,avaConv,0.153466538
West,WestSouth,wind,h0138,scenarioA,avaConv,0.167308618
West,WestSouth,wind,h0139,scenarioA,avaConv,0.168111058
West,WestSouth,wind,h0140,scenarioA,avaConv,0.166104959
West,WestSouth,wind,h0141,scenarioA,avaConv,0.162092762
West,WestSouth,wind,h0142,scenarioA,avaConv,0.15146044
West,WestSouth,wind,h0143,scenarioA,avaConv,0.147247633
West,WestSouth,wind,h0144,scenarioA,avaConv,0.140527203
West,WestSouth,wind,h0145,scenarioA,avaConv,0.113344567
West,WestSouth,wind,h0146,scenarioA,avaConv,0.087666506
West,WestSouth,wind,h0147,scenarioA,avaConv,0.071417108
West,WestSouth,wind,h0148,scenarioA,avaConv,0.060985396
West,WestSouth,wind,h0149,scenarioA,avaConv,0.048146365
West,WestSouth,wind,h0150,scenarioA,avaConv,0.041827155
West,WestSouth,wind,h0151,scenarioA,avaConv,0.043732948
West,WestSouth,wind,h0152,scenarioA,avaConv,0.058176858
West,WestSouth,wind,h0153,scenarioA,avaConv,0.080243942
West,WestSouth,wind,h0154,scenarioA,avaConv,0.09589151
West,WestSouth,wind,h0155,scenarioA,avaConv,0.11033542
West,WestSouth,wind,h0156,scenarioA,avaConv,0.101508586
West,WestSouth,wind,h0157,scenarioA,avaConv,0.089672605
West,WestSouth,wind,h0158,scenarioA,avaConv,0.081447601
West,WestSouth,wind,h0159,scenarioA,avaConv,0.084055529
West,WestSouth,wind,h0160,scenarioA,avaConv,0.091678703
West,WestSouth,wind,h0161,scenarioA,avaConv,0.102511635
West,WestSouth,wind,h0162,scenarioA,avaConv,0.130396405
West,WestSouth,wind,h0163,scenarioA,avaConv,0.184059541
West,WestSouth,wind,h0164,scenarioA,avaConv,0.230901942
West,WestSouth,wind,h0165,scenarioA,avaConv,0.264403788
West,WestSouth,wind,h0166,scenarioA,avaConv,0.301115391
West,WestSouth,wind,h0167,scenarioA,avaConv,0.32328278
West,WestSouth,wind,h0168,scenarioA,avaConv,0.353273953
West,WestSouth,wind,h0169,scenarioA,avaConv,0.37152945
West,WestSouth,wind,h0170,scenarioA,avaConv,0.382362382
West,WestSouth,wind,h0171,scenarioA,avaConv,0.380556893
West,WestSouth,wind,h0172,scenarioA,avaConv,0.403025197
West,WestSouth,wind,h0173,scenarioA,avaConv,0.422785267
West,WestSouth,wind,h0174,scenarioA,avaConv,0.445153266
West,WestSouth,wind,h0175,scenarioA,avaConv,0.475846574
West,WestSouth,wind,h0176,scenarioA,avaConv,0.504935002
West,WestSouth,wind,h0177,scenarioA,avaConv,0.545658803
West,WestSouth,wind,h0178,scenarioA,avaConv,0.574045097
West,WestSouth,wind,h0179,scenarioA,avaConv,0.600425293
West,WestSouth,wind,h0180,scenarioA,avaConv,0.621489328
West,WestSouth,wind,h0181,scenarioA,avaConv,0.636735676
West,WestSouth,wind,h0182,scenarioA,avaConv,0.64556251
West,WestSouth,wind,h0183,scenarioA,avaConv,0.657197882
West,WestSouth,wind,h0184,scenarioA,avaConv,0.607246028
West,WestSouth,wind,h0185,scenarioA,avaConv,0.531014283
West,WestSouth,wind,h0186,scenarioA,avaConv,0.489588349
West,WestSouth,wind,h0187,scenarioA,avaConv,0.46049992
West,WestSouth,wind,h0188,scenarioA,avaConv,0.445353876
West,WestSouth,wind,h0189,scenarioA,avaConv,0.42609533
West,WestSouth,wind,h0190,scenarioA,avaConv,0.41897368
West,WestSouth,wind,h0191,scenarioA,avaConv,0.413356604
West,WestSouth,wind,h0192,scenarioA,avaConv,0.44013802
West,WestSouth,wind,h0193,scenarioA,avaConv,0.486077676
West,WestSouth,wind,h0194,scenarioA,avaConv,0.547664901
West,WestSouth,wind,h0195,scenarioA,avaConv,0.59119724
West,WestSouth,wind,h0196,scenarioA,avaConv,0.591799069
West,WestSouth,wind,h0197,scenarioA,avaConv,0.645261595
West,WestSouth,wind,h0198,scenarioA,avaConv,0.681973199
West,WestSouth,wind,h0199,scenarioA,avaConv,0.709958273
West,WestSouth,wind,h0200,scenarioA,avaConv,0.722897609
West,WestSouth,wind,h0201,scenarioA,avaConv,0.718383887
West,WestSouth,wind,h0202,scenarioA,avaConv,0.709456749
West,WestSouth,wind,h0203,scenarioA,avaConv,0.70745065
West,WestSouth,wind,h0204,scenarioA,avaConv,0.696417108
West,WestSouth,wind,h0205,scenarioA,avaConv,0.699325951
West,WestSouth,wind,h0206,scenarioA,avaConv,0.712064677
West,WestSouth,wind,h0207,scenarioA,avaConv,0.710560103
West,WestSouth,wind,h0208,scenarioA,avaConv,0.710861017
West,WestSouth,wind,h0209,scenarioA,avaConv,0.717380838
West,WestSouth,wind,h0210,scenarioA,avaConv,0.72761194
West,WestSouth,wind,h0211,scenarioA,avaConv,0.747071096
West,WestSouth,wind,h0212,scenarioA,avaConv,0.750481464
West,WestSouth,wind,h0213,scenarioA,avaConv,0.758606163
West,WestSouth,wind,h0214,scenarioA,avaConv,0.75609854
West,WestSouth,wind,h0215,scenarioA,avaConv,0.742557374
West,WestSouth,wind,h0216,scenarioA,avaConv,0.726408281
West,WestSouth,wind,h0217,scenarioA,avaConv,0.72781255
West,WestSouth,wind,h0218,scenarioA,avaConv,0.732827797
West,WestSouth,wind,h0219,scenarioA,avaConv,0.730420478
West,WestSouth,wind,h0220,scenarioA,avaConv,0.724201573
West,WestSouth,wind,h0221,scenarioA,avaConv,0.718183277
West,WestSouth,wind,h0222,scenarioA,avaConv,0.706748515
West,WestSouth,wind,h0223,scenarioA,avaConv,0.694611619
West,WestSouth,wind,h0224,scenarioA,avaConv,0.698623816
West,WestSouth,wind,h0225,scenarioA,avaConv,0.71417108
West,WestSouth,wind,h0226,scenarioA,avaConv,0.702335099
West,WestSouth,wind,h0227,scenarioA,avaConv,0.702736318
West,WestSouth,wind,h0228,scenarioA,avaConv,0.706748515
West,WestSouth,wind,h0229,scenarioA,avaConv,0.707350345
West,WestSouth,wind,h0230,scenarioA,avaConv,0.715976569
West,WestSouth,wind,h0231,scenarioA,avaConv,0.710660408
West,WestSouth,wind,h0232,scenarioA,avaConv,0.698924731
West,WestSouth,wind,h0233,scenarioA,avaConv,0.663818007
West,WestSouth,wind,h0234,scenarioA,avaConv,0.633726529
West,WestSouth,wind,h0235,scenarioA,avaConv,0.605239929
West,WestSouth,wind,h0236,scenarioA,avaConv,0.564716739
West,WestSouth,wind,h0237,scenarioA,avaConv,0.492697801
West,WestSouth,wind,h0238,scenarioA,avaConv,0.434320334
West,WestSouth,wind,h0239,scenarioA,avaConv,0.400517573
West,WestSouth,wind,h0240,scenarioA,avaConv,0.361097737
West,WestSouth,wind,h0241,scenarioA,avaConv,0.352070294
West,WestSouth,wind,h0242,scenarioA,avaConv,0.357386455
West,WestSouth,wind,h0243,scenarioA,avaConv,0.382362382
West,WestSouth,wind,h0244,scenarioA,avaConv,0.382763601
West,WestSouth,wind,h0245,scenarioA,avaConv,0.390687691
West,WestSouth,wind,h0246,scenarioA,avaConv,0.424289841
West,WestSouth,wind,h0247,scenarioA,avaConv,0.463208153
West,WestSouth,wind,h0248,scenarioA,avaConv,0.518175253
West,WestSouth,wind,h0249,scenarioA,avaConv,0.534324346
West,WestSouth,wind,h0250,scenarioA,avaConv,0.52870727
West,WestSouth,wind,h0251,scenarioA,avaConv,0.503229819
West,WestSouth,wind,h0252,scenarioA,avaConv,0.503229819
West,WestSouth,wind,h0253,scenarioA,avaConv,0.520081046
West,WestSouth,wind,h0254,scenarioA,avaConv,0.52198684
West,WestSouth,wind,h0255,scenarioA,avaConv,0.510150859
West,WestSouth,wind,h0256,scenarioA,avaConv,0.468624619
West,WestSouth,wind,h0257,scenarioA,avaConv,0.423688012
West,WestSouth,wind,h0258,scenarioA,avaConv,0.418472155
West,WestSouth,wind,h0259,scenarioA,avaConv,0.469527363
West,WestSouth,wind,h0260,scenarioA,avaConv,0.512959397
West,WestSouth,wind,h0261,scenarioA,avaConv,0.532518857
West,WestSouth,wind,h0262,scenarioA,avaConv,0.54194752
West,WestSouth,wind,h0263,scenarioA,avaConv,0.542248435
West,WestSouth,wind,h0264,scenarioA,avaConv,0.529610014
West,WestSouth,wind,h0265,scenarioA,avaConv,0.533321297
West,WestSouth,wind,h0266,scenarioA,avaConv,0.545458193
West,WestSouth,wind,h0267,scenarioA,avaConv,0.552880758
West,WestSouth,wind,h0268,scenarioA,avaConv,0.559500883
West,WestSouth,wind,h0269,scenarioA,avaConv,0.573342963
West,WestSouth,wind,h0270,scenarioA,avaConv,0.582972236
West,WestSouth,wind,h0271,scenarioA,avaConv,0.588188092
West,WestSouth,wind,h0272,scenarioA,avaConv,0.599422244
West,WestSouth,wind,h0273,scenarioA,avaConv,0.620586583
West,WestSouth,wind,h0274,scenarioA,avaConv,0.620686888
West,WestSouth,wind,h0275,scenarioA,avaConv,0.614267373
West,WestSouth,wind,h0276,scenarioA,avaConv,0.6107567
West,WestSouth,wind,h0277,scenarioA,avaConv,0.616273471
West,WestSouth,wind,h0278,scenarioA,avaConv,0.614267373
West,WestSouth,wind,h0279,scenarioA,avaConv,0.599221634
West,WestSouth,wind,h0280,scenarioA,avaConv,0.587987482
West,WestSouth,wind,h0281,scenarioA,avaConv,0.583574065
West,WestSouth,wind,h0282,scenarioA,avaConv,0.600124378
West,WestSouth,wind,h0283,scenarioA,avaConv,0.620285668
West,WestSouth,wind,h0284,scenarioA,avaConv,0.640647569
West,WestSouth,wind,h0285,scenarioA,avaConv,0.649374097
West,WestSouth,wind,h0286,scenarioA,avaConv,0.664821056
West,WestSouth,wind,h0287,scenarioA,avaConv,0.672243621
West,WestSouth,wind,h0288,scenarioA,avaConv,0.668231424
West,WestSouth,wind,h0289,scenarioA,avaConv,0.6596052
West,WestSouth,wind,h0290,scenarioA,avaConv,0.64496068
West,WestSouth,wind,h0291,scenarioA,avaConv,0.642753972
West,WestSouth,wind,h0292,scenarioA,avaConv,0.658401541
West,WestSouth,wind,h0293,scenarioA,avaConv,0.650778366
West,WestSouth,wind,h0294,scenarioA,avaConv,0.658000321
West,WestSouth,wind,h0295,scenarioA,avaConv,0.661009469
West,WestSouth,wind,h0296,scenarioA,avaConv,0.664821056
West,WestSouth,wind,h0297,scenarioA,avaConv,0.648070133
West,WestSouth,wind,h0298,scenarioA,avaConv,0.628310063
West,WestSouth,wind,h0299,scenarioA,avaConv,0.615872252
West,WestSouth,wind,h0300,scenarioA,avaConv,0.573142353
West,WestSouth,wind,h0301,scenarioA,avaConv,0.56371369
West,WestSouth,wind,h0302,scenarioA,avaConv,0.598419194
West,WestSouth,wind,h0303,scenarioA,avaConv,0.618881399
West,WestSouth,wind,h0304,scenarioA,avaConv,0.609051517
West,WestSouth,wind,h0305,scenarioA,avaConv,0.593203338
West,WestSouth,wind,h0306,scenarioA,avaConv,0.559902102
West,WestSouth,wind,h0307,scenarioA,avaConv,0.515968544
West,WestSouth,wind,h0308,scenarioA,avaConv,0.505938052
West,WestSouth,wind,h0309,scenarioA,avaConv,0.503530733
West,WestSouth,wind,h0310,scenarioA,avaConv,0.524795378
West,WestSouth,wind,h0311,scenarioA,avaConv,0.536831969
West,WestSouth,wind,h0312,scenarioA,avaConv,0.56291125
West,WestSouth,wind,h0313,scenarioA,avaConv,0.593403948
West,WestSouth,wind,h0314,scenarioA,avaConv,0.583172845
West,WestSouth,wind,h0315,scenarioA,avaConv,0.585981383
West,WestSouth,wind,h0316,scenarioA,avaConv,0.601528647
West,WestSouth,wind,h0317,scenarioA,avaConv,0.603434441
West,WestSouth,wind,h0318,scenarioA,avaConv,0.556692345
West,WestSouth,wind,h0319,scenarioA,avaConv,0.511755737
West,WestSouth,wind,h0320,scenarioA,avaConv,0.566923447
West,WestSouth,wind,h0321,scenarioA,avaConv,0.606443589
West,WestSouth,wind,h0322,scenarioA,avaConv,0.606042369
West,WestSouth,wind,h0323,scenarioA,avaConv,0.592200289
West,WestSouth,wind,h0324,scenarioA,avaConv,0.574045097
West,WestSouth,wind,h0325,scenarioA,avaConv,0.558899053
West,WestSouth,wind,h0326,scenarioA,avaConv,0.565218264
West,WestSouth,wind,h0327,scenarioA,avaConv,0.54987161
West,WestSouth,wind,h0328,scenarioA,avaConv,0.484673407
West,WestSouth,wind,h0329,scenarioA,avaConv,0.382362382
West,WestSouth,wind,h0330,scenarioA,avaConv,0.338729738
West,WestSouth,wind,h0331,scenarioA,avaConv,0.388982507
West,WestSouth,wind,h0332,scenarioA,avaConv,0.46661852
West,WestSouth,wind,h0333,scenarioA,avaConv,0.538135933
West,WestSouth,wind,h0334,scenarioA,avaConv,0.596613706
West,WestSouth,wind,h0335,scenarioA,avaConv,0.639142995
West,WestSouth,wind,h0336,scenarioA,avaConv,0.661510993
West,WestSouth,wind,h0337,scenarioA,avaConv,0.687389665
West,WestSouth,wind,h0338,scenarioA,avaConv,0.699626866
West,WestSouth,wind,h0339,scenarioA,avaConv,0.714271385
West,WestSouth,wind,h0340,scenarioA,avaConv,0.724101268
West,WestSouth,wind,h0341,scenarioA,avaConv,0.725505537
West,WestSouth,wind,h0342,scenarioA,avaConv,0.72861499
West,WestSouth,wind,h0343,scenarioA,avaConv,0.730621088
West,WestSouth,wind,h0344,scenarioA,avaConv,0.732025357
West,WestSouth,wind,h0345,scenarioA,avaConv,0.72841438
West,WestSouth,wind,h0346,scenarioA,avaConv,0.707952175
West,WestSouth,wind,h0347,scenarioA,avaConv,0.699526561
West,WestSouth,wind,h0348,scenarioA,avaConv,0.677660087
West,WestSouth,wind,h0349,scenarioA,avaConv,0.661811908
West,WestSouth,wind,h0350,scenarioA,avaConv,0.692103996
West,WestSouth,wind,h0351,scenarioA,avaConv,0.703538758
West,WestSouth,wind,h0352,scenarioA,avaConv,0.673146365
West,WestSouth,wind,h0353,scenarioA,avaConv,0.637337506
West,WestSouth,wind,h0354,scenarioA,avaConv,0.610054566
West,WestSouth,wind,h0355,scenarioA,avaConv,0.578759429
West,WestSouth,wind,h0356,scenarioA,avaConv,0.524795378
West,WestSouth,wind,h0357,scenarioA,avaConv,0.486478896
West,WestSouth,wind,h0358,scenarioA,avaConv,0.471132242
West,WestSouth,wind,h0359,scenarioA,avaConv,0.42589472
West,WestSouth,wind,h0360,scenarioA,avaConv,0.382362382
West,WestSouth,wind,h0361,scenarioA,avaConv,0.325389183
West,WestSouth,wind,h0362,scenarioA,avaConv,0.256981223
West,WestSouth,wind,h0363,scenarioA,avaConv,0.227591879
West,WestSouth,wind,h0364,scenarioA,avaConv,0.200910769
West,WestSouth,wind,h0365,scenarioA,avaConv,0.19258546
West,WestSouth,wind,h0366,scenarioA,avaConv,0.184360456
West,WestSouth,wind,h0367,scenarioA,avaConv,0.180849783
West,WestSouth,wind,h0368,scenarioA,avaConv,0.192485155
West,WestSouth,wind,h0369,scenarioA,avaConv,0.183156797
West,WestSouth,wind,h0370,scenarioA,avaConv,0.166606484
West,WestSouth,wind,h0371,scenarioA,avaConv,0.154469588
West,WestSouth,wind,h0372,scenarioA,avaConv,0.127989087
West,WestSouth,wind,h0373,scenarioA,avaConv,0.116554325
West,WestSouth,wind,h0374,scenarioA,avaConv,0.122773231
West,WestSouth,wind,h0375,scenarioA,avaConv,0.121268657
West,WestSouth,wind,h0376,scenarioA,avaConv,0.119362863
West,WestSouth,wind,h0377,scenarioA,avaConv,0.106925052
West,WestSouth,wind,h0378,scenarioA,avaConv,0.107526882
West,WestSouth,wind,h0379,scenarioA,avaConv,0.107326272
West,WestSouth,wind,h0380,scenarioA,avaConv,0.114247312
West,WestSouth,wind,h0381,scenarioA,avaConv,0.115751886
West,WestSouth,wind,h0382,scenarioA,avaConv,0.126283903
West,WestSouth,wind,h0383,scenarioA,avaConv,0.122672926
West,WestSouth,wind,h0384,scenarioA,avaConv,0.12377628
West,WestSouth,wind,h0385,scenarioA,avaConv,0.120566522
West,WestSouth,wind,h0386,scenarioA,avaConv,0.117156155
West,WestSouth,wind,h0387,scenarioA,avaConv,0.12397689
West,WestSouth,wind,h0388,scenarioA,avaConv,0.124478414
West,WestSouth,wind,h0389,scenarioA,avaConv,0.112441823
West,WestSouth,wind,h0390,scenarioA,avaConv,0.101107366
West,WestSouth,wind,h0391,scenarioA,avaConv,0.09549029
West,WestSouth,wind,h0392,scenarioA,avaConv,0.087064677
West,WestSouth,wind,h0393,scenarioA,avaConv,0.08245065
West,WestSouth,wind,h0394,scenarioA,avaConv,0.083654309
West,WestSouth,wind,h0395,scenarioA,avaConv,0.092079923
West,WestSouth,wind,h0396,scenarioA,avaConv,0.098499438
West,WestSouth,wind,h0397,scenarioA,avaConv,0.092180228
West,WestSouth,wind,h0398,scenarioA,avaConv,0.097295779
West,WestSouth,wind,h0399,scenarioA,avaConv,0.126685123
West,WestSouth,wind,h0400,scenarioA,avaConv,0.132703418
West,WestSouth,wind,h0401,scenarioA,avaConv,0.125381159
West,WestSouth,wind,h0402,scenarioA,avaConv,0.130396405
West,WestSouth,wind,h0403,scenarioA,avaConv,0.167609533
West,WestSouth,wind,h0404,scenarioA,avaConv,0.207029369
West,WestSouth,wind,h0405,scenarioA,avaConv,0.241534264
West,WestSouth,wind,h0406,scenarioA,avaConv,0.249658963
West,WestSouth,wind,h0407,scenarioA,avaConv,0.252868721
West,WestSouth,wind,h0408,scenarioA,avaConv,0.251163537
West,WestSouth,wind,h0409,scenarioA,avaConv,0.248154389
West,WestSouth,wind,h0410,scenarioA,avaConv,0.249558658
West,WestSouth,wind,h0411,scenarioA,avaConv,0.245747071
West,WestSouth,wind,h0412,scenarioA,avaConv,0.249157439
West,WestSouth,wind,h0413,scenarioA,avaConv,0.244944632
West,WestSouth,wind,h0414,scenarioA,avaConv,0.238123897
West,WestSouth,wind,h0415,scenarioA,avaConv,0.221874498
West,WestSouth,wind,h0416,scenarioA,avaConv,0.222877548
West,WestSouth,wind,h0417,scenarioA,avaConv,0.229297063
West,WestSouth,wind,h0418,scenarioA,avaConv,0.222075108
West,WestSouth,wind,h0419,scenarioA,avaConv,0.200810464
West,WestSouth,wind,h0420,scenarioA,avaConv,0.176737281
West,WestSouth,wind,h0421,scenarioA,avaConv,0.153566843
West,WestSouth,wind,h0422,scenarioA,avaConv,0.141831167
West,WestSouth,wind,h0423,scenarioA,avaConv,0.134007382
West,WestSouth,wind,h0424,scenarioA,avaConv,0.12989488
West,WestSouth,wind,h0425,scenarioA,avaConv,0.127989087
West,WestSouth,wind,h0426,scenarioA,avaConv,0.135211042
West,WestSouth,wind,h0427,scenarioA,avaConv,0.167308618
West,WestSouth,wind,h0428,scenarioA,avaConv,0.177038196
West,WestSouth,wind,h0429,scenarioA,avaConv,0.166104959
West,WestSouth,wind,h0430,scenarioA,avaConv,0.156676296
West,WestSouth,wind,h0431,scenarioA,avaConv,0.144840315
West,WestSouth,wind,h0432,scenarioA,avaConv,0.131299149
West,WestSouth,wind,h0433,scenarioA,avaConv,0.118560424
West,WestSouth,wind,h0434,scenarioA,avaConv,0.108529931
West,WestSouth,wind,h0435,scenarioA,avaConv,0.098298828
