region_1,region_2,technology_1,timestep_4,scenario,parameter,value
West,WestSouth,wind,h0001,scenarioA,avaConv,0.130998235
West,WestSouth,wind,h0002,scenarioA,avaConv,0.138822019
West,WestSouth,wind,h0003,scenarioA,avaConv,0.148150377
West,WestSouth,wind,h0004,scenarioA,avaConv,0.155673247
West,WestSouth,wind,h0005,scenarioA,avaConv,0.159685444
West,WestSouth,wind,h0006,scenarioA,avaConv,0.154068368
West,WestSouth,wind,h0007,scenarioA,avaConv,0.135211042
West,WestSouth,wind,h0008,scenarioA,avaConv,0.145442144
West,WestSouth,wind,h0009,scenarioA,avaConv,0.173627829
West,WestSouth,wind,h0010,scenarioA,avaConv,0.196397047
West,WestSouth,wind,h0011,scenarioA,avaConv,0.202014123
West,WestSouth,wind,h0012,scenarioA,avaConv,0.19298668
West,WestSouth,wind,h0013,scenarioA,avaConv,0.180950088
West,WestSouth,wind,h0014,scenarioA,avaConv,0.175533622
West,WestSouth,wind,h0015,scenarioA,avaConv,0.173126304
West,WestSouth,wind,h0016,scenarioA,avaConv,0.166706789
West,WestSouth,wind,h0017,scenarioA,avaConv,0.181652223
West,WestSouth,wind,h0018,scenarioA,avaConv,0.222476328
West,WestSouth,wind,h0019,scenarioA,avaConv,0.267613545
West,WestSouth,wind,h0020,scenarioA,avaConv,0.304926978
West,WestSouth,wind,h0021,scenarioA,avaConv,0.341036752
West,WestSouth,wind,h0022,scenarioA,avaConv,0.37032579
West,WestSouth,wind,h0023,scenarioA,avaConv,0.390286471
West,WestSouth,wind,h0024,scenarioA,avaConv,0.420678864
West,WestSouth,wind,h0025,scenarioA,avaConv,0.432113625
West,WestSouth,wind,h0026,scenarioA,avaConv,0.44013802
West,WestSouth,wind,h0027,scenarioA,avaConv,0.441441984
West,WestSouth,wind,h0028,scenarioA,avaConv,0.458393516
West,WestSouth,wind,h0029,scenarioA,avaConv,0.481162735
West,WestSouth,wind,h0030,scenarioA,avaConv,0.498314877
West,WestSouth,wind,h0031,scenarioA,avaConv,0.498916707
West,WestSouth,wind,h0032,scenarioA,avaConv,0.496709998
West,WestSouth,wind,h0033,scenarioA,avaConv,0.481864869
West,WestSouth,wind,h0034,scenarioA,avaConv,0.440539239
West,WestSouth,wind,h0035,scenarioA,avaConv,0.407538918
West,WestSouth,wind,h0036,scenarioA,avaConv,0.37112823
West,WestSouth,wind,h0037,scenarioA,avaConv,0.354678222
West,WestSouth,wind,h0038,scenarioA,avaConv,0.324386134
West,WestSouth,wind,h0039,scenarioA,avaConv,0.277443428
West,WestSouth,wind,h0040,scenarioA,avaConv,0.24715134
West,WestSouth,wind,h0041,scenarioA,avaConv,0.217360777
West,WestSouth,wind,h0042,scenarioA,avaConv,0.190278446
West,WestSouth,wind,h0043,scenarioA,avaConv,0.182153747
West,WestSouth,wind,h0044,scenarioA,avaConv,0.163797946
West,WestSouth,wind,h0045,scenarioA,avaConv,0.154971112
West,WestSouth,wind,h0046,scenarioA,avaConv,0.134308297
West,WestSouth,wind,h0047,scenarioA,avaConv,0.116754935
West,WestSouth,wind,h0048,scenarioA,avaConv,0.106122613
West,WestSouth,wind,h0049,scenarioA,avaConv,0.116554325
West,WestSouth,wind,h0050,scenarioA,avaConv,0.13721714
West,WestSouth,wind,h0051,scenarioA,avaConv,0.147648853
West,WestSouth,wind,h0052,scenarioA,avaConv,0.163697641
West,WestSouth,wind,h0053,scenarioA,avaConv,0.194792168
West,WestSouth,wind,h0054,scenarioA,avaConv,0.226689135
West,WestSouth,wind,h0055,scenarioA,avaConv,0.249358048
West,WestSouth,wind,h0056,scenarioA,avaConv,0.28867758
West,WestSouth,wind,h0057,scenarioA,avaConv,0.343343765
West,WestSouth,wind,h0058,scenarioA,avaConv,0.407940138
West,WestSouth,wind,h0059,scenarioA,avaConv,0.456888942
West,WestSouth,wind,h0060,scenarioA,avaConv,0.503931953
West,WestSouth,wind,h0061,scenarioA,avaConv,0.570333815
West,WestSouth,wind,h0062,scenarioA,avaConv,0.632221955
West,WestSouth,wind,h0063,scenarioA,avaConv,0.680067405
West,WestSouth,wind,h0064,scenarioA,avaConv,0.731423528
West,WestSouth,wind,h0065,scenarioA,avaConv,0.744864388
West,WestSouth,wind,h0066,scenarioA,avaConv,0.745064998
West,WestSouth,wind,h0067,scenarioA,avaConv,0.709958273
West,WestSouth,wind,h0068,scenarioA,avaConv,0.675854598
West,WestSouth,wind,h0069,scenarioA,avaConv,0.594607607
West,WestSouth,wind,h0070,scenarioA,avaConv,0.492196277
West,WestSouth,wind,h0071,scenarioA,avaConv,0.416064837
West,WestSouth,wind,h0072,scenarioA,avaConv,0.332510833
West,WestSouth,wind,h0073,scenarioA,avaConv,0.281656235
West,WestSouth,wind,h0074,scenarioA,avaConv,0.256078479
West,WestSouth,wind,h0075,scenarioA,avaConv,0.237722677
West,WestSouth,wind,h0076,scenarioA,avaConv,0.214853154
West,WestSouth,wind,h0077,scenarioA,avaConv,0.17874338
West,WestSouth,wind,h0078,scenarioA,avaConv,0.148651902
