region_1,region_2,technology_1,timestep_4,scenario,parameter,value
West,WestSouth,wind,h0001,scenarioB,avaConv,0.135612537
West,WestSouth,wind,h0002,scenarioB,avaConv,0.141831811
West,WestSouth,wind,h0003,scenarioB,avaConv,0.158475119
West,WestSouth,wind,h0004,scenarioB,avaConv,0.160809325
West,WestSouth,wind,h0005,scenarioB,avaConv,0.162646582
West,WestSouth,wind,h0006,scenarioB,avaConv,0.158165907
West,WestSouth,wind,h0007,scenarioB,avaConv,0.141743237
West,WestSouth,wind,h0008,scenarioB,avaConv,0.148887443
West,WestSouth,wind,h0009,scenarioB,avaConv,0.187493507
West,WestSouth,wind,h0010,scenarioB,avaConv,0.21463806
West,WestSouth,wind,h0011,scenarioB,avaConv,0.219229464
West,WestSouth,wind,h0012,scenarioB,avaConv,0.201612683
West,WestSouth,wind,h0013,scenarioB,avaConv,0.197953527
West,WestSouth,wind,h0014,scenarioB,avaConv,0.183156109
West,WestSouth,wind,h0015,scenarioB,avaConv,0.184486268
West,WestSouth,wind,h0016,scenarioB,avaConv,0.17093337
West,WestSouth,wind,h0017,scenarioB,avaConv,0.188321067
West,WestSouth,wind,h0018,scenarioB,avaConv,0.228114142
West,WestSouth,wind,h0019,scenarioB,avaConv,0.292609272
West,WestSouth,wind,h0020,scenarioB,avaConv,0.317631808
West,WestSouth,wind,h0021,scenarioB,avaConv,0.341222474
West,WestSouth,wind,h0022,scenarioB,avaConv,0.386578279
West,WestSouth,wind,h0023,scenarioB,avaConv,0.401888692
West,WestSouth,wind,h0024,scenarioB,avaConv,0.431447177
West,WestSouth,wind,h0025,scenarioB,avaConv,0.46303746
West,WestSouth,wind,h0026,scenarioB,avaConv,0.46065944
West,WestSouth,wind,h0027,scenarioB,avaConv,0.469997579
West,WestSouth,wind,h0028,scenarioB,avaConv,0.475363668
West,WestSouth,wind,h0029,scenarioB,avaConv,0.51357262
West,WestSouth,wind,h0030,scenarioB,avaConv,0.526011933
West,WestSouth,wind,h0031,scenarioB,avaConv,0.540317789
West,WestSouth,wind,h0032,scenarioB,avaConv,0.514198739
West,WestSouth,wind,h0033,scenarioB,avaConv,0.501001372
West,WestSouth,wind,h0034,scenarioB,avaConv,0.479494457
West,WestSouth,wind,h0035,scenarioB,avaConv,0.429123496
West,WestSouth,wind,h0036,scenarioB,avaConv,0.381659455
West,WestSouth,wind,h0037,scenarioB,avaConv,0.383341697
West,WestSouth,wind,h0038,scenarioB,avaConv,0.351097825
West,WestSouth,wind,h0039,scenarioB,avaConv,0.28473114
West,WestSouth,wind,h0040,scenarioB,avaConv,0.25946926
West,WestSouth,wind,h0041,scenarioB,avaConv,0.235835419
West,WestSouth,wind,h0042,scenarioB,avaConv,0.204710597
West,WestSouth,wind,h0043,scenarioB,avaConv,0.191095931
West,WestSouth,wind,h0044,scenarioB,avaConv,0.179805223
West,WestSouth,wind,h0045,scenarioB,avaConv,0.158171745
West,WestSouth,wind,h0046,scenarioB,avaConv,0.145165461
West,WestSouth,wind,h0047,scenarioB,avaConv,0.123409579
West,WestSouth,wind,h0048,scenarioB,avaConv,0.114214596
West,WestSouth,wind,h0049,scenarioB,avaConv,0.118230908
West,WestSouth,wind,h0050,scenarioB,avaConv,0.146508525
West,WestSouth,wind,h0051,scenarioB,avaConv,0.154466548
West,WestSouth,wind,h0052,scenarioB,avaConv,0.166053395
West,WestSouth,wind,h0053,scenarioB,avaConv,0.206063585
West,WestSouth,wind,h0054,scenarioB,avaConv,0.246998851
West,WestSouth,wind,h0055,scenarioB,avaConv,0.254736695
West,WestSouth,wind,h0056,scenarioB,avaConv,0.306616288
West,WestSouth,wind,h0057,scenarioB,avaConv,0.354811159
West,WestSouth,wind,h0058,scenarioB,avaConv,0.408173978
West,WestSouth,wind,h0059,scenarioB,avaConv,0.473978613
West,WestSouth,wind,h0060,scenarioB,avaConv,0.545590349
West,WestSouth,wind,h0061,scenarioB,avaConv,0.624289625
West,WestSouth,wind,h0062,scenarioB,avaConv,0.64477187
West,WestSouth,wind,h0063,scenarioB,avaConv,0.734383452
West,WestSouth,wind,h0064,scenarioB,avaConv,0.788552985
West,WestSouth,wind,h0065,scenarioB,avaConv,0.750164902
West,WestSouth,wind,h0066,scenarioB,avaConv,0.786711082
West,WestSouth,wind,h0067,scenarioB,avaConv,0.741678268
West,WestSouth,wind,h0068,scenarioB,avaConv,0.684119067
West,WestSouth,wind,h0069,scenarioB,avaConv,0.649214567
West,WestSouth,wind,h0070,scenarioB,avaConv,0.496894141
West,WestSouth,wind,h0071,scenarioB,avaConv,0.457018546
West,WestSouth,wind,h0072,scenarioB,avaConv,0.3574013
West,WestSouth,wind,h0073,scenarioB,avaConv,0.29222657
West,WestSouth,wind,h0074,scenarioB,avaConv,0.259602069
West,WestSouth,wind,h0075,scenarioB,avaConv,0.239515092
West,WestSouth,wind,h0076,scenarioB,avaConv,0.228667721
West,WestSouth,wind,h0077,scenarioB,avaConv,0.183593854
West,WestSouth,wind,h0078,scenarioB,avaConv,0.151185225
West,WestSouth,wind,h0079,scenarioB,avaConv,0.136137677
West,WestSouth,wind,h0080,scenarioB,avaConv,0.131368771
West,WestSouth,wind,h0081,scenarioB,avaConv,0.11016037
West,WestSouth,wind,h0082,scenarioB,avaConv,0.103060574
West,WestSouth,wind,h0083,scenarioB,avaConv,0.094588043
West,WestSouth,wind,h0084,scenarioB,avaConv,0.089068788
West,WestSouth,wind,h0085,scenarioB,avaConv,0.083874721
West,WestSouth,wind,h0086,scenarioB,avaConv,0.086791903
West,WestSouth,wind,h0087,scenarioB,avaConv,0.085430783
West,WestSouth,wind,h0088,scenarioB,avaConv,0.082648869
West,WestSouth,wind,h0089,scenarioB,avaConv,0.087763183
West,WestSouth,wind,h0090,scenarioB,avaConv,0.088893051
West,WestSouth,wind,h0091,scenarioB,avaConv,0.085004579
West,WestSouth,wind,h0092,scenarioB,avaConv,0.088462285
West,WestSouth,wind,h0093,scenarioB,avaConv,0.095407744
West,WestSouth,wind,h0094,scenarioB,avaConv,0.095321836
West,WestSouth,wind,h0095,scenarioB,avaConv,0.107195051
West,WestSouth,wind,h0096,scenarioB,avaConv,0.109817102
West,WestSouth,wind,h0097,scenarioB,avaConv,0.108892076
West,WestSouth,wind,h0098,scenarioB,avaConv,0.118628356
West,WestSouth,wind,h0099,scenarioB,avaConv,0.108825382
West,WestSouth,wind,h0100,scenarioB,avaConv,0.108450887
West,WestSouth,wind,h0101,scenarioB,avaConv,0.090484188
West,WestSouth,wind,h0102,scenarioB,avaConv,0.08617103
West,WestSouth,wind,h0103,scenarioB,avaConv,0.073236229
West,WestSouth,wind,h0104,scenarioB,avaConv,0.082246218
West,WestSouth,wind,h0105,scenarioB,avaConv,0.089354503
West,WestSouth,wind,h0106,scenarioB,avaConv,0.086717307
West,WestSouth,wind,h0107,scenarioB,avaConv,0.076147473
West,WestSouth,wind,h0108,scenarioB,avaConv,0.060376
West,WestSouth,wind,h0109,scenarioB,avaConv,0.046718721
West,WestSouth,wind,h0110,scenarioB,avaConv,0.040416006
West,WestSouth,wind,h0111,scenarioB,avaConv,0.034418779
West,WestSouth,wind,h0112,scenarioB,avaConv,0.033650934
West,WestSouth,wind,h0113,scenarioB,avaConv,0.036186245
West,WestSouth,wind,h0114,scenarioB,avaConv,0.042608423
West,WestSouth,wind,h0115,scenarioB,avaConv,0.049298772
West,WestSouth,wind,h0116,scenarioB,avaConv,0.057166832
West,WestSouth,wind,h0117,scenarioB,avaConv,0.054399236
West,WestSouth,wind,h0118,scenarioB,avaConv,0.057228238
West,WestSouth,wind,h0119,scenarioB,avaConv,0.065149577
West,WestSouth,wind,h0120,scenarioB,avaConv,0.074183913
West,WestSouth,wind,h0121,scenarioB,avaConv,0.076924926
West,WestSouth,wind,h0122,scenarioB,avaConv,0.070023874
West,WestSouth,wind,h0123,scenarioB,avaConv,0.070903653
West,WestSouth,wind,h0124,scenarioB,avaConv,0.07258357
West,WestSouth,wind,h0125,scenarioB,avaConv,0.075990643
West,WestSouth,wind,h0126,scenarioB,avaConv,0.081963969
West,WestSouth,wind,h0127,scenarioB,avaConv,0.10064136
West,WestSouth,wind,h0128,scenarioB,avaConv,0.117522072
West,WestSouth,wind,h0129,scenarioB,avaConv,0.124955639
West,WestSouth,wind,h0130,scenarioB,avaConv,0.12639458
West,WestSouth,wind,h0131,scenarioB,avaConv,0.130612609
West,WestSouth,wind,h0132,scenarioB,avaConv,0.13290783
West,WestSouth,wind,h0133,scenarioB,avaConv,0.131192482
West,WestSouth,wind,h0134,scenarioB,avaConv,0.129296481
West,WestSouth,wind,h0135,scenarioB,avaConv,0.139859889
West,WestSouth,wind,h0136,scenarioB,avaConv,0.152891927
West,WestSouth,wind,h0137,scenarioB,avaConv,0.164062359
West,WestSouth,wind,h0138,scenarioB,avaConv,0.172142614
West,WestSouth,wind,h0139,scenarioB,avaConv,0.174746083
West,WestSouth,wind,h0140,scenarioB,avaConv,0.167538491
West,WestSouth,wind,h0141,scenarioB,avaConv,0.174574782
West,WestSouth,wind,h0142,scenarioB,avaConv,0.163432328
West,WestSouth,wind,h0143,scenarioB,avaConv,0.160774423
West,WestSouth,wind,h0144,scenarioB,avaConv,0.153085892
West,WestSouth,wind,h0145,scenarioB,avaConv,0.123371533
West,WestSouth,wind,h0146,scenarioB,avaConv,0.092733744
West,WestSouth,wind,h0147,scenarioB,avaConv,0.07398789
West,WestSouth,wind,h0148,scenarioB,avaConv,0.064405991
West,WestSouth,wind,h0149,scenarioB,avaConv,0.050716496
West,WestSouth,wind,h0150,scenarioB,avaConv,0.045020568
West,WestSouth,wind,h0151,scenarioB,avaConv,0.04504575
