scenario,region_1,region_2,carrier_1,carrier_2,timestep_4,parameter,value,comment
all,East,EastSouth,heat,districtHeat,h0369,genUp,12.22660239,
all,East,EastSouth,heat,districtHeat,h0370,genUp,11.58059061,
all,East,EastSouth,heat,districtHeat,h0371,genUp,10.99241631,
all,East,EastSouth,heat,districtHeat,h0372,genUp,10.68839829,
all,East,EastSouth,heat,districtHeat,h0373,genUp,10.76487969,
all,East,EastSouth,heat,districtHeat,h0374,genUp,10.92486902,
all,East,EastSouth,heat,districtHeat,h0375,genUp,11.28887787,
all,East,EastSouth,heat,districtHeat,h0376,genUp,11.78442414,
all,East,EastSouth,heat,districtHeat,h0377,genUp,12.12610384,
all,East,EastSouth,heat,districtHeat,h0378,genUp,12.37881086,
all,East,EastSouth,heat,districtHeat,h0379,genUp,12.30851199,
all,East,EastSouth,heat,districtHeat,h0380,genUp,11.90021866,
all,East,EastSouth,heat,districtHeat,h0381,genUp,10.77077805,
all,East,EastSouth,heat,districtHeat,h0382,genUp,8.528133121,
all,East,EastSouth,heat,districtHeat,h0383,genUp,6.825701289,
all,East,EastSouth,heat,districtHeat,h0384,genUp,7.483584741,
all,East,EastSouth,heat,districtHeat,h0385,genUp,7.634139914,
all,East,EastSouth,heat,districtHeat,h0386,genUp,8.048741989,
all,East,EastSouth,heat,districtHeat,h0387,genUp,8.596690882,
all,East,EastSouth,heat,districtHeat,h0388,genUp,9.791055278,
all,East,EastSouth,heat,districtHeat,h0389,genUp,13.31246779,
all,East,EastSouth,heat,districtHeat,h0390,genUp,14.99158554,
all,East,EastSouth,heat,districtHeat,h0391,genUp,14.24370609,
all,East,EastSouth,heat,districtHeat,h0392,genUp,14.35219657,
all,East,EastSouth,heat,districtHeat,h0393,genUp,13.78126051,
all,East,EastSouth,heat,districtHeat,h0394,genUp,13.11872827,
all,East,EastSouth,heat,districtHeat,h0395,genUp,12.84263037,
all,East,EastSouth,heat,districtHeat,h0396,genUp,12.37528173,
all,East,EastSouth,heat,districtHeat,h0397,genUp,12.4078226,
all,East,EastSouth,heat,districtHeat,h0398,genUp,12.24290031,
all,East,EastSouth,heat,districtHeat,h0399,genUp,12.63695274,
all,East,EastSouth,heat,districtHeat,h0400,genUp,13.30832091,
all,East,EastSouth,heat,districtHeat,h0401,genUp,13.84708992,
all,East,EastSouth,heat,districtHeat,h0402,genUp,13.92728645,
all,East,EastSouth,heat,districtHeat,h0403,genUp,13.72473238,
all,East,EastSouth,heat,districtHeat,h0404,genUp,13.1754077,
all,East,EastSouth,heat,districtHeat,h0405,genUp,12.08516065,
all,East,EastSouth,heat,districtHeat,h0406,genUp,9.894918346,
all,East,EastSouth,heat,districtHeat,h0407,genUp,8.109636591,
all,East,EastSouth,heat,districtHeat,h0408,genUp,8.883410888,
