scenario,region_1,region_2,carrier_1,carrier_2,timestep_4,parameter,value,comment
all,East,EastSouth,heat,districtHeat,h0001,genUp,10.25356729,limits the generation of heat within district heating network to account for the fact that only a small share of consumers is connected to district heating networks
all,East,EastSouth,heat,districtHeat,h0002,genUp,10.51907965,
all,East,EastSouth,heat,districtHeat,h0003,genUp,11.33147917,
all,East,EastSouth,heat,districtHeat,h0004,genUp,12.67233966,
all,East,EastSouth,heat,districtHeat,h0005,genUp,16.65382001,
all,East,EastSouth,heat,districtHeat,h0006,genUp,18.90962273,
all,East,EastSouth,heat,districtHeat,h0007,genUp,18.37938225,
all,East,EastSouth,heat,districtHeat,h0008,genUp,18.63733628,
all,East,EastSouth,heat,districtHeat,h0009,genUp,17.95616013,
all,East,EastSouth,heat,districtHeat,h0010,genUp,17.22732831,
all,East,EastSouth,heat,districtHeat,h0011,genUp,16.51976392,
all,East,EastSouth,heat,districtHeat,h0012,genUp,16.11359405,
all,East,EastSouth,heat,districtHeat,h0013,genUp,16.20291068,
all,East,EastSouth,heat,districtHeat,h0014,genUp,16.35921477,
all,East,EastSouth,heat,districtHeat,h0015,genUp,16.74517894,
all,East,EastSouth,heat,districtHeat,h0016,genUp,17.36486227,
all,East,EastSouth,heat,districtHeat,h0017,genUp,17.62197231,
all,East,EastSouth,heat,districtHeat,h0018,genUp,17.62340787,
all,East,EastSouth,heat,districtHeat,h0019,genUp,17.29671674,
all,East,EastSouth,heat,districtHeat,h0020,genUp,16.64592811,
all,East,EastSouth,heat,districtHeat,h0021,genUp,15.12718204,
all,East,EastSouth,heat,districtHeat,h0022,genUp,12.48945284,
all,East,EastSouth,heat,districtHeat,h0023,genUp,10.39974933,
all,East,EastSouth,heat,districtHeat,h0024,genUp,8.853711257,
all,East,EastSouth,heat,districtHeat,h0025,genUp,9.206820501,
all,East,EastSouth,heat,districtHeat,h0026,genUp,9.44560068,
all,East,EastSouth,heat,districtHeat,h0027,genUp,10.14810404,
all,East,EastSouth,heat,districtHeat,h0028,genUp,11.47981455,
all,East,EastSouth,heat,districtHeat,h0029,genUp,15.07302128,
all,East,EastSouth,heat,districtHeat,h0030,genUp,17.4274766,
all,East,EastSouth,heat,districtHeat,h0031,genUp,16.85873045,
all,East,EastSouth,heat,districtHeat,h0032,genUp,17.04160876,
all,East,EastSouth,heat,districtHeat,h0033,genUp,16.36077655,
all,East,EastSouth,heat,districtHeat,h0034,genUp,15.75942308,
all,East,EastSouth,heat,districtHeat,h0035,genUp,15.06944088,
all,East,EastSouth,heat,districtHeat,h0036,genUp,14.66801798,
all,East,EastSouth,heat,districtHeat,h0037,genUp,14.70899105,
all,East,EastSouth,heat,districtHeat,h0038,genUp,14.8960565,
all,East,EastSouth,heat,districtHeat,h0039,genUp,15.26409454,
all,East,EastSouth,heat,districtHeat,h0040,genUp,15.86144871,
all,East,EastSouth,heat,districtHeat,h0041,genUp,16.06615613,
all,East,EastSouth,heat,districtHeat,h0042,genUp,16.15515869,
all,East,EastSouth,heat,districtHeat,h0043,genUp,15.8775289,
all,East,EastSouth,heat,districtHeat,h0044,genUp,15.22674026,
all,East,EastSouth,heat,districtHeat,h0045,genUp,13.82738428,
all,East,EastSouth,heat,districtHeat,h0046,genUp,11.38886786,
all,East,EastSouth,heat,districtHeat,h0047,genUp,9.414181315,
all,East,EastSouth,heat,districtHeat,h0048,genUp,8.34976267,
all,East,EastSouth,heat,districtHeat,h0049,genUp,8.527050018,
all,East,EastSouth,heat,districtHeat,h0050,genUp,8.981219492,
all,East,EastSouth,heat,districtHeat,h0051,genUp,9.591408886,
all,East,EastSouth,heat,districtHeat,h0052,genUp,10.99344816,
all,East,EastSouth,heat,districtHeat,h0053,genUp,14.95728654,
all,East,EastSouth,heat,districtHeat,h0054,genUp,16.92493369,
all,East,EastSouth,heat,districtHeat,h0055,genUp,16.08808156,
all,East,EastSouth,heat,districtHeat,h0056,genUp,16.11234633,
all,East,EastSouth,heat,districtHeat,h0057,genUp,15.48391674,
all,East,EastSouth,heat,districtHeat,h0058,genUp,14.73715879,
all,East,EastSouth,heat,districtHeat,h0059,genUp,14.42149349,
all,East,EastSouth,heat,districtHeat,h0060,genUp,13.89665131,
all,East,EastSouth,heat,districtHeat,h0061,genUp,13.8940278,
all,East,EastSouth,heat,districtHeat,h0062,genUp,13.71152332,
all,East,EastSouth,heat,districtHeat,h0063,genUp,14.12790491,
all,East,EastSouth,heat,districtHeat,h0064,genUp,14.84358744,
all,East,EastSouth,heat,districtHeat,h0065,genUp,15.4222678,
all,East,EastSouth,heat,districtHeat,h0066,genUp,15.60867525,
all,East,EastSouth,heat,districtHeat,h0067,genUp,15.36620983,
all,East,EastSouth,heat,districtHeat,h0068,genUp,14.77257079,
all,East,EastSouth,heat,districtHeat,h0069,genUp,13.55378367,
all,East,EastSouth,heat,districtHeat,h0070,genUp,11.08378811,
all,East,EastSouth,heat,districtHeat,h0071,genUp,9.064099303,
all,East,EastSouth,heat,districtHeat,h0072,genUp,8.583078101,
all,East,EastSouth,heat,districtHeat,h0073,genUp,8.825947241,
all,East,EastSouth,heat,districtHeat,h0074,genUp,8.840561975,
all,East,EastSouth,heat,districtHeat,h0075,genUp,9.538662318,
all,East,EastSouth,heat,districtHeat,h0076,genUp,11.30077758,
all,East,EastSouth,heat,districtHeat,h0077,genUp,15.34777995,
all,East,EastSouth,heat,districtHeat,h0078,genUp,16.4319146,
all,East,EastSouth,heat,districtHeat,h0079,genUp,15.43682276,
all,East,EastSouth,heat,districtHeat,h0080,genUp,15.65046243,
all,East,EastSouth,heat,districtHeat,h0081,genUp,15.08795858,
all,East,EastSouth,heat,districtHeat,h0082,genUp,14.46902293,
all,East,EastSouth,heat,districtHeat,h0083,genUp,14.10026711,
all,East,EastSouth,heat,districtHeat,h0084,genUp,13.72082941,
all,East,EastSouth,heat,districtHeat,h0085,genUp,13.80136988,
all,East,EastSouth,heat,districtHeat,h0086,genUp,14.07600234,
all,East,EastSouth,heat,districtHeat,h0087,genUp,14.51471308,
all,East,EastSouth,heat,districtHeat,h0088,genUp,14.98424496,
all,East,EastSouth,heat,districtHeat,h0089,genUp,15.55817836,
all,East,EastSouth,heat,districtHeat,h0090,genUp,15.71785363,
all,East,EastSouth,heat,districtHeat,h0091,genUp,15.47538821,
all,East,EastSouth,heat,districtHeat,h0092,genUp,15.00957146,
all,East,EastSouth,heat,districtHeat,h0093,genUp,13.66770901,
all,East,EastSouth,heat,districtHeat,h0094,genUp,11.14496688,
all,East,EastSouth,heat,districtHeat,h0095,genUp,9.350161303,
all,East,EastSouth,heat,districtHeat,h0096,genUp,9.020383167,
all,East,EastSouth,heat,districtHeat,h0097,genUp,9.342731051,
all,East,EastSouth,heat,districtHeat,h0098,genUp,9.563929041,
all,East,EastSouth,heat,districtHeat,h0099,genUp,10.38950773,
all,East,EastSouth,heat,districtHeat,h0100,genUp,11.75638262,
all,East,EastSouth,heat,districtHeat,h0101,genUp,15.5671021,
all,East,EastSouth,heat,districtHeat,h0102,genUp,17.68049768,
all,East,EastSouth,heat,districtHeat,h0103,genUp,17.14254277,
all,East,EastSouth,heat,districtHeat,h0104,genUp,17.32945027,
all,East,EastSouth,heat,districtHeat,h0105,genUp,16.71860287,
all,East,EastSouth,heat,districtHeat,h0106,genUp,16.09492025,
all,East,EastSouth,heat,districtHeat,h0107,genUp,15.35253543,
all,East,EastSouth,heat,districtHeat,h0108,genUp,14.95076857,
all,East,EastSouth,heat,districtHeat,h0109,genUp,15.15472832,
all,East,EastSouth,heat,districtHeat,h0110,genUp,15.2579419,
all,East,EastSouth,heat,districtHeat,h0111,genUp,15.62632388,
all,East,EastSouth,heat,districtHeat,h0112,genUp,16.18376671,
all,East,EastSouth,heat,districtHeat,h0113,genUp,16.58662517,
all,East,EastSouth,heat,districtHeat,h0114,genUp,16.71553909,
all,East,EastSouth,heat,districtHeat,h0115,genUp,16.41592408,
all,East,EastSouth,heat,districtHeat,h0116,genUp,15.62888095,
all,East,EastSouth,heat,districtHeat,h0117,genUp,14.27786851,
all,East,EastSouth,heat,districtHeat,h0118,genUp,11.64013931,
all,East,EastSouth,heat,districtHeat,h0119,genUp,9.59880925,
all,East,EastSouth,heat,districtHeat,h0120,genUp,9.865293669,
all,East,EastSouth,heat,districtHeat,h0121,genUp,10.17408855,
all,East,EastSouth,heat,districtHeat,h0122,genUp,10.4396009,
all,East,EastSouth,heat,districtHeat,h0123,genUp,11.19010387,
all,East,EastSouth,heat,districtHeat,h0124,genUp,12.53096436,
all,East,EastSouth,heat,districtHeat,h0125,genUp,16.46813035,
all,East,EastSouth,heat,districtHeat,h0126,genUp,18.66169257,
all,East,EastSouth,heat,districtHeat,h0127,genUp,18.15378124,
all,East,EastSouth,heat,districtHeat,h0128,genUp,18.45130267,
all,East,EastSouth,heat,districtHeat,h0129,genUp,17.77047046,
all,East,EastSouth,heat,districtHeat,h0130,genUp,17.04163865,
all,East,EastSouth,heat,districtHeat,h0131,genUp,16.33407426,
all,East,EastSouth,heat,districtHeat,h0132,genUp,15.9498896,
all,East,EastSouth,heat,districtHeat,h0133,genUp,16.05678841,
all,East,EastSouth,heat,districtHeat,h0134,genUp,16.1735251,
all,East,EastSouth,heat,districtHeat,h0135,genUp,16.55914533,
all,East,EastSouth,heat,districtHeat,h0136,genUp,17.17882866,
all,East,EastSouth,heat,districtHeat,h0137,genUp,17.41395349,
all,East,EastSouth,heat,districtHeat,h0138,genUp,17.41538905,
all,East,EastSouth,heat,districtHeat,h0139,genUp,17.10628011,
all,East,EastSouth,heat,districtHeat,h0140,genUp,16.43790929,
all,East,EastSouth,heat,districtHeat,h0141,genUp,14.95907456,
all,East,EastSouth,heat,districtHeat,h0142,genUp,12.34367452,
all,East,EastSouth,heat,districtHeat,h0143,genUp,10.31586757,
all,East,EastSouth,heat,districtHeat,h0144,genUp,9.436420806,
all,East,EastSouth,heat,districtHeat,h0145,genUp,9.784783084,
all,East,EastSouth,heat,districtHeat,h0146,genUp,10.05029544,
all,East,EastSouth,heat,districtHeat,h0147,genUp,10.8007984,
all,East,EastSouth,heat,districtHeat,h0148,genUp,12.17682328,
all,East,EastSouth,heat,districtHeat,h0149,genUp,16.0443484,
all,East,EastSouth,heat,districtHeat,h0150,genUp,18.24231364,
all,East,EastSouth,heat,districtHeat,h0151,genUp,17.73880533,
all,East,EastSouth,heat,districtHeat,h0152,genUp,17.93926583,
all,East,EastSouth,heat,districtHeat,h0153,genUp,17.27601581,
all,East,EastSouth,heat,districtHeat,h0154,genUp,16.58200442,
all,East,EastSouth,heat,districtHeat,h0155,genUp,15.85245483,
all,East,EastSouth,heat,districtHeat,h0156,genUp,15.50818151,
all,East,EastSouth,heat,districtHeat,h0157,genUp,15.63706553,
all,East,EastSouth,heat,districtHeat,h0158,genUp,15.77578744,
all,East,EastSouth,heat,districtHeat,h0159,genUp,16.13942245,
all,East,EastSouth,heat,districtHeat,h0160,genUp,16.75435881,
all,East,EastSouth,heat,districtHeat,h0161,genUp,17.03854497,
all,East,EastSouth,heat,districtHeat,h0162,genUp,17.03523357,
all,East,EastSouth,heat,districtHeat,h0163,genUp,16.75320076,
all,East,EastSouth,heat,districtHeat,h0164,genUp,16.09766516,
all,East,EastSouth,heat,districtHeat,h0165,genUp,14.64081564,
all,East,EastSouth,heat,districtHeat,h0166,genUp,11.98110123,
all,East,EastSouth,heat,districtHeat,h0167,genUp,9.952950334,
all,East,EastSouth,heat,districtHeat,h0168,genUp,8.53401677,
all,East,EastSouth,heat,districtHeat,h0169,genUp,8.887126014,
all,East,EastSouth,heat,districtHeat,h0170,genUp,9.108324003,
all,East,EastSouth,heat,districtHeat,h0171,genUp,9.841244778,
all,East,EastSouth,heat,districtHeat,h0172,genUp,11.10665571,
all,East,EastSouth,heat,districtHeat,h0173,genUp,14.66978897,
all,East,EastSouth,heat,districtHeat,h0174,genUp,16.64112137,
all,East,EastSouth,heat,districtHeat,h0175,genUp,16.23098875,
all,East,EastSouth,heat,districtHeat,h0176,genUp,16.39188185,
all,East,EastSouth,heat,districtHeat,h0177,genUp,15.77663143,
all,East,EastSouth,heat,districtHeat,h0178,genUp,15.10494921,
all,East,EastSouth,heat,districtHeat,h0179,genUp,14.44204313,
all,East,EastSouth,heat,districtHeat,h0180,genUp,14.09302285,
all,East,EastSouth,heat,districtHeat,h0181,genUp,14.28380343,
all,East,EastSouth,heat,districtHeat,h0182,genUp,14.41777836,
all,East,EastSouth,heat,districtHeat,h0183,genUp,14.78141338,
all,East,EastSouth,heat,districtHeat,h0184,genUp,15.36961756,
all,East,EastSouth,heat,districtHeat,h0185,genUp,15.63147457,
all,East,EastSouth,heat,districtHeat,h0186,genUp,15.65049232,
all,East,EastSouth,heat,districtHeat,h0187,genUp,15.36845951,
all,East,EastSouth,heat,districtHeat,h0188,genUp,14.81473181,
all,East,EastSouth,heat,districtHeat,h0189,genUp,13.45969019,
all,East,EastSouth,heat,districtHeat,h0190,genUp,10.93326282,
all,East,EastSouth,heat,districtHeat,h0191,genUp,9.032964108,
all,East,EastSouth,heat,districtHeat,h0192,genUp,6.606851151,
all,East,EastSouth,heat,districtHeat,h0193,genUp,6.981945604,
all,East,EastSouth,heat,districtHeat,h0194,genUp,7.137531913,
all,East,EastSouth,heat,districtHeat,h0195,genUp,7.800467877,
all,East,EastSouth,heat,districtHeat,h0196,genUp,9.185268903,
all,East,EastSouth,heat,districtHeat,h0197,genUp,12.07772189,
all,East,EastSouth,heat,districtHeat,h0198,genUp,14.08952545,
all,East,EastSouth,heat,districtHeat,h0199,genUp,13.71596289,
all,East,EastSouth,heat,districtHeat,h0200,genUp,13.75674812,
all,East,EastSouth,heat,districtHeat,h0201,genUp,12.96495803,
all,East,EastSouth,heat,districtHeat,h0202,genUp,12.3412754,
all,East,EastSouth,heat,districtHeat,h0203,genUp,11.75310111,
all,East,EastSouth,heat,districtHeat,h0204,genUp,11.40917174,
all,East,EastSouth,heat,districtHeat,h0205,genUp,11.50763834,
all,East,EastSouth,heat,districtHeat,h0206,genUp,11.65004548,
all,East,EastSouth,heat,districtHeat,h0207,genUp,12.02723351,
all,East,EastSouth,heat,districtHeat,h0208,genUp,12.54036197,
all,East,EastSouth,heat,districtHeat,h0209,genUp,12.84213032,
all,East,EastSouth,heat,districtHeat,h0210,genUp,13.03768775,
all,East,EastSouth,heat,districtHeat,h0211,genUp,12.92307451,
all,East,EastSouth,heat,districtHeat,h0212,genUp,12.45322858,
all,East,EastSouth,heat,districtHeat,h0213,genUp,11.2794736,
all,East,EastSouth,heat,districtHeat,h0214,genUp,9.018902538,
all,East,EastSouth,heat,districtHeat,h0215,genUp,7.294829444,
all,East,EastSouth,heat,districtHeat,h0216,genUp,4.322547104,
all,East,EastSouth,heat,districtHeat,h0217,genUp,4.640491969,
all,East,EastSouth,heat,districtHeat,h0218,genUp,4.764943083,
all,East,EastSouth,heat,districtHeat,h0219,genUp,5.322012074,
all,East,EastSouth,heat,districtHeat,h0220,genUp,6.54713783,
all,East,EastSouth,heat,districtHeat,h0221,genUp,8.783277656,
all,East,EastSouth,heat,districtHeat,h0222,genUp,9.826841111,
all,East,EastSouth,heat,districtHeat,h0223,genUp,9.397908473,
all,East,EastSouth,heat,districtHeat,h0224,genUp,9.443440671,
all,East,EastSouth,heat,districtHeat,h0225,genUp,8.775069847,
all,East,EastSouth,heat,districtHeat,h0226,genUp,8.077373227,
all,East,EastSouth,heat,districtHeat,h0227,genUp,7.929471452,
all,East,EastSouth,heat,districtHeat,h0228,genUp,7.682946962,
all,East,EastSouth,heat,districtHeat,h0229,genUp,7.530859898,
all,East,EastSouth,heat,districtHeat,h0230,genUp,7.316876279,
all,East,EastSouth,heat,districtHeat,h0231,genUp,7.816795681,
all,East,EastSouth,heat,districtHeat,h0232,genUp,8.324459394,
all,East,EastSouth,heat,districtHeat,h0233,genUp,8.845646224,
all,East,EastSouth,heat,districtHeat,h0234,genUp,9.164278983,
all,East,EastSouth,heat,districtHeat,h0235,genUp,9.129144491,
all,East,EastSouth,heat,districtHeat,h0236,genUp,8.892987821,
all,East,EastSouth,heat,districtHeat,h0237,genUp,7.941148618,
all,East,EastSouth,heat,districtHeat,h0238,genUp,6.42433816,
all,East,EastSouth,heat,districtHeat,h0239,genUp,5.06289813,
all,East,EastSouth,heat,districtHeat,h0240,genUp,5.876239826,
all,East,EastSouth,heat,districtHeat,h0241,genUp,6.479902744,
all,East,EastSouth,heat,districtHeat,h0242,genUp,6.129978686,
all,East,EastSouth,heat,districtHeat,h0243,genUp,6.793258597,
all,East,EastSouth,heat,districtHeat,h0244,genUp,8.517585973,
all,East,EastSouth,heat,districtHeat,h0245,genUp,11.84884603,
all,East,EastSouth,heat,districtHeat,h0246,genUp,12.63254972,
all,East,EastSouth,heat,districtHeat,h0247,genUp,11.77143282,
all,East,EastSouth,heat,districtHeat,h0248,genUp,11.60457306,
all,East,EastSouth,heat,districtHeat,h0249,genUp,10.94391666,
all,East,EastSouth,heat,districtHeat,h0250,genUp,10.2627405,
all,East,EastSouth,heat,districtHeat,h0251,genUp,9.925119878,
all,East,EastSouth,heat,districtHeat,h0252,genUp,9.63902799,
all,East,EastSouth,heat,districtHeat,h0253,genUp,9.640433666,
all,East,EastSouth,heat,districtHeat,h0254,genUp,9.910663099,
all,East,EastSouth,heat,districtHeat,h0255,genUp,10.186761,
all,East,EastSouth,heat,districtHeat,h0256,genUp,10.8533822,
all,East,EastSouth,heat,districtHeat,h0257,genUp,11.43278035,
all,East,EastSouth,heat,districtHeat,h0258,genUp,11.71221955,
all,East,EastSouth,heat,districtHeat,h0259,genUp,11.76939902,
all,East,EastSouth,heat,districtHeat,h0260,genUp,11.55450978,
all,East,EastSouth,heat,districtHeat,h0261,genUp,10.3723226,
all,East,EastSouth,heat,districtHeat,h0262,genUp,8.495218415,
all,East,EastSouth,heat,districtHeat,h0263,genUp,6.621367707,
all,East,EastSouth,heat,districtHeat,h0264,genUp,6.186066546,
all,East,EastSouth,heat,districtHeat,h0265,genUp,6.5215936,
all,East,EastSouth,heat,districtHeat,h0266,genUp,6.632865544,
all,East,EastSouth,heat,districtHeat,h0267,genUp,7.384056403,
all,East,EastSouth,heat,districtHeat,h0268,genUp,8.830753983,
all,East,EastSouth,heat,districtHeat,h0269,genUp,11.52502603,
all,East,EastSouth,heat,districtHeat,h0270,genUp,13.2105123,
all,East,EastSouth,heat,districtHeat,h0271,genUp,12.85453193,
all,East,EastSouth,heat,districtHeat,h0272,genUp,12.90815239,
all,East,EastSouth,heat,districtHeat,h0273,genUp,12.10280928,
all,East,EastSouth,heat,districtHeat,h0274,genUp,11.4567975,
all,East,EastSouth,heat,districtHeat,h0275,genUp,10.80269747,
all,East,EastSouth,heat,districtHeat,h0276,genUp,10.56460518,
all,East,EastSouth,heat,districtHeat,h0277,genUp,10.68065398,
all,East,EastSouth,heat,districtHeat,h0278,genUp,10.75273236,
all,East,EastSouth,heat,districtHeat,h0279,genUp,11.11233819,
all,East,EastSouth,heat,districtHeat,h0280,genUp,11.7133776,
all,East,EastSouth,heat,districtHeat,h0281,genUp,12.06789252,
all,East,EastSouth,heat,districtHeat,h0282,genUp,12.43083965,
all,East,EastSouth,heat,districtHeat,h0283,genUp,12.40010817,
all,East,EastSouth,heat,districtHeat,h0284,genUp,11.89950088,
all,East,EastSouth,heat,districtHeat,h0285,genUp,10.77006027,
all,East,EastSouth,heat,districtHeat,h0286,genUp,8.536565324,
all,East,EastSouth,heat,districtHeat,h0287,genUp,6.838880459,
all,East,EastSouth,heat,districtHeat,h0288,genUp,5.518757451,
all,East,EastSouth,heat,districtHeat,h0289,genUp,5.819120126,
all,East,EastSouth,heat,districtHeat,h0290,genUp,5.890824672,
all,East,EastSouth,heat,districtHeat,h0291,genUp,6.584521995,
all,East,EastSouth,heat,districtHeat,h0292,genUp,7.885441257,
all,East,EastSouth,heat,districtHeat,h0293,genUp,10.29624492,
all,East,EastSouth,heat,districtHeat,h0294,genUp,11.79500969,
all,East,EastSouth,heat,districtHeat,h0295,genUp,11.50567284,
all,East,EastSouth,heat,districtHeat,h0296,genUp,11.6695334,
all,East,EastSouth,heat,districtHeat,h0297,genUp,10.8161907,
all,East,EastSouth,heat,districtHeat,h0298,genUp,10.1793289,
all,East,EastSouth,heat,districtHeat,h0299,genUp,9.653051158,
all,East,EastSouth,heat,districtHeat,h0300,genUp,9.402123649,
all,East,EastSouth,heat,districtHeat,h0301,genUp,9.566172051,
all,East,EastSouth,heat,districtHeat,h0302,genUp,9.673414811,
all,East,EastSouth,heat,districtHeat,h0303,genUp,10.03302064,
all,East,EastSouth,heat,districtHeat,h0304,genUp,10.50149079,
all,East,EastSouth,heat,districtHeat,h0305,genUp,10.85160269,
all,East,EastSouth,heat,districtHeat,h0306,genUp,11.03398095,
all,East,EastSouth,heat,districtHeat,h0307,genUp,11.01642865,
all,East,EastSouth,heat,districtHeat,h0308,genUp,10.63046448,
all,East,EastSouth,heat,districtHeat,h0309,genUp,9.629563945,
all,East,EastSouth,heat,districtHeat,h0310,genUp,7.54728218,
all,East,EastSouth,heat,districtHeat,h0311,genUp,6.052525221,
all,East,EastSouth,heat,districtHeat,h0312,genUp,6.16373739,
all,East,EastSouth,heat,districtHeat,h0313,genUp,6.503667463,
all,East,EastSouth,heat,districtHeat,h0314,genUp,6.615283355,
all,East,EastSouth,heat,districtHeat,h0315,genUp,7.366474213,
all,East,EastSouth,heat,districtHeat,h0316,genUp,8.879815315,
all,East,EastSouth,heat,districtHeat,h0317,genUp,11.60925174,
all,East,EastSouth,heat,districtHeat,h0318,genUp,13.35663457,
all,East,EastSouth,heat,districtHeat,h0319,genUp,13.03581857,
all,East,EastSouth,heat,districtHeat,h0320,genUp,13.15502082,
all,East,EastSouth,heat,districtHeat,h0321,genUp,12.16030282,
all,East,EastSouth,heat,districtHeat,h0322,genUp,11.46594749,
all,East,EastSouth,heat,districtHeat,h0323,genUp,10.860191,
all,East,EastSouth,heat,districtHeat,h0324,genUp,10.58693434,
all,East,EastSouth,heat,districtHeat,h0325,genUp,10.69383315,
all,East,EastSouth,heat,districtHeat,h0326,genUp,10.86297246,
all,East,EastSouth,heat,districtHeat,h0327,genUp,11.22698132,
all,East,EastSouth,heat,districtHeat,h0328,genUp,11.75769197,
all,East,EastSouth,heat,districtHeat,h0329,genUp,12.13453604,
all,East,EastSouth,heat,districtHeat,h0330,genUp,12.36122867,
all,East,EastSouth,heat,districtHeat,h0331,genUp,12.34367637,
all,East,EastSouth,heat,districtHeat,h0332,genUp,11.93538304,
all,East,EastSouth,heat,districtHeat,h0333,genUp,10.78361327,
all,East,EastSouth,heat,districtHeat,h0334,genUp,8.470639585,
all,East,EastSouth,heat,districtHeat,h0335,genUp,6.785789943,
all,East,EastSouth,heat,districtHeat,h0336,genUp,6.362606223,
all,East,EastSouth,heat,districtHeat,h0337,genUp,6.724865453,
all,East,EastSouth,heat,districtHeat,h0338,genUp,6.836137398,
all,East,EastSouth,heat,districtHeat,h0339,genUp,7.569746067,
all,East,EastSouth,heat,districtHeat,h0340,genUp,8.998861457,
all,East,EastSouth,heat,districtHeat,h0341,genUp,11.76786528,
all,East,EastSouth,heat,districtHeat,h0342,genUp,13.48885988,
all,East,EastSouth,heat,districtHeat,h0343,genUp,13.17244691,
all,East,EastSouth,heat,districtHeat,h0344,genUp,13.29639612,
all,East,EastSouth,heat,districtHeat,h0345,genUp,12.40314207,
all,East,EastSouth,heat,districtHeat,h0346,genUp,11.72671288,
all,East,EastSouth,heat,districtHeat,h0347,genUp,11.12095639,
all,East,EastSouth,heat,districtHeat,h0348,genUp,10.85210274,
all,East,EastSouth,heat,districtHeat,h0349,genUp,10.97658375,
all,East,EastSouth,heat,districtHeat,h0350,genUp,11.12814087,
all,East,EastSouth,heat,districtHeat,h0351,genUp,11.48774671,
all,East,EastSouth,heat,districtHeat,h0352,genUp,11.9961282,
all,East,EastSouth,heat,districtHeat,h0353,genUp,12.37297228,
all,East,EastSouth,heat,districtHeat,h0354,genUp,12.53776835,
all,East,EastSouth,heat,districtHeat,h0355,genUp,12.52021605,
all,East,EastSouth,heat,districtHeat,h0356,genUp,12.07235532,
all,East,EastSouth,heat,districtHeat,h0357,genUp,10.92058555,
all,East,EastSouth,heat,districtHeat,h0358,genUp,8.629941021,
all,East,EastSouth,heat,districtHeat,h0359,genUp,6.945091378,
all,East,EastSouth,heat,districtHeat,h0360,genUp,6.098155598,
all,East,EastSouth,heat,districtHeat,h0361,genUp,6.477997017,
all,East,EastSouth,heat,districtHeat,h0362,genUp,6.589268961,
all,East,EastSouth,heat,districtHeat,h0363,genUp,7.270131061,
all,East,EastSouth,heat,districtHeat,h0364,genUp,8.721575608,
all,East,EastSouth,heat,districtHeat,h0365,genUp,11.47299724,
all,East,EastSouth,heat,districtHeat,h0366,genUp,13.43979855,
all,East,EastSouth,heat,districtHeat,h0367,genUp,13.0486538,
all,East,EastSouth,heat,districtHeat,h0368,genUp,13.11985644,
