timestep_2,technology_1,scenario,parameter,value
h0001,wind_onshore,year_2019,avaConv,0.8645
h0002,wind_onshore,year_2019,avaConv,0.8742
h0003,wind_onshore,year_2019,avaConv,0.8842
h0004,wind_onshore,year_2019,avaConv,0.9065
h0005,wind_onshore,year_2019,avaConv,0.9247
h0006,wind_onshore,year_2019,avaConv,0.9285
h0007,wind_onshore,year_2019,avaConv,0.9223
h0008,wind_onshore,year_2019,avaConv,0.9283
h0009,wind_onshore,year_2019,avaConv,0.9379
h0010,wind_onshore,year_2019,avaConv,0.9501
h0011,wind_onshore,year_2019,avaConv,0.962
h0012,wind_onshore,year_2019,avaConv,0.9718
h0013,wind_onshore,year_2019,avaConv,0.9782
h0014,wind_onshore,year_2019,avaConv,0.9809
h0015,wind_onshore,year_2019,avaConv,0.9809
h0016,wind_onshore,year_2019,avaConv,0.9791
h0017,wind_onshore,year_2019,avaConv,0.9738
h0018,wind_onshore,year_2019,avaConv,0.9659
h0019,wind_onshore,year_2019,avaConv,0.956
h0020,wind_onshore,year_2019,avaConv,0.9441
h0021,wind_onshore,year_2019,avaConv,0.9375
h0022,wind_onshore,year_2019,avaConv,0.9407
h0023,wind_onshore,year_2019,avaConv,0.9458
h0024,wind_onshore,year_2019,avaConv,0.9513
h0025,wind_onshore,year_2019,avaConv,0.9503
h0026,wind_onshore,year_2019,avaConv,0.947
h0027,wind_onshore,year_2019,avaConv,0.94
h0028,wind_onshore,year_2019,avaConv,0.9259
h0029,wind_onshore,year_2019,avaConv,0.9047
h0030,wind_onshore,year_2019,avaConv,0.8822
h0031,wind_onshore,year_2019,avaConv,0.852
h0032,wind_onshore,year_2019,avaConv,0.8129
h0033,wind_onshore,year_2019,avaConv,0.7685
h0034,wind_onshore,year_2019,avaConv,0.7226
h0035,wind_onshore,year_2019,avaConv,0.678
h0036,wind_onshore,year_2019,avaConv,0.6473
h0037,wind_onshore,year_2019,avaConv,0.6363
h0038,wind_onshore,year_2019,avaConv,0.6308
h0039,wind_onshore,year_2019,avaConv,0.6197
h0040,wind_onshore,year_2019,avaConv,0.5956
h0041,wind_onshore,year_2019,avaConv,0.5629
h0042,wind_onshore,year_2019,avaConv,0.5288
h0043,wind_onshore,year_2019,avaConv,0.4937
h0044,wind_onshore,year_2019,avaConv,0.4639
h0045,wind_onshore,year_2019,avaConv,0.4407
h0046,wind_onshore,year_2019,avaConv,0.4283
h0047,wind_onshore,year_2019,avaConv,0.4288
h0048,wind_onshore,year_2019,avaConv,0.4357
h0049,wind_onshore,year_2019,avaConv,0.4415
h0050,wind_onshore,year_2019,avaConv,0.4472
h0051,wind_onshore,year_2019,avaConv,0.4579
h0052,wind_onshore,year_2019,avaConv,0.4704
h0053,wind_onshore,year_2019,avaConv,0.4816
h0054,wind_onshore,year_2019,avaConv,0.4793
h0055,wind_onshore,year_2019,avaConv,0.4462
h0056,wind_onshore,year_2019,avaConv,0.3855
h0057,wind_onshore,year_2019,avaConv,0.3137
h0058,wind_onshore,year_2019,avaConv,0.26
h0059,wind_onshore,year_2019,avaConv,0.2206
h0060,wind_onshore,year_2019,avaConv,0.1895
h0061,wind_onshore,year_2019,avaConv,0.165
h0062,wind_onshore,year_2019,avaConv,0.1564
h0063,wind_onshore,year_2019,avaConv,0.1522
h0064,wind_onshore,year_2019,avaConv,0.1369
h0065,wind_onshore,year_2019,avaConv,0.1094
h0066,wind_onshore,year_2019,avaConv,0.0784
h0067,wind_onshore,year_2019,avaConv,0.0601
h0068,wind_onshore,year_2019,avaConv,0.0743
h0069,wind_onshore,year_2019,avaConv,0.0938
h0070,wind_onshore,year_2019,avaConv,0.1
h0071,wind_onshore,year_2019,avaConv,0.1059
h0072,wind_onshore,year_2019,avaConv,0.1336
h0073,wind_onshore,year_2019,avaConv,0.1879
h0074,wind_onshore,year_2019,avaConv,0.2494
h0075,wind_onshore,year_2019,avaConv,0.3166
h0076,wind_onshore,year_2019,avaConv,0.3737
h0077,wind_onshore,year_2019,avaConv,0.4239
h0078,wind_onshore,year_2019,avaConv,0.4764
h0079,wind_onshore,year_2019,avaConv,0.5063
h0080,wind_onshore,year_2019,avaConv,0.5253
h0081,wind_onshore,year_2019,avaConv,0.494
h0082,wind_onshore,year_2019,avaConv,0.4643
h0083,wind_onshore,year_2019,avaConv,0.438
h0084,wind_onshore,year_2019,avaConv,0.4204
h0085,wind_onshore,year_2019,avaConv,0.4217
h0086,wind_onshore,year_2019,avaConv,0.44
h0087,wind_onshore,year_2019,avaConv,0.4589
h0088,wind_onshore,year_2019,avaConv,0.4875
h0089,wind_onshore,year_2019,avaConv,0.5035
h0090,wind_onshore,year_2019,avaConv,0.5103
h0091,wind_onshore,year_2019,avaConv,0.5344
h0092,wind_onshore,year_2019,avaConv,0.5765
h0093,wind_onshore,year_2019,avaConv,0.5865
h0094,wind_onshore,year_2019,avaConv,0.5976
h0095,wind_onshore,year_2019,avaConv,0.6109
h0096,wind_onshore,year_2019,avaConv,0.6082
h0097,wind_onshore,year_2019,avaConv,0.611
h0098,wind_onshore,year_2019,avaConv,0.6246
h0099,wind_onshore,year_2019,avaConv,0.6266
h0100,wind_onshore,year_2019,avaConv,0.6148
h0101,wind_onshore,year_2019,avaConv,0.6025
h0102,wind_onshore,year_2019,avaConv,0.5983
h0103,wind_onshore,year_2019,avaConv,0.5899
h0104,wind_onshore,year_2019,avaConv,0.572
h0105,wind_onshore,year_2019,avaConv,0.5396
h0106,wind_onshore,year_2019,avaConv,0.5182
h0107,wind_onshore,year_2019,avaConv,0.5043
h0108,wind_onshore,year_2019,avaConv,0.4849
h0109,wind_onshore,year_2019,avaConv,0.4694
h0110,wind_onshore,year_2019,avaConv,0.4526
h0111,wind_onshore,year_2019,avaConv,0.4391
h0112,wind_onshore,year_2019,avaConv,0.426
h0113,wind_onshore,year_2019,avaConv,0.4208
h0114,wind_onshore,year_2019,avaConv,0.4055
h0115,wind_onshore,year_2019,avaConv,0.3817
h0116,wind_onshore,year_2019,avaConv,0.3623
h0117,wind_onshore,year_2019,avaConv,0.3426
h0118,wind_onshore,year_2019,avaConv,0.3221
h0119,wind_onshore,year_2019,avaConv,0.3033
h0120,wind_onshore,year_2019,avaConv,0.2833
h0121,wind_onshore,year_2019,avaConv,0.2592
h0122,wind_onshore,year_2019,avaConv,0.2326
h0123,wind_onshore,year_2019,avaConv,0.208
h0124,wind_onshore,year_2019,avaConv,0.1883
h0125,wind_onshore,year_2019,avaConv,0.1672
h0126,wind_onshore,year_2019,avaConv,0.1523
h0127,wind_onshore,year_2019,avaConv,0.1418
h0128,wind_onshore,year_2019,avaConv,0.1365
h0129,wind_onshore,year_2019,avaConv,0.1268
h0130,wind_onshore,year_2019,avaConv,0.1089
h0131,wind_onshore,year_2019,avaConv,0.0937
h0132,wind_onshore,year_2019,avaConv,0.0898
h0133,wind_onshore,year_2019,avaConv,0.0964
h0134,wind_onshore,year_2019,avaConv,0.105
h0135,wind_onshore,year_2019,avaConv,0.1065
h0136,wind_onshore,year_2019,avaConv,0.108
h0137,wind_onshore,year_2019,avaConv,0.1082
h0138,wind_onshore,year_2019,avaConv,0.1018
h0139,wind_onshore,year_2019,avaConv,0.1028
h0140,wind_onshore,year_2019,avaConv,0.1142
h0141,wind_onshore,year_2019,avaConv,0.1205
h0142,wind_onshore,year_2019,avaConv,0.1231
h0143,wind_onshore,year_2019,avaConv,0.1294
h0144,wind_onshore,year_2019,avaConv,0.1347
h0145,wind_onshore,year_2019,avaConv,0.1253
h0146,wind_onshore,year_2019,avaConv,0.1126
h0147,wind_onshore,year_2019,avaConv,0.1044
h0148,wind_onshore,year_2019,avaConv,0.1004
h0149,wind_onshore,year_2019,avaConv,0.0906
h0150,wind_onshore,year_2019,avaConv,0.0833
h0151,wind_onshore,year_2019,avaConv,0.0779
h0152,wind_onshore,year_2019,avaConv,0.087
h0153,wind_onshore,year_2019,avaConv,0.1222
h0154,wind_onshore,year_2019,avaConv,0.1867
h0155,wind_onshore,year_2019,avaConv,0.2779
h0156,wind_onshore,year_2019,avaConv,0.3734
h0157,wind_onshore,year_2019,avaConv,0.4281
h0158,wind_onshore,year_2019,avaConv,0.4766
h0159,wind_onshore,year_2019,avaConv,0.5133
h0160,wind_onshore,year_2019,avaConv,0.5657
h0161,wind_onshore,year_2019,avaConv,0.6075
h0162,wind_onshore,year_2019,avaConv,0.6544
h0163,wind_onshore,year_2019,avaConv,0.7309
h0164,wind_onshore,year_2019,avaConv,0.8118
h0165,wind_onshore,year_2019,avaConv,0.8589
h0166,wind_onshore,year_2019,avaConv,0.9033
h0167,wind_onshore,year_2019,avaConv,0.8987
h0168,wind_onshore,year_2019,avaConv,0.8742
h0169,wind_onshore,year_2019,avaConv,0.8496
h0170,wind_onshore,year_2019,avaConv,0.8534
h0171,wind_onshore,year_2019,avaConv,0.8509
h0172,wind_onshore,year_2019,avaConv,0.8442
h0173,wind_onshore,year_2019,avaConv,0.8443
h0174,wind_onshore,year_2019,avaConv,0.868
h0175,wind_onshore,year_2019,avaConv,0.8431
h0176,wind_onshore,year_2019,avaConv,0.8305
h0177,wind_onshore,year_2019,avaConv,0.7774
h0178,wind_onshore,year_2019,avaConv,0.68
h0179,wind_onshore,year_2019,avaConv,0.6314
h0180,wind_onshore,year_2019,avaConv,0.652
h0181,wind_onshore,year_2019,avaConv,0.6993
h0182,wind_onshore,year_2019,avaConv,0.7527
h0183,wind_onshore,year_2019,avaConv,0.7887
h0184,wind_onshore,year_2019,avaConv,0.7978
h0185,wind_onshore,year_2019,avaConv,0.7934
h0186,wind_onshore,year_2019,avaConv,0.7729
h0187,wind_onshore,year_2019,avaConv,0.7706
h0188,wind_onshore,year_2019,avaConv,0.7946
h0189,wind_onshore,year_2019,avaConv,0.824
h0190,wind_onshore,year_2019,avaConv,0.8451
h0191,wind_onshore,year_2019,avaConv,0.8573
h0192,wind_onshore,year_2019,avaConv,0.8632
h0193,wind_onshore,year_2019,avaConv,0.8621
h0194,wind_onshore,year_2019,avaConv,0.8549
h0195,wind_onshore,year_2019,avaConv,0.84
h0196,wind_onshore,year_2019,avaConv,0.8241
h0197,wind_onshore,year_2019,avaConv,0.8122
h0198,wind_onshore,year_2019,avaConv,0.8017
h0199,wind_onshore,year_2019,avaConv,0.7937
h0200,wind_onshore,year_2019,avaConv,0.7921
h0201,wind_onshore,year_2019,avaConv,0.7813
h0202,wind_onshore,year_2019,avaConv,0.7618
h0203,wind_onshore,year_2019,avaConv,0.7378
h0204,wind_onshore,year_2019,avaConv,0.7099
h0205,wind_onshore,year_2019,avaConv,0.6918
h0206,wind_onshore,year_2019,avaConv,0.6762
h0207,wind_onshore,year_2019,avaConv,0.6342
h0208,wind_onshore,year_2019,avaConv,0.6018
h0209,wind_onshore,year_2019,avaConv,0.5826
h0210,wind_onshore,year_2019,avaConv,0.549
h0211,wind_onshore,year_2019,avaConv,0.4975
h0212,wind_onshore,year_2019,avaConv,0.4336
h0213,wind_onshore,year_2019,avaConv,0.3872
h0214,wind_onshore,year_2019,avaConv,0.316
h0215,wind_onshore,year_2019,avaConv,0.2548
h0216,wind_onshore,year_2019,avaConv,0.212
h0217,wind_onshore,year_2019,avaConv,0.1709
h0218,wind_onshore,year_2019,avaConv,0.1469
h0219,wind_onshore,year_2019,avaConv,0.1201
h0220,wind_onshore,year_2019,avaConv,0.1001
h0221,wind_onshore,year_2019,avaConv,0.0791
h0222,wind_onshore,year_2019,avaConv,0.0643
h0223,wind_onshore,year_2019,avaConv,0.0518
h0224,wind_onshore,year_2019,avaConv,0.0383
h0225,wind_onshore,year_2019,avaConv,0.0301
h0226,wind_onshore,year_2019,avaConv,0.0249
h0227,wind_onshore,year_2019,avaConv,0.0241
h0228,wind_onshore,year_2019,avaConv,0.0303
h0229,wind_onshore,year_2019,avaConv,0.0432
h0230,wind_onshore,year_2019,avaConv,0.0571
h0231,wind_onshore,year_2019,avaConv,0.068
h0232,wind_onshore,year_2019,avaConv,0.0807
h0233,wind_onshore,year_2019,avaConv,0.1024
h0234,wind_onshore,year_2019,avaConv,0.1201
h0235,wind_onshore,year_2019,avaConv,0.1311
h0236,wind_onshore,year_2019,avaConv,0.1388
h0237,wind_onshore,year_2019,avaConv,0.1575
h0238,wind_onshore,year_2019,avaConv,0.1843
h0239,wind_onshore,year_2019,avaConv,0.2074
h0240,wind_onshore,year_2019,avaConv,0.2536
h0241,wind_onshore,year_2019,avaConv,0.304
h0242,wind_onshore,year_2019,avaConv,0.3654
h0243,wind_onshore,year_2019,avaConv,0.4336
h0244,wind_onshore,year_2019,avaConv,0.4973
h0245,wind_onshore,year_2019,avaConv,0.509
h0246,wind_onshore,year_2019,avaConv,0.4995
h0247,wind_onshore,year_2019,avaConv,0.4997
h0248,wind_onshore,year_2019,avaConv,0.5004
h0249,wind_onshore,year_2019,avaConv,0.5176
h0250,wind_onshore,year_2019,avaConv,0.5489
h0251,wind_onshore,year_2019,avaConv,0.5883
h0252,wind_onshore,year_2019,avaConv,0.5988
h0253,wind_onshore,year_2019,avaConv,0.5917
h0254,wind_onshore,year_2019,avaConv,0.6072
h0255,wind_onshore,year_2019,avaConv,0.5936
h0256,wind_onshore,year_2019,avaConv,0.5626
h0257,wind_onshore,year_2019,avaConv,0.5199
h0258,wind_onshore,year_2019,avaConv,0.4848
h0259,wind_onshore,year_2019,avaConv,0.4347
h0260,wind_onshore,year_2019,avaConv,0.3954
h0261,wind_onshore,year_2019,avaConv,0.3538
h0262,wind_onshore,year_2019,avaConv,0.3161
h0263,wind_onshore,year_2019,avaConv,0.2875
h0264,wind_onshore,year_2019,avaConv,0.267
h0265,wind_onshore,year_2019,avaConv,0.2727
h0266,wind_onshore,year_2019,avaConv,0.2897
h0267,wind_onshore,year_2019,avaConv,0.3026
h0268,wind_onshore,year_2019,avaConv,0.3337
h0269,wind_onshore,year_2019,avaConv,0.383
h0270,wind_onshore,year_2019,avaConv,0.4267
h0271,wind_onshore,year_2019,avaConv,0.4739
h0272,wind_onshore,year_2019,avaConv,0.5353
h0273,wind_onshore,year_2019,avaConv,0.5798
h0274,wind_onshore,year_2019,avaConv,0.5955
h0275,wind_onshore,year_2019,avaConv,0.5962
h0276,wind_onshore,year_2019,avaConv,0.6079
h0277,wind_onshore,year_2019,avaConv,0.6415
h0278,wind_onshore,year_2019,avaConv,0.6535
h0279,wind_onshore,year_2019,avaConv,0.6769
h0280,wind_onshore,year_2019,avaConv,0.7283
h0281,wind_onshore,year_2019,avaConv,0.7504
h0282,wind_onshore,year_2019,avaConv,0.746
h0283,wind_onshore,year_2019,avaConv,0.6983
h0284,wind_onshore,year_2019,avaConv,0.6322
h0285,wind_onshore,year_2019,avaConv,0.5669
h0286,wind_onshore,year_2019,avaConv,0.4845
h0287,wind_onshore,year_2019,avaConv,0.44
h0288,wind_onshore,year_2019,avaConv,0.4053
h0289,wind_onshore,year_2019,avaConv,0.3836
h0290,wind_onshore,year_2019,avaConv,0.4096
h0291,wind_onshore,year_2019,avaConv,0.4554
h0292,wind_onshore,year_2019,avaConv,0.483
h0293,wind_onshore,year_2019,avaConv,0.5174
h0294,wind_onshore,year_2019,avaConv,0.5657
h0295,wind_onshore,year_2019,avaConv,0.601
h0296,wind_onshore,year_2019,avaConv,0.6847
h0297,wind_onshore,year_2019,avaConv,0.7236
h0298,wind_onshore,year_2019,avaConv,0.727
h0299,wind_onshore,year_2019,avaConv,0.7371
h0300,wind_onshore,year_2019,avaConv,0.8103
h0301,wind_onshore,year_2019,avaConv,0.8901
h0302,wind_onshore,year_2019,avaConv,0.8986
h0303,wind_onshore,year_2019,avaConv,0.8894
h0304,wind_onshore,year_2019,avaConv,0.9122
h0305,wind_onshore,year_2019,avaConv,0.9139
h0306,wind_onshore,year_2019,avaConv,0.9033
h0307,wind_onshore,year_2019,avaConv,0.8873
h0308,wind_onshore,year_2019,avaConv,0.8609
h0309,wind_onshore,year_2019,avaConv,0.8339
h0310,wind_onshore,year_2019,avaConv,0.8268
h0311,wind_onshore,year_2019,avaConv,0.8317
h0312,wind_onshore,year_2019,avaConv,0.8407
h0313,wind_onshore,year_2019,avaConv,0.8434
h0314,wind_onshore,year_2019,avaConv,0.845
h0315,wind_onshore,year_2019,avaConv,0.8512
h0316,wind_onshore,year_2019,avaConv,0.8649
h0317,wind_onshore,year_2019,avaConv,0.8845
h0318,wind_onshore,year_2019,avaConv,0.9009
h0319,wind_onshore,year_2019,avaConv,0.9118
h0320,wind_onshore,year_2019,avaConv,0.9124
h0321,wind_onshore,year_2019,avaConv,0.9054
h0322,wind_onshore,year_2019,avaConv,0.893
h0323,wind_onshore,year_2019,avaConv,0.8757
h0324,wind_onshore,year_2019,avaConv,0.8596
h0325,wind_onshore,year_2019,avaConv,0.8694
h0326,wind_onshore,year_2019,avaConv,0.882
h0327,wind_onshore,year_2019,avaConv,0.8765
h0328,wind_onshore,year_2019,avaConv,0.8584
h0329,wind_onshore,year_2019,avaConv,0.8188
h0330,wind_onshore,year_2019,avaConv,0.7576
h0331,wind_onshore,year_2019,avaConv,0.6887
h0332,wind_onshore,year_2019,avaConv,0.6363
h0333,wind_onshore,year_2019,avaConv,0.6294
h0334,wind_onshore,year_2019,avaConv,0.6813
h0335,wind_onshore,year_2019,avaConv,0.7435
h0336,wind_onshore,year_2019,avaConv,0.7863
h0337,wind_onshore,year_2019,avaConv,0.8006
h0338,wind_onshore,year_2019,avaConv,0.7869
h0339,wind_onshore,year_2019,avaConv,0.7536
h0340,wind_onshore,year_2019,avaConv,0.705
h0341,wind_onshore,year_2019,avaConv,0.6599
h0342,wind_onshore,year_2019,avaConv,0.621
h0343,wind_onshore,year_2019,avaConv,0.5788
h0344,wind_onshore,year_2019,avaConv,0.5526
h0345,wind_onshore,year_2019,avaConv,0.5511
h0346,wind_onshore,year_2019,avaConv,0.5548
h0347,wind_onshore,year_2019,avaConv,0.5427
h0348,wind_onshore,year_2019,avaConv,0.532
h0349,wind_onshore,year_2019,avaConv,0.5602
h0350,wind_onshore,year_2019,avaConv,0.6713
h0351,wind_onshore,year_2019,avaConv,0.7409
h0352,wind_onshore,year_2019,avaConv,0.7408
h0353,wind_onshore,year_2019,avaConv,0.7555
h0354,wind_onshore,year_2019,avaConv,0.7784
h0355,wind_onshore,year_2019,avaConv,0.7901
h0356,wind_onshore,year_2019,avaConv,0.7879
h0357,wind_onshore,year_2019,avaConv,0.7875
h0358,wind_onshore,year_2019,avaConv,0.7731
h0359,wind_onshore,year_2019,avaConv,0.7408
h0360,wind_onshore,year_2019,avaConv,0.6967
h0361,wind_onshore,year_2019,avaConv,0.6517
h0362,wind_onshore,year_2019,avaConv,0.5964
h0363,wind_onshore,year_2019,avaConv,0.5529
h0364,wind_onshore,year_2019,avaConv,0.5382
h0365,wind_onshore,year_2019,avaConv,0.5444
h0366,wind_onshore,year_2019,avaConv,0.5884
h0367,wind_onshore,year_2019,avaConv,0.6493
h0368,wind_onshore,year_2019,avaConv,0.6985
h0369,wind_onshore,year_2019,avaConv,0.7028
h0370,wind_onshore,year_2019,avaConv,0.7179
h0371,wind_onshore,year_2019,avaConv,0.7538
h0372,wind_onshore,year_2019,avaConv,0.7647
h0373,wind_onshore,year_2019,avaConv,0.769
h0374,wind_onshore,year_2019,avaConv,0.7836
h0375,wind_onshore,year_2019,avaConv,0.8076
h0376,wind_onshore,year_2019,avaConv,0.8221
h0377,wind_onshore,year_2019,avaConv,0.8039
h0378,wind_onshore,year_2019,avaConv,0.7706
h0379,wind_onshore,year_2019,avaConv,0.7462
h0380,wind_onshore,year_2019,avaConv,0.7294
h0381,wind_onshore,year_2019,avaConv,0.7119
h0382,wind_onshore,year_2019,avaConv,0.6981
h0383,wind_onshore,year_2019,avaConv,0.6987
h0384,wind_onshore,year_2019,avaConv,0.7058
h0385,wind_onshore,year_2019,avaConv,0.7136
h0386,wind_onshore,year_2019,avaConv,0.725
h0387,wind_onshore,year_2019,avaConv,0.7302
h0388,wind_onshore,year_2019,avaConv,0.7169
h0389,wind_onshore,year_2019,avaConv,0.7124
h0390,wind_onshore,year_2019,avaConv,0.6975
h0391,wind_onshore,year_2019,avaConv,0.6577
h0392,wind_onshore,year_2019,avaConv,0.6333
h0393,wind_onshore,year_2019,avaConv,0.6105
h0394,wind_onshore,year_2019,avaConv,0.6131
h0395,wind_onshore,year_2019,avaConv,0.6282
h0396,wind_onshore,year_2019,avaConv,0.6521
h0397,wind_onshore,year_2019,avaConv,0.6655
h0398,wind_onshore,year_2019,avaConv,0.6836
h0399,wind_onshore,year_2019,avaConv,0.6991
h0400,wind_onshore,year_2019,avaConv,0.6942
h0401,wind_onshore,year_2019,avaConv,0.6154
h0402,wind_onshore,year_2019,avaConv,0.5207
h0403,wind_onshore,year_2019,avaConv,0.4957
h0404,wind_onshore,year_2019,avaConv,0.5029
h0405,wind_onshore,year_2019,avaConv,0.474
h0406,wind_onshore,year_2019,avaConv,0.4055
h0407,wind_onshore,year_2019,avaConv,0.3438
h0408,wind_onshore,year_2019,avaConv,0.2851
h0409,wind_onshore,year_2019,avaConv,0.2464
h0410,wind_onshore,year_2019,avaConv,0.2205
h0411,wind_onshore,year_2019,avaConv,0.2019
h0412,wind_onshore,year_2019,avaConv,0.1856
h0413,wind_onshore,year_2019,avaConv,0.1705
h0414,wind_onshore,year_2019,avaConv,0.1551
h0415,wind_onshore,year_2019,avaConv,0.1452
h0416,wind_onshore,year_2019,avaConv,0.1463
h0417,wind_onshore,year_2019,avaConv,0.1482
h0418,wind_onshore,year_2019,avaConv,0.1374
h0419,wind_onshore,year_2019,avaConv,0.1112
h0420,wind_onshore,year_2019,avaConv,0.0829
h0421,wind_onshore,year_2019,avaConv,0.0613
h0422,wind_onshore,year_2019,avaConv,0.0481
h0423,wind_onshore,year_2019,avaConv,0.0426
h0424,wind_onshore,year_2019,avaConv,0.0417
h0425,wind_onshore,year_2019,avaConv,0.045
h0426,wind_onshore,year_2019,avaConv,0.0512
h0427,wind_onshore,year_2019,avaConv,0.0584
h0428,wind_onshore,year_2019,avaConv,0.0665
h0429,wind_onshore,year_2019,avaConv,0.0754
h0430,wind_onshore,year_2019,avaConv,0.0884
h0431,wind_onshore,year_2019,avaConv,0.1075
h0432,wind_onshore,year_2019,avaConv,0.1277
h0433,wind_onshore,year_2019,avaConv,0.1433
h0434,wind_onshore,year_2019,avaConv,0.1478
h0435,wind_onshore,year_2019,avaConv,0.1495
h0436,wind_onshore,year_2019,avaConv,0.1468
h0437,wind_onshore,year_2019,avaConv,0.148
h0438,wind_onshore,year_2019,avaConv,0.1539
h0439,wind_onshore,year_2019,avaConv,0.1626
