timestep_2,carrier_1,parameter,value
h0328,electricity,dem,74.90618557
h0329,electricity,dem,75.03917526
h0330,electricity,dem,78.06701031
h0331,electricity,dem,77.85257732
h0332,electricity,dem,75.71030928
h0333,electricity,dem,71.37835052
h0334,electricity,dem,67.85051546
h0335,electricity,dem,64.81443299
h0336,electricity,dem,60.02474227
h0337,electricity,dem,56.44536082
h0338,electricity,dem,54.48453608
h0339,electricity,dem,53.53195876
h0340,electricity,dem,53.92783505
h0341,electricity,dem,55.02680412
h0342,electricity,dem,58.27731959
h0343,electricity,dem,66.78762887
h0344,electricity,dem,74.04948454
h0345,electricity,dem,76.52989691
h0346,electricity,dem,76.40824742
h0347,electricity,dem,77.29381443
h0348,electricity,dem,77.96185567
h0349,electricity,dem,77.3628866
h0350,electricity,dem,76.72061856
h0351,electricity,dem,75.6257732
h0352,electricity,dem,74.90309278
h0353,electricity,dem,74.92680412
h0354,electricity,dem,77.88762887
h0355,electricity,dem,77.56391753
h0356,electricity,dem,75.42061856
h0357,electricity,dem,71.07319588
h0358,electricity,dem,67.33092784
h0359,electricity,dem,64.19278351
h0360,electricity,dem,59.21752577
h0361,electricity,dem,55.45773196
h0362,electricity,dem,52.9185567
h0363,electricity,dem,51.88350515
h0364,electricity,dem,52.42061856
h0365,electricity,dem,54.06185567
h0366,electricity,dem,58.03195876
h0367,electricity,dem,66.27938144
h0368,electricity,dem,73.72783505
h0369,electricity,dem,76.28247423
h0370,electricity,dem,76
h0371,electricity,dem,76.40412371
h0372,electricity,dem,77.01134021
h0373,electricity,dem,76.0185567
h0374,electricity,dem,74.53608247
h0375,electricity,dem,72.8742268
h0376,electricity,dem,71.74536082
h0377,electricity,dem,72.28659794
h0378,electricity,dem,75.80206186
h0379,electricity,dem,75.25051546
h0380,electricity,dem,72.69381443
h0381,electricity,dem,68.24020619
h0382,electricity,dem,64.76082474
h0383,electricity,dem,62.24948454
h0384,electricity,dem,57.96597938
h0385,electricity,dem,54.28659794
h0386,electricity,dem,51.97113402
h0387,electricity,dem,50.82268041
h0388,electricity,dem,50.44226804
h0389,electricity,dem,50.71752577
h0390,electricity,dem,50.59793814
h0391,electricity,dem,51.32474227
h0392,electricity,dem,54.96804124
h0393,electricity,dem,59.10515464
h0394,electricity,dem,62.6185567
h0395,electricity,dem,64.74948454
h0396,electricity,dem,65.76804124
h0397,electricity,dem,64.74639175
h0398,electricity,dem,62.75154639
h0399,electricity,dem,60.79175258
h0400,electricity,dem,59.94226804
h0401,electricity,dem,60.78865979
h0402,electricity,dem,65.45670103
h0403,electricity,dem,66.3742268
h0404,electricity,dem,64.18659794
h0405,electricity,dem,60.05257732
h0406,electricity,dem,57.65670103
h0407,electricity,dem,56.91752577
h0408,electricity,dem,53.5742268
h0409,electricity,dem,50.37731959
h0410,electricity,dem,48.56597938
h0411,electricity,dem,47.33195876
h0412,electricity,dem,46.78247423
h0413,electricity,dem,46.58865979
h0414,electricity,dem,46.04948454
h0415,electricity,dem,45.40515464
h0416,electricity,dem,47.29278351
h0417,electricity,dem,50.25051546
h0418,electricity,dem,54.11958763
h0419,electricity,dem,57.40515464
h0420,electricity,dem,60.77319588
h0421,electricity,dem,60.43814433
h0422,electricity,dem,57.92371134
h0423,electricity,dem,55.84845361
h0424,electricity,dem,55.0443299
h0425,electricity,dem,56.07010309
h0426,electricity,dem,61.59072165
h0427,electricity,dem,63.47319588
h0428,electricity,dem,62.19072165
h0429,electricity,dem,59.49278351
h0430,electricity,dem,57.90824742
h0431,electricity,dem,58.25360825
h0432,electricity,dem,55.36391753
h0433,electricity,dem,52.52680412
h0434,electricity,dem,50.80309278
h0435,electricity,dem,50.11030928
h0436,electricity,dem,50.43608247
h0437,electricity,dem,52.04536082
h0438,electricity,dem,56.14123711
h0439,electricity,dem,65.37835052
h0440,electricity,dem,73.34639175
h0441,electricity,dem,75.96185567
h0442,electricity,dem,76.23092784
h0443,electricity,dem,77.29175258
h0444,electricity,dem,78.16597938
h0445,electricity,dem,77.61958763
h0446,electricity,dem,77.09484536
h0447,electricity,dem,76.01958763
h0448,electricity,dem,75.37525773
h0449,electricity,dem,75.17938144
h0450,electricity,dem,78.42268041
h0451,electricity,dem,78.31958763
h0452,electricity,dem,76.30515464
h0453,electricity,dem,71.84226804
h0454,electricity,dem,68.37835052
h0455,electricity,dem,65.32783505
h0456,electricity,dem,60.79278351
h0457,electricity,dem,57.60618557
h0458,electricity,dem,55.53505155
h0459,electricity,dem,54.50412371
h0460,electricity,dem,54.89072165
h0461,electricity,dem,56.04639175
h0462,electricity,dem,59.34639175
h0463,electricity,dem,67.32061856
h0464,electricity,dem,74.58762887
h0465,electricity,dem,77.23917526
h0466,electricity,dem,77.40412371
h0467,electricity,dem,78.45051546
h0468,electricity,dem,79.0814433
h0469,electricity,dem,78.39896907
h0470,electricity,dem,77.88865979
h0471,electricity,dem,76.81649485
h0472,electricity,dem,76.10515464
h0473,electricity,dem,75.52989691
h0474,electricity,dem,78.96804124
h0475,electricity,dem,78.6443299
h0476,electricity,dem,76.50206186
h0477,electricity,dem,72.45670103
h0478,electricity,dem,68.85463918
h0479,electricity,dem,65.74123711
h0480,electricity,dem,61.44639175
h0481,electricity,dem,58.37525773
h0482,electricity,dem,56.15154639
h0483,electricity,dem,55.18969072
h0484,electricity,dem,55.57113402
h0485,electricity,dem,56.60927835
h0486,electricity,dem,59.82989691
h0487,electricity,dem,67.74329897
h0488,electricity,dem,75.01030928
h0489,electricity,dem,77.35360825
h0490,electricity,dem,77.22886598
h0491,electricity,dem,78.06494845
h0492,electricity,dem,78.71030928
h0493,electricity,dem,77.92164948
h0494,electricity,dem,77.21546392
h0495,electricity,dem,76.10721649
h0496,electricity,dem,75.42061856
h0497,electricity,dem,75.39587629
h0498,electricity,dem,78.84536082
h0499,electricity,dem,79.01752577
h0500,electricity,dem,76.95051546
h0501,electricity,dem,72.60206186
h0502,electricity,dem,69.10309278
h0503,electricity,dem,66.16185567
h0504,electricity,dem,61.85051546
h0505,electricity,dem,58.57010309
h0506,electricity,dem,56.38762887
h0507,electricity,dem,55.33298969
h0508,electricity,dem,55.31134021
h0509,electricity,dem,56.38969072
h0510,electricity,dem,59.51546392
h0511,electricity,dem,67.32268041
h0512,electricity,dem,74.90927835
h0513,electricity,dem,77.35876289
h0514,electricity,dem,77.69278351
h0515,electricity,dem,78.67835052
h0516,electricity,dem,79.44639175
h0517,electricity,dem,78.6443299
h0518,electricity,dem,78.16804124
h0519,electricity,dem,77.38969072
h0520,electricity,dem,76.66701031
h0521,electricity,dem,76.29278351
h0522,electricity,dem,78.99175258
h0523,electricity,dem,78.88969072
h0524,electricity,dem,76.6628866
h0525,electricity,dem,72.40721649
h0526,electricity,dem,68.8814433
h0527,electricity,dem,66.24948454
h0528,electricity,dem,61.65051546
h0529,electricity,dem,58.36597938
h0530,electricity,dem,56.2371134
h0531,electricity,dem,55.21237113
h0532,electricity,dem,55.49793814
h0533,electricity,dem,56.59175258
h0534,electricity,dem,59.5742268
h0535,electricity,dem,67.10618557
h0536,electricity,dem,74.55773196
h0537,electricity,dem,77.28453608
h0538,electricity,dem,77.47216495
h0539,electricity,dem,78.49793814
h0540,electricity,dem,79.05051546
h0541,electricity,dem,78.15876289
h0542,electricity,dem,76.96701031
h0543,electricity,dem,75.61443299
h0544,electricity,dem,74.69381443
h0545,electricity,dem,74.6443299
h0546,electricity,dem,77.57525773
h0547,electricity,dem,77.15979381
h0548,electricity,dem,74.46597938
h0549,electricity,dem,70.0443299
h0550,electricity,dem,66.63608247
h0551,electricity,dem,64.4257732
h0552,electricity,dem,60.95670103
h0553,electricity,dem,57.82680412
h0554,electricity,dem,55.31546392
h0555,electricity,dem,53.82783505
h0556,electricity,dem,53.31340206
h0557,electricity,dem,53.01752577
h0558,electricity,dem,52.70721649
h0559,electricity,dem,53.13402062
h0560,electricity,dem,56.80206186
h0561,electricity,dem,60.59587629
h0562,electricity,dem,64.27113402
h0563,electricity,dem,66.76391753
h0564,electricity,dem,68.13814433
h0565,electricity,dem,67.44639175
h0566,electricity,dem,65.06804124
h0567,electricity,dem,63.40206186
h0568,electricity,dem,62.48453608
h0569,electricity,dem,62.84639175
h0570,electricity,dem,66.99587629
h0571,electricity,dem,67.86391753
h0572,electricity,dem,65.60824742
h0573,electricity,dem,61.54226804
h0574,electricity,dem,58.98659794
h0575,electricity,dem,58.4257732
h0576,electricity,dem,55.44020619
h0577,electricity,dem,52.30309278
h0578,electricity,dem,50.10309278
h0579,electricity,dem,48.82474227
h0580,electricity,dem,48.13195876
h0581,electricity,dem,47.87628866
h0582,electricity,dem,47.25876289
h0583,electricity,dem,46.24226804
h0584,electricity,dem,48.02680412
h0585,electricity,dem,50.9628866
h0586,electricity,dem,55.09381443
h0587,electricity,dem,58.38659794
h0588,electricity,dem,61.14123711
h0589,electricity,dem,60.84639175
h0590,electricity,dem,58.86804124
h0591,electricity,dem,57.37010309
h0592,electricity,dem,56.71546392
h0593,electricity,dem,57.50206186
h0594,electricity,dem,62.41134021
h0595,electricity,dem,64.45979381
h0596,electricity,dem,62.97628866
h0597,electricity,dem,60.31546392
h0598,electricity,dem,58.87113402
h0599,electricity,dem,59.05876289
h0600,electricity,dem,56.03814433
h0601,electricity,dem,53.09072165
h0602,electricity,dem,51.2
h0603,electricity,dem,50.56804124
h0604,electricity,dem,50.88350515
h0605,electricity,dem,52.58762887
h0606,electricity,dem,56.73505155
h0607,electricity,dem,66.24742268
h0608,electricity,dem,73.77216495
h0609,electricity,dem,76.50515464
h0610,electricity,dem,76.96597938
h0611,electricity,dem,78.3556701
h0612,electricity,dem,79.67835052
h0613,electricity,dem,79.35360825
h0614,electricity,dem,78.55154639
h0615,electricity,dem,77.3185567
h0616,electricity,dem,76.47628866
h0617,electricity,dem,75.95051546
h0618,electricity,dem,78.69381443
h0619,electricity,dem,78.65979381
h0620,electricity,dem,76.60618557
h0621,electricity,dem,72.14123711
h0622,electricity,dem,68.70412371
h0623,electricity,dem,65.91443299
h0624,electricity,dem,61.59896907
h0625,electricity,dem,58.26701031
h0626,electricity,dem,56.14329897
h0627,electricity,dem,55.09175258
h0628,electricity,dem,55.21752577
h0629,electricity,dem,56.38762887
h0630,electricity,dem,59.71443299
h0631,electricity,dem,67.74226804
h0632,electricity,dem,74.92061856
h0633,electricity,dem,76.74020619
h0634,electricity,dem,76.6371134
h0635,electricity,dem,77.55876289
h0636,electricity,dem,78.42061856
h0637,electricity,dem,77.93402062
h0638,electricity,dem,77.49484536
h0639,electricity,dem,76.39072165
h0640,electricity,dem,75.37628866
h0641,electricity,dem,74.4742268
h0642,electricity,dem,77.26701031
h0643,electricity,dem,78.06494845
h0644,electricity,dem,76.30309278
h0645,electricity,dem,71.71958763
h0646,electricity,dem,68.1742268
h0647,electricity,dem,65.14329897
h0648,electricity,dem,60.51958763
h0649,electricity,dem,57.24948454
h0650,electricity,dem,54.8742268
h0651,electricity,dem,53.75670103
h0652,electricity,dem,53.97113402
h0653,electricity,dem,55.45051546
h0654,electricity,dem,58.84020619
h0655,electricity,dem,66.9257732
h0656,electricity,dem,74.23608247
h0657,electricity,dem,76.40412371
h0658,electricity,dem,76.7628866
h0659,electricity,dem,77.90206186
h0660,electricity,dem,78.99278351
h0661,electricity,dem,78.67216495
h0662,electricity,dem,78.19175258
h0663,electricity,dem,76.97216495
h0664,electricity,dem,76.45876289
h0665,electricity,dem,76.14948454
h0666,electricity,dem,79.04742268
h0667,electricity,dem,79.22886598
h0668,electricity,dem,76.85154639
h0669,electricity,dem,72.33092784
h0670,electricity,dem,69.11030928
h0671,electricity,dem,66.01030928
h0672,electricity,dem,61.43608247
h0673,electricity,dem,57.8814433
h0674,electricity,dem,55.94639175
h0675,electricity,dem,55.21443299
h0676,electricity,dem,55.55051546
h0677,electricity,dem,56.61030928
h0678,electricity,dem,59.6185567
h0679,electricity,dem,67.57525773
h0680,electricity,dem,74.82371134
h0681,electricity,dem,76.8185567
h0682,electricity,dem,77.47010309
h0683,electricity,dem,78.79175258
h0684,electricity,dem,79.20515464
h0685,electricity,dem,78.10515464
h0686,electricity,dem,77.29072165
h0687,electricity,dem,76.17525773
h0688,electricity,dem,75.00309278
h0689,electricity,dem,73.91752577
h0690,electricity,dem,77.05257732
h0691,electricity,dem,77.81752577
h0692,electricity,dem,75.75670103
h0693,electricity,dem,71.22061856
h0694,electricity,dem,67.76597938
h0695,electricity,dem,64.9257732
h0696,electricity,dem,60.42886598
h0697,electricity,dem,57.05979381
h0698,electricity,dem,54.92061856
h0699,electricity,dem,54.23092784
h0700,electricity,dem,54.52783505
h0701,electricity,dem,55.80103093
h0702,electricity,dem,58.84536082
h0703,electricity,dem,66.46391753
h0704,electricity,dem,73.51237113
h0705,electricity,dem,75.88762887
h0706,electricity,dem,76.09072165
h0707,electricity,dem,76.82783505
h0708,electricity,dem,77.65257732
h0709,electricity,dem,76.79072165
h0710,electricity,dem,75.18556701
h0711,electricity,dem,73.6556701
h0712,electricity,dem,72.54536082
h0713,electricity,dem,71.92886598
h0714,electricity,dem,75.18865979
h0715,electricity,dem,76.02783505
h0716,electricity,dem,73.8443299
h0717,electricity,dem,69.52783505
h0718,electricity,dem,66.05876289
h0719,electricity,dem,64.04020619
h0720,electricity,dem,60.3556701
h0721,electricity,dem,56.52886598
h0722,electricity,dem,54.00309278
h0723,electricity,dem,52.65257732
h0724,electricity,dem,52.00721649
h0725,electricity,dem,51.96082474
h0726,electricity,dem,51.46701031
h0727,electricity,dem,51.70412371
h0728,electricity,dem,55.06391753
h0729,electricity,dem,58.99381443
h0730,electricity,dem,62.46185567
h0731,electricity,dem,64.38865979
h0732,electricity,dem,65.31752577
h0733,electricity,dem,64.28247423
h0734,electricity,dem,62.07525773
h0735,electricity,dem,60.6742268
h0736,electricity,dem,59.99896907
h0737,electricity,dem,60.18865979
h0738,electricity,dem,64.36494845
h0739,electricity,dem,66.3628866
h0740,electricity,dem,64.02989691
h0741,electricity,dem,60.15154639
h0742,electricity,dem,57.8185567
h0743,electricity,dem,57.14742268
h0744,electricity,dem,54.05360825
h0745,electricity,dem,51.46082474
h0746,electricity,dem,49.24123711
h0747,electricity,dem,47.91134021
h0748,electricity,dem,47.39381443
h0749,electricity,dem,47.11958763
h0750,electricity,dem,46.52371134
h0751,electricity,dem,45.60721649
h0752,electricity,dem,47.4814433
h0753,electricity,dem,50.71958763
h0754,electricity,dem,54.60412371
h0755,electricity,dem,57.31546392
h0756,electricity,dem,59.90103093
h0757,electricity,dem,59.59072165
h0758,electricity,dem,57.62783505
h0759,electricity,dem,56.22164948
h0760,electricity,dem,55.64536082
h0761,electricity,dem,56.04536082
h0762,electricity,dem,60.70824742
h0763,electricity,dem,63.79896907
h0764,electricity,dem,62.62268041
h0765,electricity,dem,59.96082474
h0766,electricity,dem,58.64020619
h0767,electricity,dem,58.83814433
h0768,electricity,dem,56.10824742
h0769,electricity,dem,53.59793814
h0770,electricity,dem,51.81134021
h0771,electricity,dem,51.10515464
h0772,electricity,dem,51.39175258
h0773,electricity,dem,53.18453608
h0774,electricity,dem,57.18762887
h0775,electricity,dem,65.82164948
h0776,electricity,dem,73.31649485
h0777,electricity,dem,75.6257732
h0778,electricity,dem,76.42268041
h0779,electricity,dem,77.53195876
h0780,electricity,dem,78.83917526
h0781,electricity,dem,78.19381443
h0782,electricity,dem,77.50721649
h0783,electricity,dem,76.50515464
h0784,electricity,dem,75.46907216
h0785,electricity,dem,74.58969072
h0786,electricity,dem,77.42886598
h0787,electricity,dem,78.84639175
h0788,electricity,dem,77.06082474
h0789,electricity,dem,72.77835052
h0790,electricity,dem,69.48762887
h0791,electricity,dem,66.80412371
h0792,electricity,dem,62.2556701
h0793,electricity,dem,59.26804124
h0794,electricity,dem,57.19381443
h0795,electricity,dem,56.38865979
h0796,electricity,dem,56.60927835
h0797,electricity,dem,57.69793814
h0798,electricity,dem,60.57010309
h0799,electricity,dem,68.0628866
h0800,electricity,dem,74.63917526
h0801,electricity,dem,76.89175258
h0802,electricity,dem,77.20412371
h0803,electricity,dem,78.03608247
h0804,electricity,dem,78.72783505
h0805,electricity,dem,78.12680412
h0806,electricity,dem,77.20927835
h0807,electricity,dem,76.05154639
h0808,electricity,dem,75.09896907
h0809,electricity,dem,74.03814433
h0810,electricity,dem,77.25051546
h0811,electricity,dem,79.19381443
h0812,electricity,dem,77.43092784
h0813,electricity,dem,73.37628866
h0814,electricity,dem,69.80824742
h0815,electricity,dem,67.15360825
h0816,electricity,dem,63.07319588
h0817,electricity,dem,60.1257732
h0818,electricity,dem,58.08762887
h0819,electricity,dem,57.12680412
h0820,electricity,dem,57.16494845
h0821,electricity,dem,58.16907216
