timestep_2,carrier_1,parameter,value
h0001,electricity,dem,47.44536082
h0002,electricity,dem,45.92371134
h0003,electricity,dem,44.29587629
h0004,electricity,dem,42.86804124
h0005,electricity,dem,42.23092784
h0006,electricity,dem,41.49175258
h0007,electricity,dem,40.00824742
h0008,electricity,dem,40.25257732
h0009,electricity,dem,40.94948454
h0010,electricity,dem,43.33092784
h0011,electricity,dem,46.04226804
h0012,electricity,dem,49.17731959
h0013,electricity,dem,50.29278351
h0014,electricity,dem,49.55051546
h0015,electricity,dem,48.55051546
h0016,electricity,dem,48.62371134
h0017,electricity,dem,51.20515464
h0018,electricity,dem,55.87319588
h0019,electricity,dem,56.61237113
h0020,electricity,dem,55.57525773
h0021,electricity,dem,53.38041237
h0022,electricity,dem,52.13917526
h0023,electricity,dem,51.94226804
h0024,electricity,dem,49.09278351
h0025,electricity,dem,46.29793814
h0026,electricity,dem,44.33092784
h0027,electricity,dem,43.29793814
h0028,electricity,dem,43.08865979
h0029,electricity,dem,44.05773196
h0030,electricity,dem,45.67525773
h0031,electricity,dem,48.17628866
h0032,electricity,dem,52.08556701
h0033,electricity,dem,55.92371134
h0034,electricity,dem,59.09381443
h0035,electricity,dem,61.24226804
h0036,electricity,dem,62.90103093
h0037,electricity,dem,63.30515464
h0038,electricity,dem,62.26804124
h0039,electricity,dem,61.08350515
h0040,electricity,dem,60.58865979
h0041,electricity,dem,62.31546392
h0042,electricity,dem,65.73608247
h0043,electricity,dem,65.75876289
h0044,electricity,dem,63.7257732
h0045,electricity,dem,59.88350515
h0046,electricity,dem,57.59175258
h0047,electricity,dem,56.47731959
h0048,electricity,dem,53.06391753
h0049,electricity,dem,49.44639175
h0050,electricity,dem,47.08969072
h0051,electricity,dem,45.61443299
h0052,electricity,dem,45.09484536
h0053,electricity,dem,45.38969072
h0054,electricity,dem,45.57628866
h0055,electricity,dem,45.90824742
h0056,electricity,dem,48.56185567
h0057,electricity,dem,52.07938144
h0058,electricity,dem,55.67525773
h0059,electricity,dem,58.29072165
h0060,electricity,dem,60.32061856
h0061,electricity,dem,60.59381443
h0062,electricity,dem,59.6371134
h0063,electricity,dem,58.74536082
h0064,electricity,dem,58.75979381
h0065,electricity,dem,60.6257732
h0066,electricity,dem,63.65360825
h0067,electricity,dem,63.74536082
h0068,electricity,dem,61.57319588
h0069,electricity,dem,57.77835052
h0070,electricity,dem,55.37216495
h0071,electricity,dem,54.54845361
h0072,electricity,dem,51.58969072
h0073,electricity,dem,48.17938144
h0074,electricity,dem,45.88762887
h0075,electricity,dem,44.60206186
h0076,electricity,dem,43.89587629
h0077,electricity,dem,44.00927835
h0078,electricity,dem,43.62061856
h0079,electricity,dem,42.75154639
h0080,electricity,dem,44.26701031
h0081,electricity,dem,46.62268041
h0082,electricity,dem,49.94536082
h0083,electricity,dem,52.92680412
h0084,electricity,dem,56.2443299
h0085,electricity,dem,56.4185567
h0086,electricity,dem,54.75257732
h0087,electricity,dem,53.13608247
h0088,electricity,dem,52.79484536
h0089,electricity,dem,54.83298969
h0090,electricity,dem,59.86185567
h0091,electricity,dem,60.98350515
h0092,electricity,dem,59.61546392
h0093,electricity,dem,57.05670103
h0094,electricity,dem,55.41958763
h0095,electricity,dem,55.21340206
h0096,electricity,dem,52.05257732
h0097,electricity,dem,49.02061856
h0098,electricity,dem,46.94536082
h0099,electricity,dem,46.11340206
h0100,electricity,dem,46.25051546
h0101,electricity,dem,47.58969072
h0102,electricity,dem,50.84845361
h0103,electricity,dem,56.68041237
h0104,electricity,dem,63.01340206
h0105,electricity,dem,66.61237113
h0106,electricity,dem,67.79278351
h0107,electricity,dem,69.09381443
h0108,electricity,dem,70.19381443
h0109,electricity,dem,70.21752577
h0110,electricity,dem,69.27525773
h0111,electricity,dem,68.27938144
h0112,electricity,dem,67.78247423
h0113,electricity,dem,69.05670103
h0114,electricity,dem,72.8185567
h0115,electricity,dem,72.81443299
h0116,electricity,dem,70.9257732
h0117,electricity,dem,66.49896907
h0118,electricity,dem,63.48350515
h0119,electricity,dem,61.56082474
h0120,electricity,dem,57.07835052
h0121,electricity,dem,53.77628866
h0122,electricity,dem,51.39072165
h0123,electricity,dem,50.37010309
h0124,electricity,dem,50.42268041
h0125,electricity,dem,51.21443299
h0126,electricity,dem,53.03505155
h0127,electricity,dem,57.31340206
h0128,electricity,dem,62.45360825
h0129,electricity,dem,64.96082474
h0130,electricity,dem,66.26185567
h0131,electricity,dem,67.82268041
h0132,electricity,dem,69.12371134
h0133,electricity,dem,68.97216495
h0134,electricity,dem,67.58659794
h0135,electricity,dem,66.10103093
h0136,electricity,dem,65.78969072
h0137,electricity,dem,67.59278351
h0138,electricity,dem,72.01752577
h0139,electricity,dem,72.03092784
h0140,electricity,dem,70.46185567
h0141,electricity,dem,66.58453608
h0142,electricity,dem,63.59278351
h0143,electricity,dem,61.47010309
h0144,electricity,dem,57.41752577
h0145,electricity,dem,53.83917526
h0146,electricity,dem,51.41649485
h0147,electricity,dem,50.79484536
h0148,electricity,dem,51.12474227
h0149,electricity,dem,52.2371134
h0150,electricity,dem,55.76804124
h0151,electricity,dem,64.01237113
h0152,electricity,dem,71.12886598
h0153,electricity,dem,74.13505155
h0154,electricity,dem,74.33298969
h0155,electricity,dem,75.26391753
h0156,electricity,dem,76.19484536
h0157,electricity,dem,75.81958763
h0158,electricity,dem,75.10927835
h0159,electricity,dem,73.92886598
h0160,electricity,dem,73.23298969
h0161,electricity,dem,74.09896907
h0162,electricity,dem,77.8556701
h0163,electricity,dem,77.36494845
h0164,electricity,dem,75.2742268
h0165,electricity,dem,70.91649485
h0166,electricity,dem,67.40618557
h0167,electricity,dem,64.86804124
h0168,electricity,dem,59.8742268
h0169,electricity,dem,56.26597938
h0170,electricity,dem,53.81443299
h0171,electricity,dem,52.90412371
h0172,electricity,dem,53.20721649
h0173,electricity,dem,54.35876289
h0174,electricity,dem,57.29278351
h0175,electricity,dem,65.32989691
h0176,electricity,dem,72.59690722
h0177,electricity,dem,75.30206186
h0178,electricity,dem,75.48969072
h0179,electricity,dem,76.23402062
h0180,electricity,dem,77.18453608
h0181,electricity,dem,76.6185567
h0182,electricity,dem,76.12886598
h0183,electricity,dem,75.23195876
h0184,electricity,dem,74.79587629
h0185,electricity,dem,75.60721649
h0186,electricity,dem,77.65154639
h0187,electricity,dem,76.89690722
h0188,electricity,dem,74.69381443
h0189,electricity,dem,70.45257732
h0190,electricity,dem,66.82061856
h0191,electricity,dem,63.73402062
h0192,electricity,dem,58.80309278
h0193,electricity,dem,54.90618557
h0194,electricity,dem,52.67525773
h0195,electricity,dem,51.71546392
h0196,electricity,dem,52.02268041
h0197,electricity,dem,53.65773196
h0198,electricity,dem,56.96494845
h0199,electricity,dem,64.96804124
h0200,electricity,dem,72.2257732
h0201,electricity,dem,75.62783505
h0202,electricity,dem,75.9
h0203,electricity,dem,76.74226804
h0204,electricity,dem,77.55670103
h0205,electricity,dem,76.89381443
h0206,electricity,dem,75.44329897
h0207,electricity,dem,73.8443299
h0208,electricity,dem,73.2628866
h0209,electricity,dem,73.91443299
h0210,electricity,dem,76.51237113
h0211,electricity,dem,75.37731959
h0212,electricity,dem,72.51958763
h0213,electricity,dem,67.84123711
h0214,electricity,dem,64.25257732
h0215,electricity,dem,61.57113402
h0216,electricity,dem,57.18453608
h0217,electricity,dem,52.96804124
h0218,electricity,dem,50.13917526
h0219,electricity,dem,48.65773196
h0220,electricity,dem,48.38659794
h0221,electricity,dem,48.51134021
h0222,electricity,dem,48.6443299
h0223,electricity,dem,49.8371134
h0224,electricity,dem,53.52783505
h0225,electricity,dem,57.66494845
h0226,electricity,dem,60.52474227
h0227,electricity,dem,62.58453608
h0228,electricity,dem,64.40206186
h0229,electricity,dem,64.51649485
h0230,electricity,dem,62.72886598
h0231,electricity,dem,60.94845361
h0232,electricity,dem,60.09175258
h0233,electricity,dem,61.59896907
h0234,electricity,dem,65.54742268
h0235,electricity,dem,65.79175258
h0236,electricity,dem,63.5742268
h0237,electricity,dem,59.45463918
h0238,electricity,dem,57.21546392
h0239,electricity,dem,56.12474227
h0240,electricity,dem,52.82783505
h0241,electricity,dem,49.3257732
h0242,electricity,dem,47.03402062
h0243,electricity,dem,45.76391753
h0244,electricity,dem,45.48247423
h0245,electricity,dem,45.84742268
h0246,electricity,dem,45.6257732
h0247,electricity,dem,44.80412371
h0248,electricity,dem,46.6371134
h0249,electricity,dem,49.60824742
h0250,electricity,dem,53.68556701
h0251,electricity,dem,57.15360825
h0252,electricity,dem,60.28041237
h0253,electricity,dem,60.11030928
h0254,electricity,dem,58.54845361
h0255,electricity,dem,57.04536082
h0256,electricity,dem,56.64639175
h0257,electricity,dem,57.69484536
h0258,electricity,dem,62.51958763
h0259,electricity,dem,63.87010309
h0260,electricity,dem,62.26185567
h0261,electricity,dem,59.45051546
h0262,electricity,dem,57.72268041
h0263,electricity,dem,57.68865979
h0264,electricity,dem,54.32164948
h0265,electricity,dem,51.39381443
h0266,electricity,dem,49.71237113
h0267,electricity,dem,48.9443299
h0268,electricity,dem,49.39484536
h0269,electricity,dem,50.80618557
h0270,electricity,dem,55.18762887
h0271,electricity,dem,64.80515464
h0272,electricity,dem,72.66082474
h0273,electricity,dem,75.81340206
h0274,electricity,dem,76.14845361
h0275,electricity,dem,77.33608247
h0276,electricity,dem,78.16701031
h0277,electricity,dem,78.0185567
h0278,electricity,dem,77.55051546
h0279,electricity,dem,76.3814433
h0280,electricity,dem,75.74123711
h0281,electricity,dem,75.92474227
h0282,electricity,dem,78.26804124
h0283,electricity,dem,77.75154639
h0284,electricity,dem,75.43505155
h0285,electricity,dem,71.0628866
h0286,electricity,dem,67.49690722
h0287,electricity,dem,64.04948454
h0288,electricity,dem,59.07628866
h0289,electricity,dem,55.2628866
h0290,electricity,dem,53.03814433
h0291,electricity,dem,51.9371134
h0292,electricity,dem,52.43195876
h0293,electricity,dem,54.01030928
h0294,electricity,dem,57.5628866
h0295,electricity,dem,65.98453608
h0296,electricity,dem,73.37835052
h0297,electricity,dem,75.59381443
h0298,electricity,dem,74.95979381
h0299,electricity,dem,75.73505155
h0300,electricity,dem,76.32783505
h0301,electricity,dem,76.19278351
h0302,electricity,dem,75.19381443
h0303,electricity,dem,73.87628866
h0304,electricity,dem,73.12680412
h0305,electricity,dem,73.59072165
h0306,electricity,dem,77.32989691
h0307,electricity,dem,77.18969072
h0308,electricity,dem,74.72164948
h0309,electricity,dem,69.94639175
h0310,electricity,dem,66.14226804
h0311,electricity,dem,62.8814433
h0312,electricity,dem,57.80206186
h0313,electricity,dem,54.03814433
h0314,electricity,dem,51.73402062
h0315,electricity,dem,51.13092784
h0316,electricity,dem,51.63505155
h0317,electricity,dem,53.3814433
h0318,electricity,dem,57.08041237
h0319,electricity,dem,65.71649485
h0320,electricity,dem,73.41134021
h0321,electricity,dem,75.71340206
h0322,electricity,dem,75.61958763
h0323,electricity,dem,76.68556701
h0324,electricity,dem,78.19896907
h0325,electricity,dem,77.54845361
h0326,electricity,dem,76.9628866
h0327,electricity,dem,76.06391753
