timestep_2,technology_1,scenario,parameter,value
h0125,wind_onshore,year_2018,avaConv,0.0634
h0126,wind_onshore,year_2018,avaConv,0.0669
h0127,wind_onshore,year_2018,avaConv,0.0752
h0128,wind_onshore,year_2018,avaConv,0.0937
h0129,wind_onshore,year_2018,avaConv,0.1014
h0130,wind_onshore,year_2018,avaConv,0.0947
h0131,wind_onshore,year_2018,avaConv,0.0889
h0132,wind_onshore,year_2018,avaConv,0.0874
h0133,wind_onshore,year_2018,avaConv,0.0905
h0134,wind_onshore,year_2018,avaConv,0.0971
h0135,wind_onshore,year_2018,avaConv,0.1042
h0136,wind_onshore,year_2018,avaConv,0.1288
h0137,wind_onshore,year_2018,avaConv,0.1803
h0138,wind_onshore,year_2018,avaConv,0.2461
h0139,wind_onshore,year_2018,avaConv,0.2963
h0140,wind_onshore,year_2018,avaConv,0.3086
h0141,wind_onshore,year_2018,avaConv,0.3024
h0142,wind_onshore,year_2018,avaConv,0.2921
h0143,wind_onshore,year_2018,avaConv,0.2772
h0144,wind_onshore,year_2018,avaConv,0.261
h0145,wind_onshore,year_2018,avaConv,0.2515
h0146,wind_onshore,year_2018,avaConv,0.2336
h0147,wind_onshore,year_2018,avaConv,0.2077
h0148,wind_onshore,year_2018,avaConv,0.1734
h0149,wind_onshore,year_2018,avaConv,0.1385
h0150,wind_onshore,year_2018,avaConv,0.1059
h0151,wind_onshore,year_2018,avaConv,0.0815
h0152,wind_onshore,year_2018,avaConv,0.0632
h0153,wind_onshore,year_2018,avaConv,0.0495
h0154,wind_onshore,year_2018,avaConv,0.0383
h0155,wind_onshore,year_2018,avaConv,0.0287
h0156,wind_onshore,year_2018,avaConv,0.0223
h0157,wind_onshore,year_2018,avaConv,0.0177
h0158,wind_onshore,year_2018,avaConv,0.0151
h0159,wind_onshore,year_2018,avaConv,0.0156
h0160,wind_onshore,year_2018,avaConv,0.0182
h0161,wind_onshore,year_2018,avaConv,0.0222
h0162,wind_onshore,year_2018,avaConv,0.0283
h0163,wind_onshore,year_2018,avaConv,0.0349
h0164,wind_onshore,year_2018,avaConv,0.0411
h0165,wind_onshore,year_2018,avaConv,0.0464
h0166,wind_onshore,year_2018,avaConv,0.0519
h0167,wind_onshore,year_2018,avaConv,0.0593
h0168,wind_onshore,year_2018,avaConv,0.0693
h0169,wind_onshore,year_2018,avaConv,0.0827
h0170,wind_onshore,year_2018,avaConv,0.0977
h0171,wind_onshore,year_2018,avaConv,0.1115
h0172,wind_onshore,year_2018,avaConv,0.1205
h0173,wind_onshore,year_2018,avaConv,0.1267
h0174,wind_onshore,year_2018,avaConv,0.1381
h0175,wind_onshore,year_2018,avaConv,0.1556
h0176,wind_onshore,year_2018,avaConv,0.1765
h0177,wind_onshore,year_2018,avaConv,0.2015
h0178,wind_onshore,year_2018,avaConv,0.2317
h0179,wind_onshore,year_2018,avaConv,0.2666
h0180,wind_onshore,year_2018,avaConv,0.3005
h0181,wind_onshore,year_2018,avaConv,0.3318
h0182,wind_onshore,year_2018,avaConv,0.3607
h0183,wind_onshore,year_2018,avaConv,0.3896
h0184,wind_onshore,year_2018,avaConv,0.4203
h0185,wind_onshore,year_2018,avaConv,0.4496
h0186,wind_onshore,year_2018,avaConv,0.4756
h0187,wind_onshore,year_2018,avaConv,0.4993
h0188,wind_onshore,year_2018,avaConv,0.5221
h0189,wind_onshore,year_2018,avaConv,0.5435
h0190,wind_onshore,year_2018,avaConv,0.5644
h0191,wind_onshore,year_2018,avaConv,0.5828
h0192,wind_onshore,year_2018,avaConv,0.5938
h0193,wind_onshore,year_2018,avaConv,0.5989
h0194,wind_onshore,year_2018,avaConv,0.6099
h0195,wind_onshore,year_2018,avaConv,0.6241
h0196,wind_onshore,year_2018,avaConv,0.6324
h0197,wind_onshore,year_2018,avaConv,0.6393
h0198,wind_onshore,year_2018,avaConv,0.6561
h0199,wind_onshore,year_2018,avaConv,0.6888
h0200,wind_onshore,year_2018,avaConv,0.7227
h0201,wind_onshore,year_2018,avaConv,0.7546
h0202,wind_onshore,year_2018,avaConv,0.76
h0203,wind_onshore,year_2018,avaConv,0.7471
h0204,wind_onshore,year_2018,avaConv,0.7249
h0205,wind_onshore,year_2018,avaConv,0.6997
h0206,wind_onshore,year_2018,avaConv,0.6695
h0207,wind_onshore,year_2018,avaConv,0.6376
h0208,wind_onshore,year_2018,avaConv,0.616
h0209,wind_onshore,year_2018,avaConv,0.5937
h0210,wind_onshore,year_2018,avaConv,0.5595
h0211,wind_onshore,year_2018,avaConv,0.512
h0212,wind_onshore,year_2018,avaConv,0.4581
h0213,wind_onshore,year_2018,avaConv,0.4073
h0214,wind_onshore,year_2018,avaConv,0.3649
h0215,wind_onshore,year_2018,avaConv,0.3172
h0216,wind_onshore,year_2018,avaConv,0.2689
h0217,wind_onshore,year_2018,avaConv,0.2283
h0218,wind_onshore,year_2018,avaConv,0.1998
h0219,wind_onshore,year_2018,avaConv,0.173
h0220,wind_onshore,year_2018,avaConv,0.1557
h0221,wind_onshore,year_2018,avaConv,0.1501
h0222,wind_onshore,year_2018,avaConv,0.1445
h0223,wind_onshore,year_2018,avaConv,0.1445
h0224,wind_onshore,year_2018,avaConv,0.1427
h0225,wind_onshore,year_2018,avaConv,0.1339
h0226,wind_onshore,year_2018,avaConv,0.1092
h0227,wind_onshore,year_2018,avaConv,0.0858
h0228,wind_onshore,year_2018,avaConv,0.0702
h0229,wind_onshore,year_2018,avaConv,0.0631
h0230,wind_onshore,year_2018,avaConv,0.065
h0231,wind_onshore,year_2018,avaConv,0.0723
h0232,wind_onshore,year_2018,avaConv,0.0805
h0233,wind_onshore,year_2018,avaConv,0.0912
h0234,wind_onshore,year_2018,avaConv,0.101
h0235,wind_onshore,year_2018,avaConv,0.1036
h0236,wind_onshore,year_2018,avaConv,0.0918
h0237,wind_onshore,year_2018,avaConv,0.0742
h0238,wind_onshore,year_2018,avaConv,0.0585
h0239,wind_onshore,year_2018,avaConv,0.0446
h0240,wind_onshore,year_2018,avaConv,0.0361
h0241,wind_onshore,year_2018,avaConv,0.0355
h0242,wind_onshore,year_2018,avaConv,0.041
h0243,wind_onshore,year_2018,avaConv,0.0482
h0244,wind_onshore,year_2018,avaConv,0.0532
h0245,wind_onshore,year_2018,avaConv,0.0528
h0246,wind_onshore,year_2018,avaConv,0.0479
h0247,wind_onshore,year_2018,avaConv,0.0454
h0248,wind_onshore,year_2018,avaConv,0.0503
h0249,wind_onshore,year_2018,avaConv,0.06
h0250,wind_onshore,year_2018,avaConv,0.0715
h0251,wind_onshore,year_2018,avaConv,0.0748
h0252,wind_onshore,year_2018,avaConv,0.0712
h0253,wind_onshore,year_2018,avaConv,0.0657
h0254,wind_onshore,year_2018,avaConv,0.0657
h0255,wind_onshore,year_2018,avaConv,0.0751
h0256,wind_onshore,year_2018,avaConv,0.0907
h0257,wind_onshore,year_2018,avaConv,0.1072
h0258,wind_onshore,year_2018,avaConv,0.1217
h0259,wind_onshore,year_2018,avaConv,0.1335
h0260,wind_onshore,year_2018,avaConv,0.141
h0261,wind_onshore,year_2018,avaConv,0.143
h0262,wind_onshore,year_2018,avaConv,0.14
h0263,wind_onshore,year_2018,avaConv,0.137
h0264,wind_onshore,year_2018,avaConv,0.1352
h0265,wind_onshore,year_2018,avaConv,0.1384
h0266,wind_onshore,year_2018,avaConv,0.1477
h0267,wind_onshore,year_2018,avaConv,0.1606
h0268,wind_onshore,year_2018,avaConv,0.1717
h0269,wind_onshore,year_2018,avaConv,0.1783
h0270,wind_onshore,year_2018,avaConv,0.1788
h0271,wind_onshore,year_2018,avaConv,0.1769
h0272,wind_onshore,year_2018,avaConv,0.1773
h0273,wind_onshore,year_2018,avaConv,0.177
h0274,wind_onshore,year_2018,avaConv,0.1709
h0275,wind_onshore,year_2018,avaConv,0.1667
h0276,wind_onshore,year_2018,avaConv,0.1679
h0277,wind_onshore,year_2018,avaConv,0.1803
h0278,wind_onshore,year_2018,avaConv,0.2023
h0279,wind_onshore,year_2018,avaConv,0.2298
h0280,wind_onshore,year_2018,avaConv,0.2623
h0281,wind_onshore,year_2018,avaConv,0.2914
h0282,wind_onshore,year_2018,avaConv,0.3098
h0283,wind_onshore,year_2018,avaConv,0.3175
h0284,wind_onshore,year_2018,avaConv,0.3193
h0285,wind_onshore,year_2018,avaConv,0.3174
h0286,wind_onshore,year_2018,avaConv,0.3097
h0287,wind_onshore,year_2018,avaConv,0.2994
h0288,wind_onshore,year_2018,avaConv,0.2853
h0289,wind_onshore,year_2018,avaConv,0.2677
h0290,wind_onshore,year_2018,avaConv,0.2492
h0291,wind_onshore,year_2018,avaConv,0.2331
h0292,wind_onshore,year_2018,avaConv,0.2273
h0293,wind_onshore,year_2018,avaConv,0.2336
h0294,wind_onshore,year_2018,avaConv,0.25
h0295,wind_onshore,year_2018,avaConv,0.2692
h0296,wind_onshore,year_2018,avaConv,0.2884
h0297,wind_onshore,year_2018,avaConv,0.2998
h0298,wind_onshore,year_2018,avaConv,0.2925
h0299,wind_onshore,year_2018,avaConv,0.2726
h0300,wind_onshore,year_2018,avaConv,0.2461
h0301,wind_onshore,year_2018,avaConv,0.226
h0302,wind_onshore,year_2018,avaConv,0.2226
h0303,wind_onshore,year_2018,avaConv,0.2401
h0304,wind_onshore,year_2018,avaConv,0.2786
h0305,wind_onshore,year_2018,avaConv,0.3258
h0306,wind_onshore,year_2018,avaConv,0.3696
h0307,wind_onshore,year_2018,avaConv,0.4011
h0308,wind_onshore,year_2018,avaConv,0.4212
h0309,wind_onshore,year_2018,avaConv,0.4222
h0310,wind_onshore,year_2018,avaConv,0.4052
h0311,wind_onshore,year_2018,avaConv,0.3749
h0312,wind_onshore,year_2018,avaConv,0.3398
h0313,wind_onshore,year_2018,avaConv,0.3091
h0314,wind_onshore,year_2018,avaConv,0.2886
h0315,wind_onshore,year_2018,avaConv,0.2768
h0316,wind_onshore,year_2018,avaConv,0.2716
h0317,wind_onshore,year_2018,avaConv,0.2767
h0318,wind_onshore,year_2018,avaConv,0.2935
h0319,wind_onshore,year_2018,avaConv,0.3232
h0320,wind_onshore,year_2018,avaConv,0.3568
h0321,wind_onshore,year_2018,avaConv,0.3811
h0322,wind_onshore,year_2018,avaConv,0.3714
h0323,wind_onshore,year_2018,avaConv,0.3281
h0324,wind_onshore,year_2018,avaConv,0.2699
h0325,wind_onshore,year_2018,avaConv,0.2195
h0326,wind_onshore,year_2018,avaConv,0.1927
h0327,wind_onshore,year_2018,avaConv,0.201
h0328,wind_onshore,year_2018,avaConv,0.2598
h0329,wind_onshore,year_2018,avaConv,0.3513
h0330,wind_onshore,year_2018,avaConv,0.4316
h0331,wind_onshore,year_2018,avaConv,0.483
h0332,wind_onshore,year_2018,avaConv,0.5113
h0333,wind_onshore,year_2018,avaConv,0.5284
h0334,wind_onshore,year_2018,avaConv,0.547
h0335,wind_onshore,year_2018,avaConv,0.5592
h0336,wind_onshore,year_2018,avaConv,0.5699
h0337,wind_onshore,year_2018,avaConv,0.5891
h0338,wind_onshore,year_2018,avaConv,0.6124
h0339,wind_onshore,year_2018,avaConv,0.6285
h0340,wind_onshore,year_2018,avaConv,0.642
h0341,wind_onshore,year_2018,avaConv,0.6662
h0342,wind_onshore,year_2018,avaConv,0.7041
h0343,wind_onshore,year_2018,avaConv,0.7519
h0344,wind_onshore,year_2018,avaConv,0.7971
h0345,wind_onshore,year_2018,avaConv,0.8337
h0346,wind_onshore,year_2018,avaConv,0.8551
h0347,wind_onshore,year_2018,avaConv,0.8729
h0348,wind_onshore,year_2018,avaConv,0.8894
h0349,wind_onshore,year_2018,avaConv,0.893
h0350,wind_onshore,year_2018,avaConv,0.8977
h0351,wind_onshore,year_2018,avaConv,0.8957
h0352,wind_onshore,year_2018,avaConv,0.8894
h0353,wind_onshore,year_2018,avaConv,0.8868
h0354,wind_onshore,year_2018,avaConv,0.8464
h0355,wind_onshore,year_2018,avaConv,0.7723
h0356,wind_onshore,year_2018,avaConv,0.703
h0357,wind_onshore,year_2018,avaConv,0.6804
h0358,wind_onshore,year_2018,avaConv,0.7176
h0359,wind_onshore,year_2018,avaConv,0.7423
h0360,wind_onshore,year_2018,avaConv,0.761
h0361,wind_onshore,year_2018,avaConv,0.786
h0362,wind_onshore,year_2018,avaConv,0.7853
h0363,wind_onshore,year_2018,avaConv,0.7692
h0364,wind_onshore,year_2018,avaConv,0.7405
h0365,wind_onshore,year_2018,avaConv,0.6874
h0366,wind_onshore,year_2018,avaConv,0.6135
h0367,wind_onshore,year_2018,avaConv,0.5334
h0368,wind_onshore,year_2018,avaConv,0.4802
h0369,wind_onshore,year_2018,avaConv,0.459
h0370,wind_onshore,year_2018,avaConv,0.461
h0371,wind_onshore,year_2018,avaConv,0.4702
h0372,wind_onshore,year_2018,avaConv,0.4812
h0373,wind_onshore,year_2018,avaConv,0.4823
h0374,wind_onshore,year_2018,avaConv,0.4808
h0375,wind_onshore,year_2018,avaConv,0.4698
h0376,wind_onshore,year_2018,avaConv,0.4471
h0377,wind_onshore,year_2018,avaConv,0.4299
h0378,wind_onshore,year_2018,avaConv,0.4248
h0379,wind_onshore,year_2018,avaConv,0.4339
h0380,wind_onshore,year_2018,avaConv,0.4452
h0381,wind_onshore,year_2018,avaConv,0.4557
h0382,wind_onshore,year_2018,avaConv,0.4725
h0383,wind_onshore,year_2018,avaConv,0.4813
h0384,wind_onshore,year_2018,avaConv,0.4834
h0385,wind_onshore,year_2018,avaConv,0.4654
h0386,wind_onshore,year_2018,avaConv,0.4368
h0387,wind_onshore,year_2018,avaConv,0.3959
h0388,wind_onshore,year_2018,avaConv,0.347
h0389,wind_onshore,year_2018,avaConv,0.3144
h0390,wind_onshore,year_2018,avaConv,0.3046
h0391,wind_onshore,year_2018,avaConv,0.3036
h0392,wind_onshore,year_2018,avaConv,0.3005
h0393,wind_onshore,year_2018,avaConv,0.3052
h0394,wind_onshore,year_2018,avaConv,0.3137
h0395,wind_onshore,year_2018,avaConv,0.3296
h0396,wind_onshore,year_2018,avaConv,0.363
h0397,wind_onshore,year_2018,avaConv,0.4182
h0398,wind_onshore,year_2018,avaConv,0.4837
h0399,wind_onshore,year_2018,avaConv,0.5286
h0400,wind_onshore,year_2018,avaConv,0.5519
h0401,wind_onshore,year_2018,avaConv,0.5642
h0402,wind_onshore,year_2018,avaConv,0.5683
h0403,wind_onshore,year_2018,avaConv,0.5619
h0404,wind_onshore,year_2018,avaConv,0.553
h0405,wind_onshore,year_2018,avaConv,0.5465
h0406,wind_onshore,year_2018,avaConv,0.5378
h0407,wind_onshore,year_2018,avaConv,0.5117
h0408,wind_onshore,year_2018,avaConv,0.461
h0409,wind_onshore,year_2018,avaConv,0.3965
h0410,wind_onshore,year_2018,avaConv,0.3348
h0411,wind_onshore,year_2018,avaConv,0.2895
h0412,wind_onshore,year_2018,avaConv,0.2625
h0413,wind_onshore,year_2018,avaConv,0.235
h0414,wind_onshore,year_2018,avaConv,0.2195
h0415,wind_onshore,year_2018,avaConv,0.2509
h0416,wind_onshore,year_2018,avaConv,0.2461
h0417,wind_onshore,year_2018,avaConv,0.2254
h0418,wind_onshore,year_2018,avaConv,0.3033
h0419,wind_onshore,year_2018,avaConv,0.3833
h0420,wind_onshore,year_2018,avaConv,0.3942
h0421,wind_onshore,year_2018,avaConv,0.3838
h0422,wind_onshore,year_2018,avaConv,0.3903
h0423,wind_onshore,year_2018,avaConv,0.4054
h0424,wind_onshore,year_2018,avaConv,0.4296
h0425,wind_onshore,year_2018,avaConv,0.4373
h0426,wind_onshore,year_2018,avaConv,0.4096
h0427,wind_onshore,year_2018,avaConv,0.3456
h0428,wind_onshore,year_2018,avaConv,0.2692
h0429,wind_onshore,year_2018,avaConv,0.2057
h0430,wind_onshore,year_2018,avaConv,0.1536
h0431,wind_onshore,year_2018,avaConv,0.1197
h0432,wind_onshore,year_2018,avaConv,0.1028
h0433,wind_onshore,year_2018,avaConv,0.0963
h0434,wind_onshore,year_2018,avaConv,0.0957
h0435,wind_onshore,year_2018,avaConv,0.0971
h0436,wind_onshore,year_2018,avaConv,0.0937
h0437,wind_onshore,year_2018,avaConv,0.0849
h0438,wind_onshore,year_2018,avaConv,0.0755
h0439,wind_onshore,year_2018,avaConv,0.0698
h0440,wind_onshore,year_2018,avaConv,0.072
h0441,wind_onshore,year_2018,avaConv,0.083
h0442,wind_onshore,year_2018,avaConv,0.1009
h0443,wind_onshore,year_2018,avaConv,0.1222
h0444,wind_onshore,year_2018,avaConv,0.1421
h0445,wind_onshore,year_2018,avaConv,0.1545
h0446,wind_onshore,year_2018,avaConv,0.1543
h0447,wind_onshore,year_2018,avaConv,0.1484
h0448,wind_onshore,year_2018,avaConv,0.1474
h0449,wind_onshore,year_2018,avaConv,0.154
h0450,wind_onshore,year_2018,avaConv,0.1652
h0451,wind_onshore,year_2018,avaConv,0.1771
h0452,wind_onshore,year_2018,avaConv,0.1844
h0453,wind_onshore,year_2018,avaConv,0.1896
h0454,wind_onshore,year_2018,avaConv,0.1871
h0455,wind_onshore,year_2018,avaConv,0.1751
h0456,wind_onshore,year_2018,avaConv,0.1648
h0457,wind_onshore,year_2018,avaConv,0.1606
h0458,wind_onshore,year_2018,avaConv,0.1541
h0459,wind_onshore,year_2018,avaConv,0.1422
h0460,wind_onshore,year_2018,avaConv,0.1335
h0461,wind_onshore,year_2018,avaConv,0.1313
h0462,wind_onshore,year_2018,avaConv,0.1291
h0463,wind_onshore,year_2018,avaConv,0.125
h0464,wind_onshore,year_2018,avaConv,0.1257
h0465,wind_onshore,year_2018,avaConv,0.1299
h0466,wind_onshore,year_2018,avaConv,0.1312
h0467,wind_onshore,year_2018,avaConv,0.1241
h0468,wind_onshore,year_2018,avaConv,0.1029
h0469,wind_onshore,year_2018,avaConv,0.079
h0470,wind_onshore,year_2018,avaConv,0.0577
h0471,wind_onshore,year_2018,avaConv,0.0376
h0472,wind_onshore,year_2018,avaConv,0.0237
h0473,wind_onshore,year_2018,avaConv,0.0175
h0474,wind_onshore,year_2018,avaConv,0.0172
h0475,wind_onshore,year_2018,avaConv,0.0172
h0476,wind_onshore,year_2018,avaConv,0.016
h0477,wind_onshore,year_2018,avaConv,0.0204
h0478,wind_onshore,year_2018,avaConv,0.0314
h0479,wind_onshore,year_2018,avaConv,0.0475
h0480,wind_onshore,year_2018,avaConv,0.0681
h0481,wind_onshore,year_2018,avaConv,0.0866
h0482,wind_onshore,year_2018,avaConv,0.0941
h0483,wind_onshore,year_2018,avaConv,0.0835
h0484,wind_onshore,year_2018,avaConv,0.0637
h0485,wind_onshore,year_2018,avaConv,0.0491
h0486,wind_onshore,year_2018,avaConv,0.0357
h0487,wind_onshore,year_2018,avaConv,0.0235
h0488,wind_onshore,year_2018,avaConv,0.0127
h0489,wind_onshore,year_2018,avaConv,0.005
h0490,wind_onshore,year_2018,avaConv,0.0022
h0491,wind_onshore,year_2018,avaConv,0.0019
h0492,wind_onshore,year_2018,avaConv,0.002
h0493,wind_onshore,year_2018,avaConv,0.0019
h0494,wind_onshore,year_2018,avaConv,0.0019
h0495,wind_onshore,year_2018,avaConv,0.0028
h0496,wind_onshore,year_2018,avaConv,0.0054
h0497,wind_onshore,year_2018,avaConv,0.0145
h0498,wind_onshore,year_2018,avaConv,0.0379
h0499,wind_onshore,year_2018,avaConv,0.0753
h0500,wind_onshore,year_2018,avaConv,0.1279
h0501,wind_onshore,year_2018,avaConv,0.2007
h0502,wind_onshore,year_2018,avaConv,0.2878
h0503,wind_onshore,year_2018,avaConv,0.3537
h0504,wind_onshore,year_2018,avaConv,0.3864
h0505,wind_onshore,year_2018,avaConv,0.3936
h0506,wind_onshore,year_2018,avaConv,0.393
h0507,wind_onshore,year_2018,avaConv,0.3845
h0508,wind_onshore,year_2018,avaConv,0.3797
h0509,wind_onshore,year_2018,avaConv,0.3703
h0510,wind_onshore,year_2018,avaConv,0.3418
h0511,wind_onshore,year_2018,avaConv,0.2902
h0512,wind_onshore,year_2018,avaConv,0.226
h0513,wind_onshore,year_2018,avaConv,0.1771
h0514,wind_onshore,year_2018,avaConv,0.1523
h0515,wind_onshore,year_2018,avaConv,0.1452
h0516,wind_onshore,year_2018,avaConv,0.1492
h0517,wind_onshore,year_2018,avaConv,0.1662
h0518,wind_onshore,year_2018,avaConv,0.1922
h0519,wind_onshore,year_2018,avaConv,0.2203
h0520,wind_onshore,year_2018,avaConv,0.245
h0521,wind_onshore,year_2018,avaConv,0.2506
h0522,wind_onshore,year_2018,avaConv,0.2479
h0523,wind_onshore,year_2018,avaConv,0.2419
h0524,wind_onshore,year_2018,avaConv,0.2116
h0525,wind_onshore,year_2018,avaConv,0.1771
h0526,wind_onshore,year_2018,avaConv,0.1531
h0527,wind_onshore,year_2018,avaConv,0.1307
h0528,wind_onshore,year_2018,avaConv,0.1207
h0529,wind_onshore,year_2018,avaConv,0.1214
h0530,wind_onshore,year_2018,avaConv,0.1148
h0531,wind_onshore,year_2018,avaConv,0.0975
h0532,wind_onshore,year_2018,avaConv,0.0905
h0533,wind_onshore,year_2018,avaConv,0.0994
h0534,wind_onshore,year_2018,avaConv,0.1092
h0535,wind_onshore,year_2018,avaConv,0.1225
h0536,wind_onshore,year_2018,avaConv,0.1497
h0537,wind_onshore,year_2018,avaConv,0.1943
h0538,wind_onshore,year_2018,avaConv,0.2497
h0539,wind_onshore,year_2018,avaConv,0.3089
