timestep_2,technology_1,scenario,parameter,value
h0001,wind_onshore,year_2018,avaConv,0.3091
h0002,wind_onshore,year_2018,avaConv,0.3467
h0003,wind_onshore,year_2018,avaConv,0.4495
h0004,wind_onshore,year_2018,avaConv,0.5466
h0005,wind_onshore,year_2018,avaConv,0.625
h0006,wind_onshore,year_2018,avaConv,0.6924
h0007,wind_onshore,year_2018,avaConv,0.7927
h0008,wind_onshore,year_2018,avaConv,0.8312
h0009,wind_onshore,year_2018,avaConv,0.8379
h0010,wind_onshore,year_2018,avaConv,0.8327
h0011,wind_onshore,year_2018,avaConv,0.8181
h0012,wind_onshore,year_2018,avaConv,0.805
h0013,wind_onshore,year_2018,avaConv,0.7786
h0014,wind_onshore,year_2018,avaConv,0.7333
h0015,wind_onshore,year_2018,avaConv,0.6672
h0016,wind_onshore,year_2018,avaConv,0.5879
h0017,wind_onshore,year_2018,avaConv,0.5172
h0018,wind_onshore,year_2018,avaConv,0.4614
h0019,wind_onshore,year_2018,avaConv,0.396
h0020,wind_onshore,year_2018,avaConv,0.3365
h0021,wind_onshore,year_2018,avaConv,0.2737
h0022,wind_onshore,year_2018,avaConv,0.22
h0023,wind_onshore,year_2018,avaConv,0.1844
h0024,wind_onshore,year_2018,avaConv,0.1596
h0025,wind_onshore,year_2018,avaConv,0.1431
h0026,wind_onshore,year_2018,avaConv,0.123
h0027,wind_onshore,year_2018,avaConv,0.1055
h0028,wind_onshore,year_2018,avaConv,0.1024
h0029,wind_onshore,year_2018,avaConv,0.1228
h0030,wind_onshore,year_2018,avaConv,0.1524
h0031,wind_onshore,year_2018,avaConv,0.1539
h0032,wind_onshore,year_2018,avaConv,0.1295
h0033,wind_onshore,year_2018,avaConv,0.1227
h0034,wind_onshore,year_2018,avaConv,0.1571
h0035,wind_onshore,year_2018,avaConv,0.1895
h0036,wind_onshore,year_2018,avaConv,0.1448
h0037,wind_onshore,year_2018,avaConv,0.151
h0038,wind_onshore,year_2018,avaConv,0.2062
h0039,wind_onshore,year_2018,avaConv,0.2688
h0040,wind_onshore,year_2018,avaConv,0.2953
h0041,wind_onshore,year_2018,avaConv,0.3249
h0042,wind_onshore,year_2018,avaConv,0.3656
h0043,wind_onshore,year_2018,avaConv,0.4191
h0044,wind_onshore,year_2018,avaConv,0.5121
h0045,wind_onshore,year_2018,avaConv,0.5687
h0046,wind_onshore,year_2018,avaConv,0.546
h0047,wind_onshore,year_2018,avaConv,0.4791
h0048,wind_onshore,year_2018,avaConv,0.4314
h0049,wind_onshore,year_2018,avaConv,0.4491
h0050,wind_onshore,year_2018,avaConv,0.5138
h0051,wind_onshore,year_2018,avaConv,0.629
h0052,wind_onshore,year_2018,avaConv,0.6502
h0053,wind_onshore,year_2018,avaConv,0.7413
h0054,wind_onshore,year_2018,avaConv,0.8277
h0055,wind_onshore,year_2018,avaConv,0.8491
h0056,wind_onshore,year_2018,avaConv,0.8177
h0057,wind_onshore,year_2018,avaConv,0.7249
h0058,wind_onshore,year_2018,avaConv,0.6362
h0059,wind_onshore,year_2018,avaConv,0.6009
h0060,wind_onshore,year_2018,avaConv,0.6391
h0061,wind_onshore,year_2018,avaConv,0.6302
h0062,wind_onshore,year_2018,avaConv,0.6396
h0063,wind_onshore,year_2018,avaConv,0.6533
h0064,wind_onshore,year_2018,avaConv,0.6233
h0065,wind_onshore,year_2018,avaConv,0.5975
h0066,wind_onshore,year_2018,avaConv,0.598
h0067,wind_onshore,year_2018,avaConv,0.5702
h0068,wind_onshore,year_2018,avaConv,0.5027
h0069,wind_onshore,year_2018,avaConv,0.428
h0070,wind_onshore,year_2018,avaConv,0.3734
h0071,wind_onshore,year_2018,avaConv,0.3222
h0072,wind_onshore,year_2018,avaConv,0.267
h0073,wind_onshore,year_2018,avaConv,0.2196
h0074,wind_onshore,year_2018,avaConv,0.1701
h0075,wind_onshore,year_2018,avaConv,0.142
h0076,wind_onshore,year_2018,avaConv,0.1236
h0077,wind_onshore,year_2018,avaConv,0.1017
h0078,wind_onshore,year_2018,avaConv,0.0803
h0079,wind_onshore,year_2018,avaConv,0.067
h0080,wind_onshore,year_2018,avaConv,0.0692
h0081,wind_onshore,year_2018,avaConv,0.084
h0082,wind_onshore,year_2018,avaConv,0.1105
h0083,wind_onshore,year_2018,avaConv,0.1475
h0084,wind_onshore,year_2018,avaConv,0.176
h0085,wind_onshore,year_2018,avaConv,0.1962
h0086,wind_onshore,year_2018,avaConv,0.2008
h0087,wind_onshore,year_2018,avaConv,0.1731
h0088,wind_onshore,year_2018,avaConv,0.1216
h0089,wind_onshore,year_2018,avaConv,0.0718
h0090,wind_onshore,year_2018,avaConv,0.0652
h0091,wind_onshore,year_2018,avaConv,0.0893
h0092,wind_onshore,year_2018,avaConv,0.1169
h0093,wind_onshore,year_2018,avaConv,0.1348
h0094,wind_onshore,year_2018,avaConv,0.1573
h0095,wind_onshore,year_2018,avaConv,0.2089
h0096,wind_onshore,year_2018,avaConv,0.26
h0097,wind_onshore,year_2018,avaConv,0.3011
h0098,wind_onshore,year_2018,avaConv,0.3273
h0099,wind_onshore,year_2018,avaConv,0.3346
h0100,wind_onshore,year_2018,avaConv,0.3003
h0101,wind_onshore,year_2018,avaConv,0.2436
h0102,wind_onshore,year_2018,avaConv,0.2406
h0103,wind_onshore,year_2018,avaConv,0.2417
h0104,wind_onshore,year_2018,avaConv,0.2259
h0105,wind_onshore,year_2018,avaConv,0.218
h0106,wind_onshore,year_2018,avaConv,0.232
h0107,wind_onshore,year_2018,avaConv,0.1868
h0108,wind_onshore,year_2018,avaConv,0.1495
h0109,wind_onshore,year_2018,avaConv,0.1079
h0110,wind_onshore,year_2018,avaConv,0.0819
h0111,wind_onshore,year_2018,avaConv,0.0623
h0112,wind_onshore,year_2018,avaConv,0.0602
h0113,wind_onshore,year_2018,avaConv,0.06
h0114,wind_onshore,year_2018,avaConv,0.0611
h0115,wind_onshore,year_2018,avaConv,0.0679
h0116,wind_onshore,year_2018,avaConv,0.0834
h0117,wind_onshore,year_2018,avaConv,0.0919
h0118,wind_onshore,year_2018,avaConv,0.0863
h0119,wind_onshore,year_2018,avaConv,0.0742
h0120,wind_onshore,year_2018,avaConv,0.0633
h0121,wind_onshore,year_2018,avaConv,0.0522
h0122,wind_onshore,year_2018,avaConv,0.0507
h0123,wind_onshore,year_2018,avaConv,0.0596
h0124,wind_onshore,year_2018,avaConv,0.0634
